timestamps,TP9,AF7,AF8,TP10,Right AUX
1734421309.507129,0.0,-0.48828125,-4.8828125,0.0,0.0
1734421309.5109885,0.0,30.76171875,34.66796875,-30.76171875,0.0
1734421309.5148482,0.0,-68.359375,-69.82421875,72.75390625,0.0
1734421309.5187078,0.0,384.27734375,291.9921875,-385.7421875,0.0
1734421309.5225673,0.0,-995.1171875,930.6640625,-1000.0,0.0
1734421309.5264268,0.0,961.9140625,916.015625,-661.1328125,0.0
1734421309.5302863,0.0,956.54296875,814.94140625,-576.171875,0.0
1734421309.5341458,0.0,973.14453125,725.5859375,-973.6328125,0.0
1734421309.5380056,0.0,969.7265625,719.23828125,-987.79296875,0.0
1734421309.541865,0.0,969.7265625,644.04296875,-1000.0,0.0
1734421309.5457246,0.0,970.21484375,485.3515625,-567.3828125,0.0
1734421309.548459,215.8203125,969.7265625,-201.171875,-430.6640625,0.0
1734421309.5522249,324.70703125,970.21484375,-774.90234375,-1000.0,0.0
1734421309.5559907,-959.47265625,970.703125,-395.5078125,-939.94140625,0.0
1734421309.5597565,-931.640625,950.1953125,-238.28125,-1000.0,0.0
1734421309.5635223,314.453125,-967.28515625,-502.44140625,-454.58984375,0.0
1734421309.5672882,-959.9609375,685.05859375,-829.1015625,906.25,0.0
1734421309.571054,-1000.0,594.23828125,-979.98046875,-850.09765625,0.0
1734421309.5748198,-289.0625,994.140625,-719.23828125,-328.125,0.0
1734421309.5785856,-846.6796875,913.57421875,-506.34765625,-339.84375,0.0
1734421309.5823514,179.19921875,-866.69921875,-604.00390625,-902.83203125,0.0
1734421309.586117,-1000.0,-38.57421875,-881.34765625,957.03125,0.0
1734421309.5898829,-976.07421875,-748.046875,-1000.0,941.40625,0.0
1734421309.590797,-973.14453125,742.1875,-755.37109375,976.5625,0.0
1734421309.5944438,-1000.0,985.83984375,-458.49609375,969.7265625,0.0
1734421309.598091,-1000.0,-912.109375,-509.27734375,969.7265625,0.0
1734421309.601738,-1000.0,103.02734375,-812.5,969.7265625,0.0
1734421309.6053848,-1000.0,-911.1328125,-1000.0,969.7265625,0.0
1734421309.609032,-1000.0,505.859375,-780.2734375,969.7265625,0.0
1734421309.6126788,-1000.0,-990.234375,-353.02734375,969.7265625,0.0
1734421309.6163259,-1000.0,-934.08203125,-288.0859375,969.7265625,0.0
1734421309.6199727,-1000.0,409.1796875,-691.89453125,969.7265625,0.0
1734421309.6236198,-920.8984375,-812.5,-1000.0,969.7265625,0.0
1734421309.6272666,-1000.0,355.95703125,-758.30078125,969.7265625,0.0
1734421309.6309137,-646.97265625,-940.91796875,40.52734375,969.7265625,0.0
1734421309.6306124,339.35546875,985.3515625,583.0078125,969.7265625,0.0
1734421309.6341498,-708.984375,790.52734375,-21.484375,969.7265625,0.0
1734421309.6376872,-1000.0,-307.12890625,-974.609375,969.7265625,0.0
1734421309.6412244,-1000.0,372.0703125,-446.2890625,969.23828125,0.0
1734421309.6447618,128.90625,-938.4765625,629.39453125,969.7265625,0.0
1734421309.648299,-816.40625,984.375,929.6875,969.7265625,0.0
1734421309.6518364,-232.421875,809.5703125,455.078125,969.7265625,0.0
1734421309.6553736,-1000.0,-680.6640625,-568.84765625,969.7265625,0.0
1734421309.658911,-1000.0,-66.40625,-127.9296875,969.7265625,0.0
1734421309.6624482,-96.19140625,-927.24609375,897.4609375,969.7265625,0.0
1734421309.6659856,-817.3828125,995.1171875,910.64453125,969.7265625,0.0
1734421309.6695228,-116.69921875,740.72265625,815.4296875,969.7265625,0.0
1734421309.669322,-1000.0,-844.23828125,6.34765625,969.7265625,0.0
1734421309.6727815,-1000.0,-456.0546875,8.7890625,969.7265625,0.0
1734421309.676241,-258.30078125,948.2421875,910.15625,969.7265625,0.0
