timestamps,TP9,AF7,AF8,TP10,Right AUX
1734413415.8161926,-47.8515625,-308.10546875,-436.03515625,-48.828125,0.0
1734413415.8200881,-34.1796875,406.73828125,333.984375,-2.9296875,0.0
1734413415.8239834,-26.3671875,807.6171875,538.0859375,9.765625,0.0
1734413415.827879,-13.18359375,89.84375,28.80859375,-10.25390625,0.0
1734413415.8317742,-28.80859375,-411.1328125,-510.7421875,-50.78125,0.0
1734413415.8356698,-52.734375,-364.2578125,-494.62890625,-53.7109375,0.0
1734413415.8395653,-29.296875,-94.23828125,49.8046875,-3.41796875,0.0
1734413415.8434606,-7.8125,198.73046875,420.41015625,36.1328125,0.0
1734413415.847356,-9.27734375,539.55078125,375.0,-13.671875,0.0
1734413415.8512516,-26.3671875,415.0390625,-176.7578125,-78.61328125,0.0
1734413415.855147,-42.96875,-195.3125,-579.58984375,-65.4296875,0.0
1734413415.8591633,-36.62109375,-613.76953125,-250.0,-7.32421875,0.0
1734413415.8630586,-12.6953125,427.24609375,468.75,-5.37109375,0.0
1734413415.866954,-6.8359375,933.10546875,481.93359375,-23.92578125,0.0
1734413415.8708496,-17.08984375,134.27734375,-238.76953125,-64.453125,0.0
1734413415.874745,-42.48046875,-378.90625,-600.5859375,-87.890625,0.0
1734413415.8786404,-47.36328125,-208.49609375,-178.7109375,-20.5078125,0.0
1734413415.882536,-16.6015625,365.234375,422.8515625,7.32421875,0.0
1734413415.8864312,0.0,222.16796875,331.0546875,-22.4609375,0.0
1734413415.8903267,-16.11328125,-409.1796875,-341.30859375,-48.33984375,0.0
1734413415.8942223,-57.12890625,-86.42578125,-513.18359375,-68.84765625,0.0
1734413415.8981175,-56.640625,271.484375,-86.9140625,-32.2265625,0.0
1734413415.902013,-31.25,407.2265625,371.09375,-7.32421875,0.0
1734413415.9060175,-23.92578125,709.9609375,474.12109375,-27.34375,0.0
1734413415.9099128,-30.2734375,570.80078125,-5.37109375,-59.5703125,0.0
1734413415.9138083,-52.24609375,-11.23046875,-554.6875,-74.21875,0.0
1734413415.9177039,-55.6640625,-120.1171875,-234.375,-52.24609375,0.0
1734413415.9215994,-23.4375,445.3125,394.04296875,-6.34765625,0.0
1734413415.925495,2.44140625,541.50390625,445.3125,7.32421875,0.0
1734413415.9293902,-4.39453125,-21.484375,-127.9296875,-45.8984375,0.0
1734413415.9332857,-44.43359375,-826.171875,-794.43359375,-77.63671875,0.0
1734413415.9371812,-78.125,-359.86328125,-354.00390625,-44.921875,0.0
1734413415.9410768,-42.96875,638.671875,376.46484375,-5.859375,0.0
1734413415.944972,-9.765625,757.32421875,466.30859375,-0.9765625,0.0
1734413415.9488676,-17.578125,368.65234375,74.70703125,-41.015625,0.0
1734413415.9528618,-39.55078125,85.44921875,-495.1171875,-67.3828125,0.0
1734413415.9567573,-52.24609375,118.65234375,-357.91015625,-36.1328125,0.0
1734413415.9606528,-32.2265625,289.0625,208.0078125,0.48828125,0.0
1734413415.9645483,3.41796875,646.484375,483.3984375,3.41796875,0.0
1734413415.9684436,6.8359375,581.0546875,190.91796875,-8.7890625,0.0
1734413415.9723392,-34.1796875,-150.87890625,-521.484375,-67.87109375,0.0
1734413415.9762347,-60.546875,-675.78125,-635.7421875,-64.453125,0.0
1734413415.9801302,-44.43359375,-401.85546875,-43.45703125,-12.6953125,0.0
1734413415.9840257,-22.94921875,668.9453125,503.41796875,-18.5546875,0.0
1734413415.9879212,-14.6484375,734.86328125,283.203125,-38.57421875,0.0
1734413415.9918165,-39.55078125,-377.44140625,-630.37109375,-86.42578125,0.0
1734413415.995712,-64.453125,-533.203125,-577.63671875,-102.5390625,0.0
1734413415.9997845,-49.8046875,406.73828125,224.12109375,-41.50390625,0.0
1734413416.00368,-2.44140625,798.828125,458.984375,0.0,0.0
1734413416.0075755,15.625,422.8515625,197.75390625,-12.20703125,0.0
1734413416.011471,-15.13671875,123.046875,-382.8125,-62.01171875,0.0
1734413416.0153666,-30.76171875,16.11328125,-530.76171875,-62.98828125,0.0
1734413416.019262,-22.4609375,-39.55078125,-74.70703125,-2.44140625,0.0
1734413416.0231576,-4.8828125,71.77734375,324.70703125,4.39453125,0.0
1734413416.027053,-12.6953125,215.8203125,263.671875,-27.34375,0.0
1734413416.0309486,-45.41015625,256.34765625,-271.97265625,-65.91796875,0.0
1734413416.0348442,-78.125,-135.25390625,-631.8359375,-66.40625,0.0
1734413416.0387397,-70.80078125,-515.13671875,-307.6171875,-14.16015625,0.0
1734413416.0426352,-35.15625,428.7109375,407.71484375,20.01953125,0.0
1734413416.0466952,0.0,918.45703125,455.078125,7.32421875,0.0
1734413416.0505908,0.0,135.25390625,-286.1328125,-21.484375,0.0
1734413416.0544863,0.0,-444.3359375,-667.48046875,-30.76171875,0.0
1734413416.0583818,0.0,98.6328125,-157.71484375,-10.25390625,0.0
1734413416.0622773,0.0,732.421875,430.17578125,21.484375,0.0
1734413416.0661728,0.0,419.43359375,362.3046875,22.94921875,0.0
1734413416.0700684,0.0,-75.68359375,-223.14453125,-17.08984375,0.0
1734413416.0739639,0.0,-32.2265625,-560.546875,-39.0625,0.0
1734413416.0778594,0.0,240.72265625,-198.2421875,-51.26953125,0.0
1734413416.081755,0.0,125.0,289.55078125,-21.484375,0.0
1734413416.0856504,0.0,109.375,424.31640625,14.16015625,0.0
1734413416.089546,0.0,416.015625,5.859375,-33.69140625,0.0
1734413416.0935926,-46.38671875,43.9453125,-550.29296875,-75.68359375,0.0
1734413416.0974882,-62.5,-195.3125,-362.3046875,-58.10546875,0.0
1734413416.101384,-31.25,467.7734375,333.0078125,-27.34375,0.0
1734413416.1052794,-3.90625,963.37890625,534.1796875,-26.85546875,0.0
1734413416.109175,-9.765625,513.18359375,32.2265625,-67.87109375,0.0
1734413416.1130705,-39.0625,-362.3046875,-607.421875,-113.28125,0.0
1734413416.116966,-51.7578125,-427.734375,-447.265625,-93.75,0.0
1734413416.1208618,-41.9921875,158.203125,242.1875,-32.2265625,0.0
1734413416.1247573,-27.83203125,393.06640625,451.171875,-45.41015625,0.0
1734413416.1286528,-24.4140625,-323.73046875,-169.43359375,-84.47265625,0.0
1734413416.1325483,-58.10546875,-279.296875,-585.9375,-128.90625,0.0
1734413416.1364439,-89.84375,215.33203125,-330.56640625,-140.13671875,0.0
1734413416.14048,-74.70703125,353.515625,205.56640625,-95.21484375,0.0
1734413416.1443756,-43.9453125,666.015625,494.140625,-68.359375,0.0
1734413416.148271,-42.96875,684.5703125,266.11328125,-97.16796875,0.0
1734413416.1521666,-72.265625,247.55859375,-401.3671875,-138.18359375,0.0
1734413416.1560624,-82.03125,-165.0390625,-551.7578125,-140.625,0.0
1734413416.159958,-64.94140625,-114.2578125,-5.37109375,-97.65625,0.0
1734413416.1638534,-33.69140625,490.72265625,462.40234375,-73.2421875,0.0
1734413416.167749,-28.3203125,779.296875,325.1953125,-110.3515625,0.0
1734413416.1716447,-49.31640625,-179.19921875,-539.0625,-136.23046875,0.0
1734413416.1755402,-83.49609375,-630.37109375,-607.421875,-144.04296875,0.0
1734413416.1794357,-82.51953125,373.046875,199.70703125,-96.6796875,0.0
1734413416.1833315,-45.8984375,864.2578125,501.46484375,-46.875,0.0
1734413416.1873567,-30.2734375,365.234375,226.5625,-69.3359375,0.0
1734413416.1912522,-47.36328125,91.796875,-320.3125,-114.2578125,0.0
1734413416.1951478,-68.84765625,114.2578125,-500.48828125,-106.93359375,0.0
1734413416.1990435,-57.6171875,254.39453125,5.859375,-56.15234375,0.0
1734413416.202939,-2.9296875,453.125,421.38671875,5.859375,0.0
1734413416.2068346,7.32421875,376.46484375,336.9140625,-16.6015625,0.0
1734413416.2107303,-32.71484375,-66.89453125,-339.35546875,-77.63671875,0.0
1734413416.2146258,-66.89453125,-432.6171875,-684.08203125,-68.359375,0.0
1734413416.2185214,-59.5703125,-664.0625,-395.99609375,-11.71875,0.0
1734413416.222417,-28.80859375,323.73046875,332.03125,2.9296875,0.0
1734413416.2263126,-21.97265625,-997.55859375,518.06640625,-6.8359375,0.0
1734413416.2302082,-38.0859375,174.8046875,-182.12890625,-9.27734375,0.0
1734413416.2342167,-64.94140625,-308.10546875,-600.5859375,-22.4609375,0.0
1734413416.2381122,-76.171875,191.40625,-145.99609375,-16.6015625,0.0
1734413416.2420077,-38.57421875,793.45703125,438.4765625,31.73828125,0.0
1734413416.2459035,-3.90625,733.88671875,437.01171875,51.7578125,0.0
1734413416.249799,-30.76171875,308.10546875,-48.33984375,5.859375,0.0
1734413416.2536948,-64.453125,-189.94140625,-587.890625,-35.64453125,0.0
1734413416.2575903,-66.40625,-166.9921875,-348.6328125,-13.18359375,0.0
1734413416.261486,-39.0625,96.6796875,270.99609375,49.31640625,0.0
1734413416.2653816,-16.11328125,117.67578125,425.78125,57.6171875,0.0
1734413416.269277,-21.484375,456.0546875,84.47265625,8.7890625,0.0
1734413416.2731729,-56.15234375,222.65625,-499.51171875,-25.87890625,0.0
1734413416.2770684,-79.58984375,-132.32421875,-439.453125,-4.8828125,0.0
1734413416.2810664,-47.8515625,482.91015625,300.29296875,37.109375,0.0
1734413416.2849622,-25.390625,-980.95703125,547.8515625,46.38671875,0.0
1734413416.2888577,-23.92578125,553.22265625,123.046875,10.7421875,0.0
1734413416.2927535,-45.8984375,-219.7265625,-510.7421875,-39.0625,0.0
1734413416.296649,-67.87109375,-164.0625,-456.54296875,-23.4375,0.0
1734413416.3005447,-58.10546875,259.27734375,217.7734375,21.484375,0.0
1734413416.3044405,-25.87890625,391.6015625,447.75390625,34.1796875,0.0
1734413416.308336,-11.23046875,-345.703125,-159.66796875,35.64453125,0.0
1734413416.3122318,-53.7109375,-325.68359375,-585.9375,-38.0859375,0.0
1734413416.3161273,-82.03125,185.05859375,-371.09375,-81.0546875,0.0
1734413416.320023,-53.7109375,372.0703125,199.21875,-11.71875,0.0
1734413416.3239186,-22.94921875,682.12890625,508.7890625,41.015625,0.0
1734413416.3279097,-21.97265625,710.9375,287.109375,-4.8828125,0.0
1734413416.3318052,-35.64453125,301.7578125,-375.48828125,-49.31640625,0.0
1734413416.335701,-55.6640625,-106.4453125,-545.41015625,-59.5703125,0.0
1734413416.3395965,-48.828125,203.61328125,95.21484375,-33.203125,0.0
1734413416.3434923,-16.6015625,814.453125,507.32421875,5.37109375,0.0
1734413416.347388,-21.97265625,501.46484375,186.5234375,-8.30078125,0.0
1734413416.3512836,-46.875,-351.5625,-550.29296875,-35.64453125,0.0
1734413416.3551793,-65.4296875,-653.3203125,-611.328125,-34.1796875,0.0
1734413416.3590748,-62.98828125,259.765625,106.93359375,-9.765625,0.0
1734413416.3629706,-21.484375,866.2109375,478.02734375,16.11328125,0.0
1734413416.366866,-3.90625,511.23046875,326.171875,3.41796875,0.0
1734413416.3707619,-18.5546875,234.375,-153.3203125,-42.48046875,0.0
1734413416.374744,-40.0390625,165.52734375,-504.8828125,-73.2421875,0.0
1734413416.3786395,-55.6640625,216.30859375,-122.0703125,-34.1796875,0.0
1734413416.3825352,-39.55078125,403.3203125,371.58203125,3.90625,0.0
1734413416.3864307,-17.578125,695.3125,447.265625,-0.9765625,0.0
1734413416.3903265,-35.15625,420.41015625,-94.23828125,-45.41015625,0.0
1734413416.3942223,-67.87109375,-305.6640625,-643.06640625,-77.63671875,0.0
1734413416.3981178,-76.66015625,-481.93359375,-319.3359375,-57.6171875,0.0
1734413416.4020135,-53.7109375,297.36328125,374.0234375,-33.203125,0.0
1734413416.4059093,-27.83203125,936.5234375,514.6484375,-34.1796875,0.0
1734413416.4098048,-41.015625,307.6171875,-110.3515625,-64.453125,0.0
1734413416.4137006,-62.98828125,-682.12890625,-705.078125,-77.63671875,0.0
1734413416.4175963,-70.80078125,-100.5859375,-237.3046875,-48.828125,0.0
1734413416.421649,-44.921875,764.6484375,438.4765625,-14.6484375,0.0
1734413416.4255447,-31.25,729.4921875,460.44921875,-6.34765625,0.0
1734413416.4294403,-55.6640625,358.88671875,87.890625,-59.5703125,0.0
1734413416.433336,-70.80078125,136.23046875,-449.70703125,-93.26171875,0.0
1734413416.4372318,-82.51953125,210.9375,-297.8515625,-72.265625,0.0
1734413416.4411275,-61.03515625,239.74609375,282.2265625,-23.92578125,0.0
1734413416.445023,-22.4609375,203.125,415.52734375,-10.25390625,0.0
1734413416.4489188,-29.78515625,411.62109375,191.40625,-57.6171875,0.0
1734413416.4528146,-62.5,237.79296875,-424.8046875,-95.703125,0.0
1734413416.4567103,-74.21875,-297.8515625,-534.66796875,-79.58984375,0.0
1734413416.4606059,-52.734375,144.04296875,235.3515625,-26.85546875,0.0
1734413416.4645016,-40.52734375,948.2421875,571.77734375,-16.6015625,0.0
1734413416.4685452,-49.31640625,590.33203125,203.125,-58.59375,0.0
1734413416.472441,-68.359375,-189.453125,-492.67578125,-98.14453125,0.0
1734413416.4763367,-88.37890625,-120.60546875,-457.51953125,-96.19140625,0.0
1734413416.4802322,-76.66015625,544.43359375,285.15625,-43.9453125,0.0
1734413416.484128,-34.1796875,770.99609375,499.0234375,-3.41796875,0.0
1734413416.4880238,-20.01953125,151.85546875,50.29296875,-30.2734375,0.0
