timestamps,TP9,AF7,AF8,TP10,Right AUX
1734581528.7822063,-35.15625,-36.1328125,311.03515625,-28.3203125,0.0
1734581528.7860658,-39.0625,-39.0625,-415.0390625,-31.73828125,0.0
1734581528.7899253,-44.921875,-37.59765625,-276.85546875,-26.85546875,0.0
1734581528.7937849,-41.015625,-43.9453125,-159.1796875,-22.4609375,0.0
1734581528.7976446,-44.921875,-47.8515625,-94.23828125,-33.69140625,0.0
1734581528.8015041,-50.29296875,-41.9921875,-69.3359375,-39.0625,0.0
1734581528.8053637,-42.96875,-44.921875,-89.84375,-38.0859375,0.0
1734581528.8080676,-38.0859375,-38.57421875,-80.078125,-33.69140625,0.0
1734581528.8118308,-40.52734375,-30.76171875,-20.99609375,-24.4140625,0.0
1734581528.8155942,-51.7578125,-36.1328125,-32.2265625,-31.73828125,0.0
1734581528.8193574,-60.05859375,-41.015625,-64.94140625,-42.48046875,0.0
1734581528.8231206,-50.29296875,-34.1796875,-39.0625,-42.48046875,0.0
1734581528.8268838,-42.48046875,-37.59765625,-51.7578125,-33.203125,0.0
1734581528.8306472,-36.62109375,-37.59765625,-45.8984375,-30.76171875,0.0
1734581528.8344104,-30.76171875,-33.69140625,-71.77734375,-28.3203125,0.0
1734581528.8381736,-33.69140625,-40.52734375,-53.7109375,-27.34375,0.0
1734581528.8419368,-37.59765625,-28.80859375,46.875,-39.55078125,0.0
1734581528.8457003,-44.921875,-25.390625,0.9765625,-48.33984375,0.0
1734581528.8494635,-43.9453125,-28.80859375,-41.015625,-47.8515625,0.0
1734581528.8503783,-41.50390625,-29.296875,-14.16015625,-42.96875,0.0
1734581528.854023,-43.9453125,-38.0859375,1.953125,-45.41015625,0.0
1734581528.8576674,-40.0390625,-39.55078125,-24.90234375,-45.8984375,0.0
1734581528.8613122,-37.109375,-38.57421875,-43.45703125,-42.96875,0.0
1734581528.8649566,-43.45703125,-34.66796875,-26.3671875,-41.9921875,0.0
1734581528.8686013,-43.45703125,-26.3671875,-41.9921875,-39.0625,0.0
1734581528.8722458,-36.1328125,-25.87890625,-58.10546875,-26.3671875,0.0
1734581528.8758905,-31.25,-31.25,-83.0078125,-16.6015625,0.0
1734581528.879535,-29.296875,-29.296875,-0.9765625,-20.01953125,0.0
1734581528.8831797,-25.87890625,-24.4140625,24.4140625,-25.87890625,0.0
1734581528.8868241,-20.99609375,-32.2265625,-36.1328125,-22.4609375,0.0
1734581528.8904688,-25.390625,-37.109375,-15.625,-22.94921875,0.0
1734581528.890239,-31.25,-38.0859375,21.484375,-30.76171875,0.0
1734581528.8937762,-24.90234375,-31.73828125,9.765625,-28.80859375,0.0
1734581528.897313,-25.87890625,-27.34375,-42.96875,-25.87890625,0.0
1734581528.90085,-26.3671875,-23.4375,-28.80859375,-24.4140625,0.0
1734581528.904387,-23.4375,-23.92578125,-11.71875,-19.53125,0.0
1734581528.907924,-21.97265625,-27.34375,-32.71484375,-13.671875,0.0
1734581528.9114609,-15.625,-23.4375,-97.16796875,-11.23046875,0.0
1734581528.9149978,-18.06640625,-18.06640625,-73.73046875,-16.11328125,0.0
1734581528.9185348,-31.73828125,-20.5078125,33.203125,-27.83203125,0.0
1734581528.9220717,-31.25,-24.90234375,1.953125,-33.69140625,0.0
1734581528.9256086,-24.90234375,-24.90234375,-28.80859375,-31.73828125,0.0
1734581528.9291458,-22.4609375,-22.4609375,-10.25390625,-31.73828125,0.0
1734581528.9289424,-18.06640625,-21.97265625,-17.578125,-32.2265625,0.0
1734581528.9324017,-21.484375,-27.34375,-60.05859375,-29.78515625,0.0
1734581528.9358606,-27.83203125,-35.15625,-47.8515625,-31.73828125,0.0
1734581528.9393196,-26.3671875,-32.2265625,-1.953125,-35.15625,0.0
1734581528.9427786,-31.73828125,-33.69140625,-7.8125,-37.59765625,0.0
1734581528.9462378,-35.15625,-37.59765625,-68.359375,-33.69140625,0.0
1734581528.9496968,-35.15625,-29.78515625,-96.6796875,-26.3671875,0.0
