timestamps,TP9,AF7,AF8,TP10,Right AUX
1734581906.7575424,-74.70703125,-33.69140625,21.97265625,-32.71484375,0.0
1734581906.7614484,-61.5234375,-29.78515625,39.55078125,-5.37109375,0.0
1734581906.7653542,-15.13671875,-30.76171875,37.109375,40.0390625,0.0
1734581906.7692602,-27.34375,-30.76171875,37.59765625,16.11328125,0.0
1734581906.773166,-75.1953125,-34.1796875,35.64453125,-32.2265625,0.0
1734581906.777072,-91.30859375,-41.9921875,36.62109375,-54.19921875,0.0
1734581906.7809777,-28.3203125,-35.15625,42.96875,-37.109375,0.0
1734581906.7848835,6.34765625,-33.203125,32.71484375,-35.15625,0.0
1734581906.7887895,-45.41015625,-40.0390625,28.80859375,-72.265625,0.0
1734581906.7926953,-83.49609375,-43.45703125,45.41015625,-74.21875,0.0
1734581906.7966013,-80.56640625,-41.015625,36.1328125,-57.6171875,0.0
1734581906.8015308,-19.04296875,-22.4609375,19.53125,-26.3671875,0.0
1734581906.8054366,20.01953125,-20.99609375,25.390625,19.04296875,0.0
1734581906.8093426,-15.625,-36.62109375,30.76171875,-5.37109375,0.0
1734581906.8132484,-56.640625,-33.69140625,36.62109375,-56.640625,0.0
1734581906.8171544,-70.3125,-34.66796875,36.62109375,-65.91796875,0.0
1734581906.8210602,-46.38671875,-51.26953125,20.5078125,-53.22265625,0.0
1734581906.8249662,-7.8125,-51.7578125,22.94921875,-28.80859375,0.0
1734581906.828872,-10.7421875,-40.0390625,40.52734375,-30.76171875,0.0
1734581906.832778,-70.80078125,-41.50390625,34.66796875,-54.19921875,0.0
1734581906.8366838,-104.00390625,-46.38671875,26.3671875,-56.15234375,0.0
1734581906.8405895,-65.4296875,-43.45703125,20.99609375,-39.55078125,0.0
1734581906.8444955,-25.390625,-34.1796875,16.6015625,-0.48828125,0.0
1734581906.8484719,0.0,-34.66796875,27.34375,22.94921875,0.0
1734581906.852378,0.0,-45.8984375,32.2265625,-10.7421875,0.0
1734581906.8562837,0.0,-49.8046875,40.52734375,-38.0859375,0.0
1734581906.8601894,0.0,-46.38671875,39.55078125,-41.015625,0.0
1734581906.8640954,0.0,-35.15625,24.90234375,-20.99609375,0.0
