timestamps,TP9,AF7,AF8,TP10,Right AUX
1734412544.106185,-59.08203125,19.04296875,-20.01953125,-66.89453125,0.0
1734412544.1100883,-52.734375,11.23046875,-24.4140625,-70.80078125,0.0
1734412544.113992,-53.7109375,6.34765625,-29.296875,-74.21875,0.0
1734412544.1178954,-66.89453125,20.99609375,-22.94921875,-78.61328125,0.0
1734412544.1217988,-69.3359375,21.484375,-32.2265625,-66.89453125,0.0
1734412544.1257021,-47.36328125,-0.9765625,-48.828125,-43.45703125,0.0
1734412544.1296058,-36.1328125,-1.953125,-46.875,-47.36328125,0.0
1734412544.1335092,-45.41015625,20.5078125,-25.87890625,-74.21875,0.0
1734412544.1374125,-49.8046875,14.6484375,-36.62109375,-74.21875,0.0
1734412544.141316,-50.29296875,5.37109375,-51.7578125,-56.15234375,0.0
1734412544.1452196,-45.8984375,10.25390625,-38.57421875,-63.96484375,0.0
1734412544.149123,-36.1328125,20.99609375,-24.90234375,-68.84765625,0.0
1734412544.1531007,-48.33984375,11.71875,-33.69140625,-66.40625,0.0
1734412544.157004,-60.546875,0.0,-43.9453125,-60.546875,0.0
1734412544.1609075,-53.7109375,6.34765625,-42.48046875,-52.734375,0.0
1734412544.164811,-61.03515625,7.8125,-40.0390625,-56.15234375,0.0
1734412544.1687145,-58.59375,8.30078125,-44.43359375,-61.03515625,0.0
1734412544.172618,-45.8984375,4.39453125,-52.24609375,-66.89453125,0.0
1734412544.1765213,-54.6875,4.8828125,-43.45703125,-79.1015625,0.0
1734412544.1804247,-69.3359375,9.27734375,-41.50390625,-87.890625,0.0
1734412544.1843283,-67.3828125,2.44140625,-57.12890625,-82.51953125,0.0
1734412544.1882317,-60.05859375,-3.90625,-60.546875,-67.87109375,0.0
1734412544.192135,-64.94140625,-2.9296875,-54.6875,-83.984375,0.0
1734412544.1960385,-73.73046875,7.8125,-50.29296875,-94.23828125,0.0
1734412544.2000341,-68.359375,5.37109375,-52.734375,-80.56640625,0.0
1734412544.2039375,-66.89453125,-2.44140625,-46.875,-81.0546875,0.0
1734412544.2078412,-76.66015625,6.34765625,-43.9453125,-88.37890625,0.0
1734412544.2117445,-63.96484375,11.71875,-41.9921875,-81.54296875,0.0
1734412544.215648,-55.17578125,1.953125,-47.36328125,-74.70703125,0.0
1734412544.2195513,-70.80078125,-15.13671875,-59.5703125,-72.265625,0.0
1734412544.223455,-72.265625,-13.18359375,-53.7109375,-65.4296875,0.0
1734412544.2273583,-66.89453125,1.953125,-46.875,-77.63671875,0.0
1734412544.2312617,-48.828125,-18.5546875,-69.82421875,-69.3359375,0.0
1734412544.235165,-39.0625,-28.80859375,-72.75390625,-54.6875,0.0
1734412544.2390687,-58.59375,1.953125,-29.296875,-70.3125,0.0
1734412544.2429721,-44.921875,3.41796875,-29.78515625,-59.5703125,0.0
