timestamps,TP9,AF7,AF8,TP10,Right AUX
1734408002.7291217,-37.59765625,-43.45703125,7.8125,-44.921875,0.0
1734408002.7330277,-25.87890625,-42.96875,23.92578125,-39.0625,0.0
1734408002.736934,-5.859375,-41.50390625,63.96484375,-18.06640625,0.0
1734408002.74084,1.953125,-53.22265625,62.5,-25.390625,0.0
1734408002.744746,-20.01953125,-70.3125,-13.671875,-58.10546875,0.0
1734408002.748652,-56.640625,-77.63671875,-108.3984375,-62.98828125,0.0
1734408002.752558,-73.2421875,-65.4296875,-28.3203125,-40.0390625,0.0
1734408002.756464,-48.828125,-52.24609375,135.25390625,-0.9765625,0.0
1734408002.76037,-34.1796875,-58.59375,91.30859375,3.41796875,0.0
1734408002.764276,-44.43359375,-64.94140625,-96.6796875,-18.5546875,0.0
1734408002.768182,-58.10546875,-51.7578125,-97.65625,-37.109375,0.0
1734408002.7718668,-63.96484375,-41.015625,64.94140625,-46.875,0.0
1734408002.7757728,-41.015625,-50.29296875,56.15234375,-20.5078125,0.0
1734408002.779679,-17.08984375,-42.48046875,21.97265625,1.953125,0.0
1734408002.783585,-31.73828125,-32.71484375,-17.578125,-38.57421875,0.0
1734408002.787491,-57.12890625,-39.55078125,-61.5234375,-78.61328125,0.0
1734408002.791397,-62.98828125,-47.36328125,-26.85546875,-59.5703125,0.0
1734408002.795303,-41.50390625,-44.921875,0.0,-8.7890625,0.0
1734408002.799209,-20.01953125,-42.48046875,82.51953125,2.44140625,0.0
1734408002.8031151,-25.390625,-51.7578125,58.59375,-36.1328125,0.0
1734408002.8070211,-44.43359375,-56.15234375,-102.5390625,-58.59375,0.0
1734408002.8109272,-53.7109375,-47.36328125,-71.77734375,-40.52734375,0.0
1734408002.8148332,-39.0625,-38.0859375,71.2890625,0.48828125,0.0
1734408002.8184407,-5.859375,-41.015625,103.02734375,17.578125,0.0
1734408002.8223467,-0.48828125,-57.12890625,-9.765625,-21.97265625,0.0
1734408002.8262527,-30.76171875,-57.12890625,-76.171875,-61.5234375,0.0
1734408002.8301587,-39.55078125,-40.0390625,6.8359375,-44.921875,0.0
1734408002.8340647,-20.99609375,-49.8046875,80.078125,-7.32421875,0.0
1734408002.8379707,1.46484375,-58.10546875,-8.30078125,27.83203125,0.0
1734408002.8418767,5.37109375,-34.1796875,-19.04296875,20.01953125,0.0
1734408002.845783,-13.671875,-19.53125,54.19921875,-29.296875,0.0
1734408002.849689,-25.390625,-28.80859375,-3.41796875,-48.828125,0.0
1734408002.853595,-12.20703125,-27.83203125,10.25390625,-24.90234375,0.0
1734408002.857501,8.30078125,-24.90234375,72.265625,-0.9765625,0.0
1734408002.861407,7.8125,-29.78515625,67.3828125,-12.20703125,0.0
1734408002.865536,-10.7421875,-34.1796875,-34.1796875,-39.55078125,0.0
1734408002.869442,-23.92578125,-42.48046875,-68.84765625,-50.78125,0.0
1734408002.873348,-14.6484375,-49.31640625,37.109375,-30.76171875,0.0
1734408002.877254,9.27734375,-50.29296875,69.3359375,-3.90625,0.0
1734408002.88116,13.671875,-53.7109375,-36.62109375,-2.44140625,0.0
1734408002.885066,-14.16015625,-57.6171875,-138.671875,-41.015625,0.0
1734408002.888972,-43.45703125,-51.7578125,-80.56640625,-68.359375,0.0
