timestamps,TP9,AF7,AF8,TP10,Right AUX
1734581355.0027468,1.953125,-32.2265625,-36.62109375,-46.38671875,0.0
1734581355.0066524,-8.7890625,-33.203125,-39.0625,-5.37109375,0.0
1734581355.0105577,-29.78515625,-33.203125,-39.0625,3.41796875,0.0
1734581355.0144632,-28.3203125,-30.76171875,-43.9453125,-24.4140625,0.0
1734581355.0183687,-26.3671875,-31.73828125,-46.38671875,-50.78125,0.0
1734581355.022274,-15.625,-34.66796875,-48.33984375,-62.01171875,0.0
1734581355.0261796,-23.92578125,-36.1328125,-49.8046875,-32.71484375,0.0
1734581355.0300848,-39.0625,-33.69140625,-44.43359375,-10.7421875,0.0
1734581355.0339904,-34.1796875,-30.2734375,-40.0390625,-22.4609375,0.0
1734581355.037896,-18.5546875,-30.2734375,-40.0390625,-57.6171875,0.0
1734581355.0418012,1.953125,-27.83203125,-37.109375,-68.84765625,0.0
1734581355.045767,3.90625,-27.83203125,-33.69140625,-22.94921875,0.0
1734581355.0496726,-28.80859375,-32.2265625,-32.71484375,-7.8125,0.0
1734581355.0535781,-41.9921875,-33.69140625,-35.15625,-11.71875,0.0
1734581355.0574834,-18.5546875,-32.71484375,-36.1328125,-17.08984375,0.0
1734581355.061389,-3.41796875,-24.4140625,-34.66796875,-45.8984375,0.0
1734581355.0652945,-27.83203125,-20.99609375,-44.43359375,-45.41015625,0.0
1734581355.0691998,-42.48046875,-22.4609375,-45.8984375,-14.6484375,0.0
1734581355.0731053,-44.921875,-21.484375,-41.9921875,-18.06640625,0.0
1734581355.0770106,-37.109375,-21.97265625,-42.96875,-62.01171875,0.0
1734581355.0809162,-1.46484375,-20.99609375,-44.921875,-68.359375,0.0
1734581355.0848217,-3.90625,-15.13671875,-48.828125,-24.90234375,0.0
1734581355.088727,-25.87890625,-14.6484375,-47.36328125,-12.6953125,0.0
1734581355.092783,-29.78515625,-20.01953125,-47.8515625,-19.04296875,0.0
1734581355.0966885,-20.01953125,-17.08984375,-50.29296875,-29.296875,0.0
1734581355.1005938,-12.6953125,-15.625,-49.8046875,-72.265625,0.0
1734581355.1044993,-8.30078125,-16.11328125,-48.828125,-47.8515625,0.0
1734581355.1084049,-6.8359375,-19.53125,-47.8515625,-11.71875,0.0
1734581355.1123102,-19.53125,-22.4609375,-53.22265625,-26.85546875,0.0
1734581355.1162157,-16.6015625,-17.08984375,-53.22265625,-45.41015625,0.0
1734581355.1201212,6.8359375,-12.6953125,-49.31640625,-71.77734375,0.0
1734581355.1240265,6.34765625,-20.01953125,-54.6875,-50.29296875,0.0
1734581355.127932,-7.8125,-22.4609375,-51.26953125,-5.37109375,0.0
1734581355.1318374,-4.39453125,-17.578125,-46.875,-15.13671875,0.0
1734581355.135743,-8.30078125,-23.4375,-46.875,-43.9453125,0.0
1734581355.1396763,-10.25390625,-26.3671875,-50.78125,-67.3828125,0.0
1734581355.1435819,-10.25390625,-25.390625,-54.19921875,-59.08203125,0.0
1734581355.1474872,-25.390625,-28.80859375,-51.26953125,-23.4375,0.0
1734581355.1513927,-33.203125,-33.69140625,-50.78125,-19.53125,0.0
1734581355.1552982,-32.71484375,-33.203125,-48.33984375,-39.0625,0.0
1734581355.1592035,-17.578125,-26.85546875,-42.48046875,-66.40625,0.0
1734581355.163109,-9.765625,-25.390625,-39.0625,-50.29296875,0.0
1734581355.1670146,-17.08984375,-28.80859375,-40.52734375,-5.37109375,0.0
1734581355.17092,-26.85546875,-29.296875,-43.45703125,1.953125,0.0
1734581355.1748254,-33.69140625,-25.390625,-39.55078125,-17.08984375,0.0
1734581355.178731,-21.484375,-21.484375,-32.2265625,-48.828125,0.0
1734581355.1826363,-8.30078125,-22.94921875,-32.71484375,-37.109375,0.0
1734581355.1865666,-25.87890625,-26.85546875,-34.66796875,15.13671875,0.0
1734581355.1904721,-43.45703125,-26.3671875,-36.62109375,28.3203125,0.0
1734581355.1943774,-33.203125,-25.390625,-34.1796875,12.6953125,0.0
1734581355.198283,-20.01953125,-29.78515625,-34.66796875,-24.4140625,0.0
1734581355.2021885,-14.16015625,-32.71484375,-37.59765625,-44.43359375,0.0
1734581355.2060938,-23.92578125,-31.25,-35.15625,-3.41796875,0.0
1734581355.2099993,-49.8046875,-32.2265625,-37.59765625,18.06640625,0.0
1734581355.2139049,-52.24609375,-31.73828125,-40.52734375,10.25390625,0.0
1734581355.2178102,-32.2265625,-29.296875,-37.109375,-21.484375,0.0
1734581355.2217157,-9.765625,-27.34375,-29.296875,-46.875,0.0
1734581355.2256212,-20.01953125,-29.78515625,-28.80859375,-8.30078125,0.0
1734581355.2295265,-50.29296875,-37.109375,-30.2734375,17.08984375,0.0
1734581355.2334397,0.0,-36.1328125,-30.76171875,9.27734375,0.0
1734581355.237345,0.0,-32.2265625,-31.25,-12.6953125,0.0
1734581355.2412505,0.0,-32.71484375,-30.76171875,-33.69140625,0.0
1734581355.245156,0.0,-27.83203125,-35.64453125,-11.71875,0.0
