timestamps,TP9,AF7,AF8,TP10,Right AUX
1734581549.8243816,-32.71484375,-55.17578125,-41.9921875,-4.8828125,0.0
1734581549.8282874,-36.1328125,-54.19921875,-37.59765625,-19.04296875,0.0
1734581549.8321931,-27.83203125,-54.6875,-34.66796875,-41.015625,0.0
1734581549.836099,-26.85546875,-57.12890625,-37.59765625,-50.78125,0.0
1734581549.8400047,-40.52734375,-56.640625,-36.1328125,-21.484375,0.0
1734581549.8439105,-43.9453125,-54.6875,-32.2265625,-0.9765625,0.0
1734581549.8478162,-40.0390625,-52.734375,-28.3203125,-15.13671875,0.0
1734581549.851722,-29.296875,-47.36328125,-26.85546875,-41.50390625,0.0
1734581549.8556278,-12.20703125,-44.43359375,-30.2734375,-41.015625,0.0
1734581549.8595335,-17.578125,-45.41015625,-33.203125,-24.4140625,0.0
1734581549.8634393,-24.90234375,-44.43359375,-33.69140625,-5.37109375,0.0
1734581549.8674748,-27.34375,-45.41015625,-33.203125,-1.953125,0.0
1734581549.8713806,-28.3203125,-47.8515625,-31.25,-32.71484375,0.0
1734581549.8752863,-20.01953125,-45.8984375,-34.1796875,-42.96875,0.0
1734581549.879192,-21.484375,-45.8984375,-34.1796875,-13.671875,0.0
1734581549.883098,-35.15625,-44.43359375,-35.15625,-0.9765625,0.0
1734581549.8870037,-41.50390625,-46.875,-37.109375,0.0,0.0
1734581549.8909094,-33.203125,-47.8515625,-35.15625,-21.97265625,0.0
1734581549.8948152,-24.4140625,-42.48046875,-34.66796875,-45.8984375,0.0
1734581549.898721,-28.3203125,-40.52734375,-33.69140625,-25.87890625,0.0
1734581549.902627,-44.43359375,-44.921875,-34.1796875,-5.859375,0.0
1734581549.9065328,-56.15234375,-49.31640625,-38.0859375,-12.6953125,0.0
1734581549.9104385,-45.8984375,-48.33984375,-39.55078125,-38.0859375,0.0
1734581549.9144394,-31.73828125,-47.36328125,-40.52734375,-52.24609375,0.0
1734581549.9183452,-28.80859375,-45.8984375,-37.59765625,-25.390625,0.0
1734581549.922251,-28.3203125,-44.43359375,-39.55078125,-13.18359375,0.0
1734581549.9261568,-32.71484375,-46.38671875,-41.50390625,-21.97265625,0.0
1734581549.9300625,-34.66796875,-47.36328125,-39.55078125,-36.1328125,0.0
1734581549.9339683,-27.83203125,-49.8046875,-44.921875,-58.59375,0.0
1734581549.937874,-27.34375,-46.875,-43.9453125,-36.62109375,0.0
1734581549.9417799,-28.3203125,-46.875,-39.0625,-13.671875,0.0
1734581549.9456856,-27.34375,-46.875,-38.57421875,-14.6484375,0.0
1734581549.9495916,-23.92578125,-41.50390625,-41.015625,-29.78515625,0.0
1734581549.9534974,-20.01953125,-43.45703125,-38.57421875,-47.8515625,0.0
1734581549.9574032,-16.6015625,-47.8515625,-38.0859375,-42.96875,0.0
1734581549.9613593,-23.92578125,-45.41015625,-38.57421875,-22.94921875,0.0
1734581549.9652653,-41.50390625,-47.8515625,-36.1328125,-20.01953125,0.0
1734581549.969171,-29.296875,-46.875,-39.55078125,-28.3203125,0.0
1734581549.9730768,-10.25390625,-43.9453125,-41.9921875,-39.0625,0.0
1734581549.9769826,-12.20703125,-44.43359375,-34.66796875,-27.83203125,0.0
1734581549.9808884,-19.53125,-43.45703125,-34.66796875,3.90625,0.0
1734581549.9847941,-31.25,-41.9921875,-41.9921875,5.859375,0.0
1734581549.9887,-41.50390625,-40.0390625,-39.0625,-12.6953125,0.0
1734581549.9926057,-30.76171875,-44.921875,-31.73828125,-27.83203125,0.0
1734581549.9965115,-24.90234375,-47.36328125,-35.64453125,-30.2734375,0.0
1734581550.0004172,-34.1796875,-42.96875,-43.45703125,-14.6484375,0.0
1734581550.004323,-37.109375,-42.96875,-41.50390625,-6.34765625,0.0
