timestamps,TP9,AF7,AF8,TP10,Right AUX
1734582867.9957051,-576.171875,-240.234375,-213.37890625,-376.46484375,0.0
1734582867.9996045,-465.8203125,-246.09375,-254.8828125,-449.70703125,0.0
1734582868.0035036,398.92578125,149.90234375,170.8984375,127.44140625,0.0
1734582868.007403,753.90625,242.67578125,236.328125,595.703125,0.0
1734582868.011302,116.2109375,-97.16796875,-34.66796875,253.41796875,0.0
1734582868.0152013,-566.40625,-450.68359375,-340.8203125,-314.453125,0.0
1734582868.0191004,-522.4609375,-273.92578125,-228.02734375,-432.6171875,0.0
1734582868.0229998,300.78125,273.92578125,239.74609375,68.84765625,0.0
1734582868.026899,762.6953125,286.1328125,217.28515625,598.6328125,0.0
1734582868.0307982,199.70703125,-303.7109375,-217.7734375,369.140625,0.0
1734582868.0346975,-494.140625,-317.3828125,-282.71484375,-258.7890625,0.0
1734582868.0385966,-569.82421875,124.51171875,32.71484375,-522.4609375,0.0
1734582868.0426064,199.70703125,208.0078125,218.26171875,-18.06640625,0.0
1734582868.0465057,809.08203125,164.0625,193.84765625,608.3984375,0.0
1734582868.0504048,312.98828125,72.75390625,75.1953125,407.2265625,0.0
1734582868.0543041,-435.05859375,-158.69140625,-184.08203125,-200.68359375,0.0
1734582868.0582032,-592.7734375,-246.09375,-312.98828125,-479.4921875,0.0
1734582868.0621026,71.2890625,-41.9921875,-19.04296875,-91.30859375,0.0
1734582868.066002,750.0,99.12109375,171.875,550.29296875,0.0
1734582868.069901,407.2265625,105.46875,127.9296875,487.3046875,0.0
1734582868.0738003,-320.3125,-261.23046875,-218.26171875,-91.30859375,0.0
1734582868.0776997,-614.2578125,-483.88671875,-424.31640625,-457.03125,0.0
1734582868.0815988,0.9765625,205.078125,149.90234375,-144.04296875,0.0
1734582868.085498,795.8984375,491.69921875,360.83984375,524.90234375,0.0
1734582868.0895128,512.6953125,66.40625,0.0,555.17578125,0.0
1734582868.0934122,-246.58203125,-125.48828125,-127.44140625,-22.94921875,0.0
1734582868.0973115,-603.02734375,41.015625,74.70703125,-435.05859375,0.0
1734582868.1012106,-86.9140625,260.7421875,232.421875,-187.5,0.0
1734582868.10511,746.58203125,266.11328125,288.0859375,490.72265625,0.0
1734582868.1090093,608.3984375,-39.55078125,53.7109375,634.765625,0.0
1734582868.1129084,-135.25390625,-207.51953125,-205.56640625,117.67578125,0.0
1734582868.1168077,-590.8203125,-81.54296875,-187.98828125,-359.86328125,0.0
1734582868.120707,-202.1484375,-120.1171875,-155.2734375,-212.40234375,0.0
1734582868.1246061,661.1328125,153.80859375,83.0078125,459.9609375,0.0
1734582868.1285055,675.78125,479.00390625,252.9296875,669.43359375,0.0
1734582868.1324048,-52.24609375,76.171875,-33.69140625,187.01171875,0.0
1734582868.136405,0.0,-79.58984375,-90.8203125,-334.9609375,0.0
1734582868.1403043,0.0,299.8046875,200.1953125,-296.38671875,0.0
1734582868.1442037,0.0,570.3125,354.4921875,350.09765625,0.0
1734582868.1481028,0.0,239.74609375,112.79296875,682.12890625,0.0
1734582868.152002,0.0,-96.19140625,-226.07421875,205.078125,0.0
1734582868.1559014,0.0,-91.30859375,-343.26171875,-374.51171875,0.0
1734582868.1598005,0.0,227.05078125,-7.32421875,-392.08984375,0.0
1734582868.1636999,0.0,421.38671875,234.86328125,192.3828125,0.0
1734582868.1675992,0.0,76.171875,-38.57421875,585.9375,0.0
1734582868.1714985,0.0,190.91796875,34.1796875,189.453125,0.0
1734582868.1753976,0.0,154.296875,-28.80859375,-365.234375,0.0
1734582868.179297,0.0,104.4921875,-53.22265625,-457.03125,0.0
1734582868.183139,-578.61328125,511.23046875,271.484375,99.12109375,0.0
1734582868.1870382,-265.625,607.91015625,289.55078125,608.88671875,0.0
1734582868.1909375,610.83984375,250.0,102.5390625,328.61328125,0.0
1734582868.1948369,717.28515625,-33.203125,-47.8515625,-267.578125,0.0
1734582868.198736,-5.37109375,113.76953125,73.73046875,-457.51953125,0.0
1734582868.2026353,-593.75,280.76171875,271.97265625,49.8046875,0.0
1734582868.2065346,-372.55859375,267.08984375,292.48046875,616.2109375,0.0
1734582868.2104337,498.53515625,-249.51171875,-163.57421875,437.5,0.0
1734582868.214333,734.86328125,-356.93359375,-268.5546875,-179.6875,0.0
1734582868.2182324,88.37890625,219.7265625,205.078125,-478.02734375,0.0
1734582868.2221315,-531.73828125,321.2890625,269.53125,-27.83203125,0.0
1734582868.2260308,-448.2421875,237.79296875,237.79296875,567.3828125,0.0
1734582868.2300246,319.82421875,99.609375,152.34375,435.546875,0.0
1734582868.233924,-427.734375,-119.62890625,40.52734375,-159.66796875,0.0
1734582868.2378232,-653.3203125,-244.62890625,33.69140625,-495.1171875,0.0
1734582868.2417226,3.41796875,-75.68359375,197.75390625,-115.72265625,0.0
1734582868.2456217,729.4921875,163.0859375,292.48046875,527.34375,0.0
1734582868.249521,393.5546875,-70.3125,122.0703125,473.6328125,0.0
1734582868.2534204,-362.3046875,-451.66015625,-133.7890625,-93.75,0.0
1734582868.2573195,-669.921875,-464.84375,-199.70703125,-469.23828125,0.0
1734582868.2612188,-88.8671875,95.703125,212.890625,-203.125,0.0
1734582868.2651181,713.8671875,380.859375,409.1796875,458.984375,0.0
1734582868.2690175,483.88671875,-56.15234375,85.44921875,525.390625,0.0
1734582868.2729166,-279.78515625,-282.71484375,-4.8828125,-29.296875,0.0
1734582868.2769127,-655.2734375,-84.47265625,161.1328125,0.0,0.0
1734582868.280812,-177.734375,87.40234375,261.23046875,0.0,0.0
1734582868.2847114,649.90234375,70.3125,334.47265625,0.0,0.0
1734582868.2886105,507.32421875,-74.70703125,202.1484375,0.0,0.0
1734582868.2925098,-235.83984375,-258.30078125,27.34375,0.0,0.0
1734582868.2964091,-646.97265625,-377.44140625,-1.46484375,0.0,0.0
1734582868.3003085,-308.10546875,-426.26953125,-9.27734375,0.0,0.0
1734582868.3042076,556.15234375,-78.61328125,176.26953125,0.0,0.0
1734582868.308107,618.1640625,167.48046875,248.046875,0.0,0.0
1734582868.3120062,-83.0078125,-167.96875,31.73828125,0.0,0.0
1734582868.3159056,-614.2578125,-360.3515625,-25.390625,0.0,0.0
1734582868.319805,-357.421875,-102.05078125,172.8515625,0.0,0.0
1734582868.3237731,0.0,268.06640625,372.55859375,222.65625,0.0
1734582868.3276722,0.0,50.78125,175.29296875,569.82421875,0.0
1734582868.3315716,0.0,-311.5234375,-114.2578125,148.4375,0.0
1734582868.335471,0.0,-365.234375,-172.8515625,-401.3671875,0.0
1734582868.3393703,0.0,-124.51171875,70.3125,-459.47265625,0.0
1734582868.3432696,0.0,-9.765625,235.3515625,156.73828125,0.0
1734582868.3471687,0.0,-297.36328125,-26.85546875,584.47265625,0.0
1734582868.351068,0.0,-188.96484375,-2.9296875,183.10546875,0.0
