timestamps,TP9,AF7,AF8,TP10,Right AUX
1734412724.800215,-23.4375,-50.78125,-51.26953125,-47.36328125,0.0
1734412724.804121,-14.6484375,-49.8046875,-50.29296875,-48.828125,0.0
1734412724.8080268,-18.06640625,-52.24609375,-51.7578125,-41.50390625,0.0
1734412724.8119328,-23.4375,-50.29296875,-51.26953125,-31.73828125,0.0
1734412724.8158386,-23.4375,-51.26953125,-50.78125,-40.52734375,0.0
1734412724.8197446,-22.4609375,-54.19921875,-53.7109375,-44.921875,0.0
1734412724.8236504,-13.18359375,-53.22265625,-55.17578125,-31.25,0.0
1734412724.8275564,-18.06640625,-42.48046875,-45.41015625,-29.78515625,0.0
1734412724.8314621,-25.390625,-44.921875,-43.9453125,-36.62109375,0.0
1734412724.8353682,-15.625,-49.8046875,-43.9453125,-37.109375,0.0
1734412724.839274,-15.625,-45.41015625,-34.66796875,-32.71484375,0.0
1734412724.8431647,-23.4375,-41.50390625,-32.71484375,-32.71484375,0.0
1734412724.8470705,-26.3671875,-43.9453125,-32.2265625,-31.25,0.0
1734412724.8509765,-33.69140625,-49.8046875,-37.59765625,-29.296875,0.0
1734412724.8548822,-39.0625,-53.22265625,-42.48046875,-34.66796875,0.0
1734412724.8587883,-38.0859375,-52.734375,-39.0625,-40.0390625,0.0
1734412724.862694,-34.66796875,-47.36328125,-41.015625,-43.9453125,0.0
1734412724.8666,-36.62109375,-51.26953125,-47.36328125,-45.8984375,0.0
1734412724.8705058,-44.43359375,-53.7109375,-52.734375,-41.9921875,0.0
1734412724.8744118,-39.0625,-55.6640625,-56.640625,-46.875,0.0
1734412724.8783176,-29.296875,-55.6640625,-52.24609375,-51.7578125,0.0
1734412724.8822236,-25.390625,-50.78125,-45.41015625,-51.7578125,0.0
1734412724.8861294,-26.85546875,-53.22265625,-45.41015625,-58.10546875,0.0
1734412724.8900118,-35.64453125,-54.6875,-42.96875,-52.24609375,0.0
1734412724.8939176,-26.3671875,-47.8515625,-45.41015625,-41.9921875,0.0
1734412724.8978236,-12.20703125,-46.38671875,-45.8984375,-37.109375,0.0
1734412724.9017293,-16.6015625,-48.33984375,-42.48046875,-31.73828125,0.0
1734412724.9056354,-18.06640625,-47.8515625,-41.015625,-36.62109375,0.0
1734412724.9095411,-20.01953125,-48.33984375,-41.015625,-33.203125,0.0
1734412724.9134471,-25.87890625,-46.38671875,-39.0625,-29.78515625,0.0
1734412724.917353,-35.64453125,-46.875,-39.55078125,-43.45703125,0.0
1734412724.921259,-31.25,-49.31640625,-41.9921875,-44.921875,0.0
1734412724.9251647,-26.3671875,-48.33984375,-43.9453125,-37.59765625,0.0
1734412724.9290707,-42.96875,-45.8984375,-44.921875,-41.015625,0.0
1734412724.9329765,-51.26953125,-44.43359375,-46.875,-35.15625,0.0
1734412724.9369175,-41.50390625,-48.33984375,-47.36328125,-32.2265625,0.0
1734412724.9408236,-35.64453125,-50.78125,-48.33984375,-42.48046875,0.0
