timestamps,TP9,AF7,AF8,TP10,Right AUX
1734413199.3627384,-23.4375,-41.50390625,-655.2734375,-41.9921875,0.0
1734413199.3666444,-30.76171875,-41.9921875,-555.17578125,-41.50390625,0.0
1734413199.3705506,-38.57421875,-38.57421875,-373.046875,-32.2265625,0.0
1734413199.3744566,-37.59765625,-43.9453125,-376.46484375,-29.296875,0.0
1734413199.378363,-32.2265625,-59.5703125,-662.109375,-27.83203125,0.0
1734413199.382269,-39.55078125,-64.94140625,-891.11328125,-28.3203125,0.0
1734413199.3861752,-40.52734375,-46.875,-650.87890625,-30.76171875,0.0
1734413199.3900812,-41.9921875,-38.0859375,-425.78125,-35.64453125,0.0
1734413199.3939874,-41.015625,-37.109375,-452.63671875,-36.62109375,0.0
1734413199.3978934,-34.1796875,-35.15625,-586.42578125,-37.59765625,0.0
1734413199.4017994,-41.015625,-40.0390625,-642.578125,-47.36328125,0.0
1734413199.4059305,-44.43359375,-35.64453125,-522.94921875,-45.8984375,0.0
1734413199.4098368,-41.50390625,-33.203125,-409.66796875,-35.15625,0.0
1734413199.4137428,-35.15625,-40.0390625,-384.765625,-38.0859375,0.0
1734413199.417649,-29.296875,-49.31640625,-504.8828125,-43.9453125,0.0
1734413199.421555,-39.0625,-53.7109375,-629.8828125,-39.55078125,0.0
1734413199.4254613,-45.8984375,-53.22265625,-681.640625,-39.0625,0.0
1734413199.4293673,-42.96875,-45.41015625,-518.06640625,-39.0625,0.0
1734413199.4332736,-43.9453125,-40.52734375,-349.609375,-45.41015625,0.0
1734413199.4371796,-39.0625,-47.36328125,-521.484375,-53.7109375,0.0
1734413199.4410856,-33.203125,-56.15234375,-790.52734375,-57.6171875,0.0
1734413199.4449918,-36.1328125,-44.43359375,-703.125,-44.921875,0.0
1734413199.4488978,-36.62109375,-37.59765625,-368.1640625,-38.0859375,0.0
1734413199.4529738,-29.296875,-44.43359375,-350.5859375,-33.69140625,0.0
1734413199.45688,-30.76171875,-44.921875,-605.46875,-31.25,0.0
1734413199.460786,-38.57421875,-48.828125,-662.109375,-52.24609375,0.0
1734413199.4646924,-41.015625,-47.36328125,-578.125,-53.22265625,0.0
1734413199.4685984,-36.1328125,-36.62109375,-423.33984375,-37.109375,0.0
1734413199.4725046,-35.64453125,-41.50390625,-444.82421875,-36.1328125,0.0
1734413199.4764106,-34.1796875,-42.96875,-522.94921875,-46.875,0.0
1734413199.4803169,-19.04296875,-39.0625,-604.98046875,-49.8046875,0.0
1734413199.484223,-16.11328125,-46.875,-740.72265625,-30.2734375,0.0
1734413199.4881291,-30.76171875,-38.0859375,-520.5078125,-22.94921875,0.0
1734413199.4920352,-34.66796875,-30.2734375,-333.49609375,-32.2265625,0.0
1734413199.4959414,-40.52734375,-37.109375,-428.7109375,-52.734375,0.0
1734413199.4999619,-43.45703125,-47.8515625,-681.640625,-61.03515625,0.0
1734413199.503868,-50.78125,-52.734375,-738.76953125,-48.33984375,0.0
1734413199.507774,-55.17578125,-34.1796875,-442.3828125,-46.875,0.0
1734413199.5116804,-48.828125,-27.83203125,-329.1015625,-48.828125,0.0
1734413199.5155864,-42.96875,-35.15625,-464.84375,-49.8046875,0.0
1734413199.5194926,-42.48046875,-37.59765625,-703.125,-51.7578125,0.0
1734413199.5233986,-51.26953125,-41.015625,-759.27734375,-52.734375,0.0
1734413199.527305,-53.22265625,-36.1328125,-489.74609375,-54.6875,0.0
1734413199.531211,-45.41015625,-37.59765625,-484.86328125,-52.24609375,0.0
1734413199.5351171,-47.8515625,-41.9921875,-538.0859375,-54.6875,0.0
1734413199.5390232,-53.22265625,-43.45703125,-519.53125,-60.546875,0.0
1734413199.5429294,-46.875,-47.36328125,-651.3671875,-65.4296875,0.0
1734413199.5469375,-37.59765625,-45.8984375,-634.765625,-47.8515625,0.0
1734413199.5508437,-34.66796875,-39.0625,-389.16015625,-41.9921875,0.0
1734413199.5547497,-29.78515625,-32.2265625,-335.44921875,-50.78125,0.0
1734413199.558656,-12.20703125,-34.1796875,-563.96484375,-39.55078125,0.0
1734413199.562562,-11.71875,-41.015625,-744.140625,-38.0859375,0.0
1734413199.5664682,-31.25,-34.66796875,-646.97265625,-43.9453125,0.0
1734413199.5703743,-35.15625,-23.4375,-370.60546875,-34.66796875,0.0
1734413199.5742805,-28.3203125,-32.71484375,-407.71484375,-29.296875,0.0
1734413199.5781865,-26.3671875,-56.15234375,-796.38671875,-31.73828125,0.0
1734413199.5820928,-28.80859375,-49.31640625,-720.703125,-38.0859375,0.0
1734413199.5859988,-32.2265625,-40.0390625,-527.83203125,-24.4140625,0.0
