timestamps,TP9,AF7,AF8,TP10,Right AUX
1734414808.486584,-548.828125,-612.79296875,-628.90625,-760.25390625,0.0
1734414808.490488,-1000.0,-1000.0,-1000.0,-1000.0,0.0
1734414808.4943924,-176.26953125,-515.13671875,-247.0703125,-20.5078125,0.0
1734414808.4982967,-947.265625,883.30078125,728.515625,-943.84765625,0.0
1734414808.502201,833.49609375,909.1796875,508.30078125,688.96484375,0.0
1734414808.5061052,-551.7578125,-552.734375,-639.16015625,-686.03515625,0.0
1734414808.5100095,-1000.0,-1000.0,-1000.0,-1000.0,0.0
1734414808.5139139,-520.5078125,-649.4140625,-250.0,-233.88671875,0.0
1734414808.5178182,910.64453125,735.83984375,661.1328125,954.58984375,0.0
1734414808.5217226,919.921875,-959.47265625,529.78515625,843.26171875,0.0
1734414808.5256267,-527.83203125,-347.16796875,-416.9921875,-572.75390625,0.0
1734414808.529545,-1000.0,-1000.0,-944.82421875,-1000.0,0.0
1734414808.5334494,-701.171875,-830.078125,-469.7265625,-423.828125,0.0
1734414808.5373535,740.72265625,574.21875,526.85546875,841.30859375,0.0
1734414808.5412579,-952.1484375,-887.20703125,682.12890625,946.77734375,0.0
1734414808.5451622,-388.18359375,-192.3828125,-235.3515625,-455.078125,0.0
1734414808.5490665,-1000.0,-1000.0,-958.984375,-1000.0,0.0
1734414808.552971,-836.42578125,-861.328125,-798.33984375,-564.453125,0.0
1734414808.556875,587.890625,556.15234375,444.3359375,756.34765625,0.0
1734414808.5607793,-905.76171875,-867.67578125,787.59765625,995.60546875,0.0
1734414808.5646837,-357.91015625,-133.30078125,-227.05078125,-356.93359375,0.0
1734414808.568588,-1000.0,-1000.0,-923.33984375,-1000.0,0.0
1734414808.5724921,-841.30859375,-889.6484375,-626.953125,-705.56640625,0.0
1734414808.5764253,529.296875,474.12109375,458.984375,662.59765625,0.0
1734414808.5803297,-834.47265625,-830.078125,750.0,-934.5703125,0.0
1734414808.584234,-134.765625,113.76953125,-63.96484375,-185.05859375,0.0
1734414808.5881383,-1000.0,-997.0703125,-864.74609375,-1000.0,0.0
1734414808.5920427,-834.9609375,-1000.0,-715.33203125,-830.078125,0.0
1734414808.5959468,510.25390625,218.26171875,240.234375,549.31640625,0.0
1734414808.5998511,-806.640625,-835.9375,675.78125,-892.578125,0.0
1734414808.6037555,265.13671875,408.69140625,118.1640625,35.15625,0.0
1734414808.6076598,-1000.0,-868.1640625,-779.78515625,-1000.0,0.0
1734414808.6115642,-968.26171875,-1000.0,-969.23828125,-930.17578125,0.0
1734414808.6154683,384.27734375,100.5859375,107.91015625,424.31640625,0.0
