timestamps,TP9,AF7,AF8,TP10,Right AUX
1733975172.3901465,180.17578125,973.14453125,-1000.0,153.3203125,0.0
1733975172.3940506,184.08203125,967.7734375,-1000.0,173.828125,0.0
1733975172.3979545,182.12890625,972.16796875,-1000.0,200.68359375,0.0
1733975172.4018586,184.08203125,940.91796875,-1000.0,201.171875,0.0
1733975172.4057627,158.69140625,956.0546875,-1000.0,204.1015625,0.0
1733975172.4096668,159.1796875,822.265625,-1000.0,324.70703125,0.0
1733975172.413571,189.453125,373.53515625,-1000.0,437.98828125,0.0
1733975172.417475,185.546875,-460.44921875,-1000.0,491.2109375,0.0
1733975172.421379,176.7578125,-812.5,-1000.0,511.23046875,0.0
1733975172.425283,162.59765625,-20.5078125,-1000.0,472.16796875,0.0
1733975172.429187,161.62109375,350.09765625,-1000.0,442.3828125,0.0
1733975172.4330912,156.73828125,67.3828125,-1000.0,502.9296875,0.0
1733975172.4370542,137.6953125,90.8203125,-1000.0,589.35546875,0.0
1733975172.4409583,147.4609375,260.7421875,-998.53515625,644.04296875,0.0
1733975172.4448624,162.109375,144.04296875,-986.81640625,613.28125,0.0
1733975172.4487665,143.5546875,-69.82421875,-991.69921875,507.8125,0.0
1733975172.4526706,140.625,-81.0546875,-665.0390625,486.81640625,0.0
1733975172.4565747,155.76171875,-158.203125,182.12890625,524.90234375,0.0
1733975172.4604788,143.06640625,-250.9765625,733.88671875,520.99609375,0.0
1733975172.4643826,144.04296875,-509.27734375,685.546875,466.30859375,0.0
1733975172.4682868,145.01953125,-267.08984375,791.015625,374.51171875,0.0
1733975172.4721909,114.2578125,542.96875,932.6171875,326.66015625,0.0
1733975172.476095,91.796875,675.29296875,921.875,336.9140625,0.0
1733975172.479999,121.09375,701.66015625,948.73046875,377.44140625,0.0
1733975172.4839222,155.76171875,858.88671875,960.9375,384.27734375,0.0
1733975172.4878263,129.39453125,982.421875,969.23828125,272.4609375,0.0
1733975172.4917305,108.3984375,941.89453125,969.23828125,218.75,0.0
1733975172.4956346,115.234375,803.22265625,966.30859375,280.2734375,0.0
1733975172.4995387,109.375,890.625,968.75,351.07421875,0.0
1733975172.5034428,104.00390625,994.62890625,969.7265625,359.375,0.0
1733975172.5073469,85.9375,933.10546875,969.23828125,280.2734375,0.0
1733975172.5112507,90.33203125,872.55859375,969.23828125,253.90625,0.0
1733975172.5151548,112.79296875,928.22265625,969.23828125,319.3359375,0.0
1733975172.519059,112.79296875,-987.3046875,969.7265625,357.421875,0.0
1733975172.522963,125.9765625,841.796875,969.7265625,335.44921875,0.0
1733975172.5268672,140.625,711.9140625,969.23828125,272.4609375,0.0
1733975172.530789,143.5546875,887.6953125,969.23828125,228.02734375,0.0
1733975172.5346928,137.6953125,-981.93359375,969.23828125,251.953125,0.0
1733975172.5385969,140.13671875,286.62109375,969.23828125,299.31640625,0.0
1733975172.542501,170.41015625,-568.359375,969.23828125,296.875,0.0
1733975172.546405,157.71484375,-92.7734375,969.7265625,201.66015625,0.0
1733975172.5503092,143.06640625,-416.9921875,965.8203125,130.859375,0.0
1733975172.5542133,181.640625,-986.81640625,956.0546875,156.25,0.0
1733975172.5581174,206.0546875,-979.00390625,953.61328125,179.19921875,0.0
1733975172.5620213,207.03125,-977.05078125,948.73046875,175.29296875,0.0
1733975172.5659254,187.01171875,-1000.0,937.01171875,123.53515625,0.0
1733975172.5698295,176.26953125,-1000.0,934.5703125,64.453125,0.0
1733975172.5737336,181.15234375,-1000.0,934.08203125,82.51953125,0.0
1733975172.5776525,189.453125,-1000.0,919.43359375,150.390625,0.0
1733975172.5815566,213.37890625,-1000.0,904.296875,181.15234375,0.0
1733975172.5854607,213.8671875,-1000.0,902.83203125,125.48828125,0.0
1733975172.5893645,199.21875,-1000.0,910.15625,73.2421875,0.0
1733975172.5932686,204.58984375,-1000.0,916.015625,99.12109375,0.0
1733975172.5971727,228.02734375,-1000.0,898.4375,161.1328125,0.0
1733975172.6010768,251.46484375,-1000.0,891.6015625,191.89453125,0.0
1733975172.604981,240.72265625,-1000.0,846.19140625,128.90625,0.0
1733975172.608885,223.6328125,-1000.0,87.890625,46.38671875,0.0
1733975172.6127892,204.58984375,-1000.0,-79.58984375,46.38671875,0.0
1733975172.616693,214.84375,-1000.0,-76.171875,121.58203125,0.0
1733975172.6205971,227.05078125,-1000.0,-364.2578125,157.71484375,0.0
1733975172.6245134,0.0,-1000.0,225.5859375,108.88671875,0.0
1733975172.6284175,0.0,-1000.0,474.12109375,51.26953125,0.0
1733975172.6323216,0.0,-1000.0,644.04296875,52.734375,0.0
1733975172.6362257,0.0,-1000.0,847.65625,116.2109375,0.0
1733975172.6401296,0.0,-1000.0,857.91015625,158.69140625,0.0
1733975172.6440337,0.0,-1000.0,856.93359375,119.140625,0.0
1733975172.6479378,0.0,-1000.0,877.44140625,28.80859375,0.0
1733975172.6518419,0.0,-1000.0,898.92578125,-4.39453125,0.0
1733975172.655746,0.0,-1000.0,898.4375,56.15234375,0.0
1733975172.65965,0.0,-1000.0,880.37109375,109.375,0.0
1733975172.6635542,0.0,-1000.0,846.19140625,74.70703125,0.0
1733975172.6674583,0.0,-1000.0,843.26171875,-11.71875,0.0
1733975172.6713407,213.8671875,-1000.0,846.6796875,0.0,0.0
1733975172.6752446,212.40234375,-1000.0,852.5390625,0.0,0.0
1733975172.6791487,215.33203125,-1000.0,881.34765625,0.0,0.0
1733975172.6830528,219.7265625,-1000.0,882.32421875,0.0,0.0
1733975172.686957,237.3046875,-1000.0,878.90625,0.0,0.0
1733975172.690861,245.1171875,-1000.0,872.0703125,0.0,0.0
1733975172.694765,216.796875,-1000.0,884.27734375,0.0,0.0
1733975172.6986692,193.84765625,-1000.0,895.99609375,0.0,0.0
1733975172.7025733,203.61328125,-1000.0,891.6015625,0.0,0.0
1733975172.7064772,216.30859375,-1000.0,880.859375,0.0,0.0
1733975172.7103813,226.07421875,-1000.0,888.671875,0.0,0.0
1733975172.7142854,224.609375,-1000.0,891.11328125,0.0,0.0
