timestamps,TP9,AF7,AF8,TP10,Right AUX
1734412890.018523,-39.55078125,-110.83984375,-354.00390625,-29.78515625,0.0
1734412890.0224292,-12.6953125,81.54296875,-256.8359375,-18.5546875,0.0
1734412890.0263352,-2.44140625,-88.8671875,-119.140625,-30.2734375,0.0
1734412890.0302413,-21.484375,-257.8125,-355.46875,-32.71484375,0.0
1734412890.0341473,-27.34375,-442.87109375,-460.9375,-29.78515625,0.0
1734412890.0380533,-31.73828125,-509.765625,-450.68359375,-7.8125,0.0
1734412890.0419593,-14.16015625,-709.9609375,-570.80078125,-6.34765625,0.0
1734412890.0458653,-27.34375,-493.65234375,-195.80078125,-36.62109375,0.0
1734412890.0497713,-38.0859375,51.7578125,-64.453125,-63.96484375,0.0
1734412890.0536776,-29.78515625,-117.1875,-372.0703125,-58.59375,0.0
1734412890.0575836,-36.1328125,-394.04296875,-405.2734375,-34.1796875,0.0
1734412890.0614932,-23.92578125,-116.69921875,-318.84765625,-10.25390625,0.0
1734412890.0653992,-12.6953125,-115.72265625,-128.41796875,-13.18359375,0.0
1734412890.0693052,-25.87890625,-350.09765625,-266.11328125,-16.11328125,0.0
1734412890.0732112,-38.57421875,-301.7578125,-385.7421875,-23.4375,0.0
1734412890.0771174,-27.34375,-159.1796875,-358.88671875,-17.578125,0.0
1734412890.0810235,-16.6015625,-236.81640625,-384.765625,16.11328125,0.0
1734412890.0849295,-9.765625,-326.66015625,-199.70703125,-4.8828125,0.0
1734412890.0888355,12.6953125,-761.71875,-381.34765625,-22.4609375,0.0
1734412890.0927415,-6.34765625,-537.109375,-412.109375,-27.34375,0.0
1734412890.0966475,-35.64453125,-40.52734375,-301.26953125,-16.6015625,0.0
1734412890.1005535,-18.5546875,-117.1875,-333.984375,4.39453125,0.0
1734412890.1044598,4.8828125,33.69140625,20.99609375,-6.34765625,0.0
1734412890.1083689,-9.27734375,235.83984375,143.06640625,-25.390625,0.0
1734412890.112275,-27.34375,98.14453125,-168.9453125,-37.109375,0.0
1734412890.116181,-23.4375,-308.10546875,-439.453125,-18.5546875,0.0
1734412890.120087,-16.11328125,-176.7578125,-348.6328125,1.953125,0.0
1734412890.123993,-11.71875,205.56640625,62.5,-29.296875,0.0
1734412890.1278992,-23.92578125,-94.23828125,-15.625,-40.0390625,0.0
1734412890.1318052,-25.390625,-713.37890625,-545.8984375,-43.45703125,0.0
1734412890.1357112,-47.36328125,-666.9921875,-466.30859375,-35.64453125,0.0
1734412890.1396172,-44.43359375,-26.85546875,-255.37109375,-7.32421875,0.0
1734412890.1435232,-10.7421875,129.39453125,-45.41015625,-28.80859375,0.0
1734412890.1474292,-12.20703125,-280.2734375,-75.1953125,-59.5703125,0.0
1734412890.1513352,-36.62109375,-373.046875,-371.09375,-74.70703125,0.0
1734412890.1552477,-57.12890625,-179.19921875,-348.14453125,-54.19921875,0.0
1734412890.1591537,-43.9453125,-443.84765625,-426.26953125,-29.296875,0.0
1734412890.1630597,-25.390625,-510.7421875,-255.37109375,-39.55078125,0.0
1734412890.1669657,-20.99609375,5.859375,126.46484375,-27.83203125,0.0
1734412890.1708717,-37.109375,128.41796875,-55.17578125,-28.80859375,0.0
1734412890.1747777,-38.0859375,-384.27734375,-418.45703125,-13.18359375,0.0
1734412890.178684,-15.13671875,-887.20703125,-628.90625,39.0625,0.0
1734412890.18259,-17.578125,-235.83984375,-229.4921875,18.5546875,0.0
1734412890.186496,-8.30078125,286.62109375,186.03515625,-4.8828125,0.0
1734412890.190402,-4.39453125,-61.5234375,-143.06640625,-20.99609375,0.0
1734412890.194308,-33.69140625,-223.14453125,-354.4921875,-24.4140625,0.0
1734412890.198214,-37.109375,-69.82421875,-357.91015625,2.9296875,0.0
1734412890.2021263,-12.20703125,90.33203125,-229.00390625,11.23046875,0.0
1734412890.2060323,3.90625,-98.6328125,-14.6484375,2.44140625,0.0
1734412890.2099383,1.46484375,-348.14453125,-275.390625,-14.16015625,0.0
1734412890.2138443,-33.69140625,-186.5234375,-371.09375,-43.45703125,0.0
1734412890.2177503,-40.52734375,-102.5390625,-361.328125,-25.390625,0.0
1734412890.2216563,-6.8359375,-537.59765625,-540.52734375,12.20703125,0.0
1734412890.2255626,3.90625,-479.4921875,-163.57421875,-18.5546875,0.0
1734412890.2294686,-12.6953125,58.59375,53.7109375,-40.52734375,0.0
1734412890.2333746,-30.76171875,-9.765625,-273.92578125,-40.52734375,0.0
1734412890.2372806,-43.9453125,-745.60546875,-607.421875,-21.97265625,0.0
1734412890.2411866,-42.48046875,-541.9921875,-402.34375,-27.83203125,0.0
1734412890.2450926,-22.94921875,195.80078125,158.203125,-34.1796875,0.0
1734412890.2490041,-20.5078125,61.03515625,20.5078125,-29.296875,0.0
1734412890.2529101,-29.296875,-440.4296875,-394.04296875,-35.15625,0.0
1734412890.2568161,-62.5,-332.51953125,-384.765625,-20.5078125,0.0
1734412890.2607224,-39.55078125,51.26953125,-275.87890625,-26.3671875,0.0
1734412890.2646284,-0.48828125,-13.18359375,-58.59375,-20.5078125,0.0
1734412890.2685344,-6.8359375,-308.10546875,-141.11328125,-3.41796875,0.0
1734412890.2724404,-13.671875,-463.8671875,-401.3671875,-19.04296875,0.0
1734412890.2763464,-20.99609375,-344.7265625,-330.56640625,-3.41796875,0.0
1734412890.2802525,-9.27734375,-327.1484375,-398.92578125,28.3203125,0.0
1734412890.2841585,14.6484375,-706.54296875,-334.47265625,20.99609375,0.0
1734412890.2880645,3.90625,-123.046875,122.55859375,-11.71875,0.0
1734412890.2919707,-22.4609375,188.4765625,14.6484375,-20.01953125,0.0
