timestamps,TP9,AF7,AF8,TP10,Right AUX
1734413518.0608702,-20.99609375,574.70703125,431.15234375,-37.109375,0.0
1734413518.0647748,-33.203125,150.87890625,-303.22265625,-75.68359375,0.0
1734413518.068679,-67.87109375,-540.0390625,-698.73046875,-83.0078125,0.0
1734413518.0725837,-67.87109375,-302.24609375,3.90625,-57.6171875,0.0
1734413518.0764883,-29.78515625,277.34375,542.96875,-13.18359375,0.0
1734413518.0803928,-19.53125,270.5078125,368.1640625,-15.13671875,0.0
1734413518.0842974,-41.015625,-490.234375,-428.7109375,-59.08203125,0.0
1734413518.088202,-64.94140625,-858.3984375,-815.91796875,-78.125,0.0
1734413518.0921063,-74.70703125,-40.52734375,-10.25390625,-19.53125,0.0
1734413518.096011,-48.33984375,611.81640625,535.15625,13.671875,0.0
1734413518.0999155,-19.53125,552.24609375,442.87109375,-37.109375,0.0
1734413518.1038413,-31.73828125,-82.51953125,-187.01171875,-77.1484375,0.0
1734413518.107746,-61.5234375,-409.66796875,-706.54296875,-87.40234375,0.0
1734413518.1116505,-55.17578125,-134.765625,-114.2578125,-54.19921875,0.0
1734413518.115555,-30.76171875,346.6796875,503.90625,-4.8828125,0.0
1734413518.1194596,-20.99609375,724.12109375,525.87890625,-20.5078125,0.0
1734413518.1233642,-36.1328125,135.7421875,-90.33203125,-47.36328125,0.0
1734413518.1272686,-59.08203125,-705.078125,-829.1015625,-58.59375,0.0
1734413518.1311731,-60.05859375,-930.6640625,-565.4296875,-36.62109375,0.0
1734413518.1350777,-55.6640625,-15.625,329.58984375,-10.7421875,0.0
1734413518.1389823,-35.64453125,818.359375,612.79296875,-20.01953125,0.0
1734413518.1428869,-37.59765625,199.21875,-34.1796875,-43.9453125,0.0
1734413518.1467912,-56.640625,-437.5,-708.49609375,-69.3359375,0.0
1734413518.150715,-53.22265625,-157.2265625,-321.77734375,-68.359375,0.0
1734413518.1546197,-37.109375,472.16796875,401.3671875,-17.08984375,0.0
1734413518.1585243,-25.390625,581.54296875,564.94140625,10.25390625,0.0
1734413518.1624289,-28.3203125,255.37109375,130.37109375,-25.87890625,0.0
1734413518.1663334,-51.26953125,-193.359375,-588.8671875,-66.40625,0.0
1734413518.170238,-85.9375,-480.95703125,-536.1328125,-69.82421875,0.0
1734413518.1741424,-64.94140625,-510.7421875,105.46875,-19.53125,0.0
1734413518.178047,-20.99609375,-80.56640625,495.1171875,-6.8359375,0.0
1734413518.1819515,-34.1796875,499.0234375,259.765625,-59.5703125,0.0
1734413518.185856,-57.12890625,-78.61328125,-519.53125,-86.9140625,0.0
1734413518.1897607,-57.12890625,-553.7109375,-588.8671875,-80.078125,0.0
1734413518.1936653,-40.52734375,-26.3671875,207.03125,-31.25,0.0
1734413518.1975875,-10.7421875,530.76171875,594.7265625,5.859375,0.0
1734413518.201492,-1.953125,212.40234375,200.68359375,-24.4140625,0.0
1734413518.2053967,-40.0390625,-324.70703125,-518.5546875,-72.75390625,0.0
1734413518.209301,-68.84765625,-373.046875,-598.14453125,-75.68359375,0.0
1734413518.2132056,-54.19921875,193.84765625,162.109375,-29.78515625,0.0
1734413518.2171102,-29.296875,418.45703125,544.921875,6.34765625,0.0
1734413518.2210147,-21.484375,-243.1640625,151.85546875,-11.23046875,0.0
1734413518.2249193,-42.96875,-363.76953125,-455.56640625,-52.734375,0.0
1734413518.228824,-75.68359375,-181.640625,-597.65625,-69.82421875,0.0
1734413518.2327282,-74.21875,-96.6796875,1.46484375,-40.0390625,0.0
1734413518.2366328,-38.0859375,425.29296875,515.13671875,-3.90625,0.0
1734413518.2405374,-17.578125,687.98828125,426.26953125,-16.6015625,0.0
1734413518.2444756,-22.94921875,180.17578125,-249.51171875,-56.640625,0.0
1734413518.2483802,-48.828125,-494.140625,-714.84375,-74.21875,0.0
1734413518.2522848,-60.05859375,-456.54296875,-98.14453125,-36.62109375,0.0
1734413518.256189,-28.80859375,453.61328125,552.24609375,7.32421875,0.0
1734413518.2600937,-12.6953125,771.97265625,459.9609375,-4.8828125,0.0
1734413518.2639983,-33.203125,-267.08984375,-281.25,-44.921875,0.0
1734413518.2679029,-65.4296875,-875.48828125,-750.9765625,-83.0078125,0.0
1734413518.2718074,-75.1953125,-136.23046875,-95.21484375,-70.3125,0.0
1734413518.275712,-46.38671875,561.03515625,506.34765625,-10.7421875,0.0
1734413518.2796164,-12.6953125,311.5234375,474.609375,4.8828125,0.0
1734413518.283521,-24.90234375,-86.42578125,-81.54296875,-47.8515625,0.0
1734413518.2874255,-56.15234375,-207.51953125,-688.4765625,-92.7734375,0.0
1734413518.29136,-66.40625,-372.0703125,-335.9375,-62.5,0.0
1734413518.2952645,-39.55078125,91.30859375,362.79296875,-5.37109375,0.0
1734413518.2991688,-13.18359375,673.828125,582.51953125,-2.9296875,0.0
1734413518.3030734,-23.4375,423.828125,29.78515625,-48.828125,0.0
1734413518.306978,-51.26953125,-348.6328125,-723.6328125,-72.265625,0.0
1734413518.3108826,-59.08203125,-685.546875,-517.08984375,-38.0859375,0.0
1734413518.3147871,-32.71484375,-134.27734375,249.51171875,6.34765625,0.0
1734413518.3186917,-13.671875,519.53125,608.3984375,3.90625,0.0
1734413518.322596,-22.4609375,147.94921875,-34.1796875,-29.296875,0.0
1734413518.3265007,-46.38671875,-840.33203125,-871.09375,-76.171875,0.0
1734413518.3304052,-64.94140625,-500.48828125,-462.40234375,-55.6640625,0.0
1734413518.3343098,-43.45703125,317.87109375,305.6640625,-3.41796875,0.0
1734413518.338242,-13.18359375,518.5546875,535.64453125,-7.8125,0.0
1734413518.3421466,-9.765625,282.71484375,144.04296875,-43.45703125,0.0
1734413518.3460512,-32.71484375,-108.3984375,-542.96875,-77.63671875,0.0
1734413518.3499556,-42.48046875,-286.62109375,-596.19140625,-82.51953125,0.0
1734413518.3538601,-33.69140625,-18.5546875,127.44140625,-24.4140625,0.0
1734413518.3577647,-9.27734375,179.6875,514.16015625,9.27734375,0.0
1734413518.3616693,6.34765625,181.640625,170.41015625,-37.59765625,0.0
1734413518.365574,-25.390625,-199.21875,-592.7734375,-82.03125,0.0
1734413518.3694785,-54.6875,-849.12109375,-854.98046875,-81.0546875,0.0
1734413518.3733828,-44.921875,-419.43359375,-99.12109375,-28.80859375,0.0
1734413518.3772874,-17.578125,587.890625,525.87890625,1.46484375,0.0
1734413518.381192,-2.44140625,470.21484375,155.2734375,-32.2265625,0.0
1734413518.385122,-19.53125,-596.19140625,-700.1953125,-81.0546875,0.0
1734413518.3890266,-57.6171875,-921.875,-845.21484375,-105.95703125,0.0
1734413518.3929312,-50.78125,-77.63671875,-88.8671875,-65.4296875,0.0
1734413518.3968358,-20.01953125,430.17578125,487.3046875,-26.85546875,0.0
1734413518.4007401,-9.27734375,252.9296875,237.3046875,-41.015625,0.0
1734413518.4046447,-31.73828125,-424.31640625,-558.10546875,-87.40234375,0.0
1734413518.4085493,-38.0859375,-733.88671875,-815.91796875,-85.44921875,0.0
1734413518.412454,-32.71484375,-370.60546875,-278.3203125,-28.80859375,0.0
1734413518.4163585,-15.625,-229.98046875,291.015625,-4.8828125,0.0
1734413518.420263,-7.32421875,281.25,413.57421875,-36.1328125,0.0
1734413518.4241676,-27.83203125,270.99609375,-237.3046875,-62.01171875,0.0
1734413518.428072,-37.59765625,-602.05078125,-833.49609375,-83.0078125,0.0
1734413518.4320009,-44.921875,-560.546875,-226.5625,-57.6171875,0.0
1734413518.4359055,-28.80859375,530.2734375,524.90234375,7.8125,0.0
1734413518.43981,12.6953125,799.8046875,489.74609375,15.625,0.0
1734413518.4437144,-7.8125,83.0078125,-143.5546875,-31.25,0.0
1734413518.447619,-51.7578125,-425.78125,-736.81640625,-65.91796875,0.0
1734413518.4515235,-45.8984375,-363.76953125,-336.9140625,-39.55078125,0.0
1734413518.4554281,-20.01953125,208.49609375,402.83203125,11.23046875,0.0
1734413518.4593327,-2.9296875,76.66015625,401.3671875,28.80859375,0.0
1734413518.4632373,-21.484375,-391.11328125,-173.33984375,-26.85546875,0.0
1734413518.4671419,-54.6875,-189.94140625,-617.1875,-74.70703125,0.0
1734413518.4710462,-70.3125,-152.83203125,-296.38671875,-43.45703125,0.0
1734413518.4749508,-44.43359375,300.78125,378.41796875,8.30078125,0.0
1734413518.4788768,-6.8359375,526.85546875,552.734375,12.6953125,0.0
1734413518.4827814,-17.578125,267.578125,144.04296875,-19.04296875,0.0
1734413518.486686,-45.41015625,-250.9765625,-601.07421875,-55.17578125,0.0
1734413518.4905906,-52.734375,-556.640625,-501.46484375,-35.15625,0.0
1734413518.494495,-57.12890625,224.609375,337.890625,6.34765625,0.0
1734413518.4983995,-32.71484375,607.91015625,612.3046875,36.1328125,0.0
1734413518.502304,-19.53125,95.21484375,104.00390625,-2.9296875,0.0
1734413518.5062087,-32.71484375,-730.46875,-693.84765625,-58.10546875,0.0
1734413518.5101132,-59.5703125,-512.20703125,-479.98046875,-45.8984375,0.0
1734413518.5140178,-54.6875,492.67578125,348.14453125,21.484375,0.0
1734413518.5179224,-21.97265625,698.73046875,555.6640625,28.3203125,0.0
1734413518.5218267,-26.3671875,463.8671875,270.01953125,-46.38671875,0.0
1734413518.5257664,-57.6171875,104.00390625,-370.60546875,-76.171875,0.0
1734413518.529671,-72.265625,-195.3125,-551.7578125,-60.05859375,0.0
1734413518.5335755,-76.171875,25.87890625,168.45703125,-28.3203125,0.0
1734413518.53748,-43.9453125,602.05078125,624.51171875,-2.9296875,0.0
1734413518.5413847,-15.625,690.4296875,335.44921875,-9.765625,0.0
1734413518.5452893,-46.875,-139.16015625,-422.8515625,-50.29296875,0.0
1734413518.5491936,-78.61328125,-939.453125,-839.84375,-70.3125,0.0
1734413518.5530982,-67.87109375,-609.375,-137.6953125,-31.73828125,0.0
1734413518.5570028,-34.66796875,607.91015625,641.11328125,1.46484375,0.0
1734413518.5609074,-17.08984375,722.16796875,384.27734375,-19.04296875,0.0
1734413518.564812,-33.69140625,-104.98046875,-353.515625,-49.8046875,0.0
1734413518.5687165,-73.73046875,-406.25,-672.36328125,-62.5,0.0
1734413518.5726383,-87.40234375,-155.2734375,-41.50390625,-35.15625,0.0
1734413518.5765429,-44.43359375,253.41796875,510.7421875,11.71875,0.0
1734413518.5804474,-20.01953125,411.1328125,447.75390625,-10.7421875,0.0
1734413518.584352,-38.0859375,131.34765625,-146.97265625,-69.82421875,0.0
1734413518.5882566,-52.24609375,-252.44140625,-704.58984375,-81.0546875,0.0
1734413518.5921612,-51.26953125,-431.15234375,-225.09765625,-31.73828125,0.0
1734413518.5960655,-29.296875,43.9453125,452.1484375,6.8359375,0.0
1734413518.59997,-18.5546875,683.59375,541.50390625,7.32421875,0.0
1734413518.6038747,-42.96875,403.80859375,-47.36328125,-35.64453125,0.0
1734413518.6077793,-54.19921875,-528.3203125,-820.3125,-66.89453125,0.0
1734413518.6116838,-53.22265625,-798.828125,-460.9375,-35.64453125,0.0
1734413518.6155884,-48.33984375,324.70703125,447.75390625,0.48828125,0.0
1734413518.6195257,-20.01953125,896.97265625,594.7265625,-10.7421875,0.0
1734413518.6234303,-29.78515625,155.2734375,-53.22265625,-57.12890625,0.0
1734413518.6273346,-49.8046875,-453.61328125,-720.21484375,-78.61328125,0.0
1734413518.6312392,-67.87109375,-140.13671875,-303.7109375,-47.8515625,0.0
1734413518.6351438,-55.6640625,493.1640625,408.203125,4.8828125,0.0
1734413518.6390483,-14.6484375,379.39453125,523.4375,7.8125,0.0
