timestamps,TP9,AF7,AF8,TP10,Right AUX
1734407141.0511117,-118.1640625,90.33203125,332.51953125,-19.04296875,0.0
1734407141.0550177,28.3203125,434.5703125,443.359375,208.49609375,0.0
1734407141.0589237,102.05078125,225.5859375,389.16015625,257.8125,0.0
1734407141.06283,26.85546875,171.38671875,315.4296875,88.8671875,0.0
1734407141.066736,-103.02734375,74.21875,164.55078125,-117.67578125,0.0
1734407141.070642,-75.1953125,-86.42578125,209.9609375,-12.6953125,0.0
1734407141.074548,54.6875,-427.734375,271.484375,237.3046875,0.0
1734407141.078454,92.28515625,-195.80078125,317.3828125,271.484375,0.0
1734407141.08236,21.484375,342.28515625,339.84375,85.9375,0.0
1734407141.0862663,-91.30859375,-50.78125,117.1875,-102.05078125,0.0
1734407141.0901723,-79.1015625,-401.3671875,128.90625,-21.97265625,0.0
1734407141.0940783,46.38671875,52.24609375,388.671875,198.2421875,0.0
1734407141.0979922,87.40234375,490.234375,416.50390625,-81.54296875,0.0
1734407141.1018982,32.2265625,134.27734375,248.53515625,-126.46484375,0.0
1734407141.1058042,-84.47265625,-290.0390625,104.4921875,104.98046875,0.0
1734407141.1097105,-122.55859375,-61.5234375,191.89453125,242.1875,0.0
1734407141.1136165,-10.25390625,335.9375,409.66796875,164.55078125,0.0
1734407141.1175225,83.49609375,-17.578125,279.78515625,-59.08203125,0.0
1734407141.1214285,59.5703125,-411.1328125,186.03515625,-131.8359375,0.0
1734407141.1253345,-59.08203125,-88.37890625,213.8671875,62.98828125,0.0
1734407141.1292405,-115.234375,94.7265625,208.49609375,201.171875,0.0
1734407141.1331468,-20.01953125,-112.3046875,279.296875,163.0859375,0.0
1734407141.1370528,73.73046875,-307.6171875,289.55078125,-25.87890625,0.0
1734407141.1409588,64.453125,80.078125,336.42578125,-137.6953125,0.0
1734407141.1448724,-74.70703125,142.578125,237.79296875,0.0,0.0
1734407141.1487787,-150.390625,-582.51953125,-52.24609375,0.0,0.0
1734407141.1526847,-46.38671875,-520.01953125,148.4375,0.0,0.0
1734407141.1565907,62.5,338.8671875,468.75,0.0,0.0
1734407141.1604967,76.66015625,331.54296875,330.56640625,0.0,0.0
1734407141.1644027,-31.73828125,-299.31640625,131.8359375,0.0,0.0
1734407141.1683087,-123.53515625,-424.31640625,93.75,0.0,0.0
1734407141.172215,-47.8515625,149.90234375,347.65625,0.0,0.0
1734407141.176121,45.41015625,266.6015625,386.71875,0.0,0.0
1734407141.180027,70.3125,-24.90234375,277.83203125,0.0,0.0
1734407141.183933,0.48828125,-60.546875,219.23828125,0.0,0.0
1734407141.187839,-96.19140625,59.08203125,170.8984375,0.0,0.0
1734407141.1917558,-43.9453125,10.7421875,296.38671875,32.2265625,0.0
1734407141.1956618,76.171875,-218.26171875,355.95703125,218.26171875,0.0
1734407141.199568,116.2109375,94.7265625,353.515625,202.1484375,0.0
1734407141.203474,16.11328125,237.3046875,281.25,0.0,0.0
1734407141.20738,-101.07421875,-397.94921875,-17.08984375,-151.85546875,0.0
1734407141.211286,-68.359375,-741.2109375,-6.8359375,-15.13671875,0.0
1734407141.215192,40.52734375,-212.40234375,348.6328125,168.9453125,0.0
1734407141.219098,84.9609375,292.96875,393.5546875,179.6875,0.0
1734407141.2230043,9.765625,-132.32421875,100.5859375,0.0,0.0
1734407141.2269104,-98.14453125,-422.8515625,-12.6953125,-182.6171875,0.0
1734407141.2308164,-82.51953125,-155.2734375,220.703125,-72.265625,0.0
1734407141.2347224,13.18359375,126.953125,401.85546875,150.390625,0.0
1734407141.2386317,78.125,-103.02734375,247.0703125,202.1484375,0.0
1734407141.242538,19.53125,-442.3828125,114.74609375,32.71484375,0.0
1734407141.246444,-116.2109375,8.30078125,212.40234375,-191.40625,0.0
1734407141.25035,-106.93359375,131.34765625,246.09375,-117.1875,0.0
1734407141.254256,14.16015625,87.40234375,369.62890625,118.65234375,0.0
1734407141.258162,87.890625,-11.71875,357.91015625,193.84765625,0.0
1734407141.262068,48.828125,60.546875,302.734375,58.10546875,0.0
1734407141.2659743,-66.40625,-97.65625,160.15625,-148.4375,0.0
1734407141.2698803,-83.0078125,-267.578125,158.69140625,-109.86328125,0.0
1734407141.2737863,31.25,184.5703125,412.59765625,115.72265625,0.0
1734407141.2776923,116.69921875,541.50390625,459.47265625,205.078125,0.0
1734407141.2815983,103.02734375,216.30859375,305.17578125,92.28515625,0.0
1734407141.2855072,-35.15625,-274.90234375,153.3203125,-131.34765625,0.0
1734407141.2894135,-103.02734375,-63.96484375,217.7734375,-142.08984375,0.0
1734407141.2933195,22.94921875,362.3046875,418.9453125,102.5390625,0.0
1734407141.2972255,134.27734375,295.8984375,395.01953125,230.95703125,0.0
1734407141.3011315,128.41796875,-488.76953125,240.234375,139.6484375,0.0
1734407141.3050375,1.953125,-588.37890625,195.80078125,-98.6328125,0.0
1734407141.3089435,-71.2890625,-165.52734375,236.81640625,-166.015625,0.0
1734407141.3128498,27.83203125,-241.2109375,296.38671875,65.91796875,0.0
1734407141.3167558,129.8828125,-325.1953125,352.5390625,215.33203125,0.0
1734407141.3206618,123.53515625,189.453125,415.52734375,116.69921875,0.0
1734407141.3245678,0.0,-19.04296875,204.58984375,-100.09765625,0.0
1734407141.3284738,-87.890625,-515.13671875,99.609375,-181.640625,0.0
1734407141.3323824,6.8359375,-90.33203125,350.09765625,8.7890625,0.0
1734407141.3362885,114.74609375,455.078125,461.42578125,178.7109375,0.0
1734407141.3401945,93.75,373.53515625,343.26171875,118.1640625,0.0
1734407141.3441005,-25.87890625,-98.6328125,226.5625,-98.6328125,0.0
1734407141.3480065,-117.1875,-147.94921875,190.4296875,-193.84765625,0.0
1734407141.3519127,-56.640625,-38.57421875,297.36328125,-5.37109375,0.0
1734407141.3558187,54.19921875,52.24609375,390.13671875,174.31640625,0.0
1734407141.3597248,77.63671875,-267.578125,244.140625,157.71484375,0.0
1734407141.3636308,-31.73828125,-395.5078125,184.08203125,-58.59375,0.0
1734407141.3675368,-139.16015625,87.40234375,228.515625,-207.51953125,0.0
1734407141.3714428,-99.12109375,76.171875,295.41015625,-29.296875,0.0
1734407141.375349,-11.71875,-38.0859375,367.1875,167.96875,0.0
1734407141.3792708,17.08984375,217.28515625,373.53515625,153.3203125,0.0
1734407141.3831768,-53.22265625,189.94140625,255.859375,-43.9453125,0.0
1734407141.3870828,-162.109375,-446.77734375,-43.9453125,-191.89453125,0.0
1734407141.3909888,-159.66796875,-583.0078125,12.20703125,-56.640625,0.0
1734407141.394895,-63.96484375,31.25,337.890625,123.53515625,0.0
1734407141.398801,-2.9296875,64.94140625,309.08203125,158.203125,0.0
1734407141.402707,-77.63671875,-522.4609375,-45.8984375,-15.625,0.0
1734407141.406613,-223.6328125,-952.1484375,-387.20703125,-216.30859375,0.0
1734407141.4105191,-242.67578125,-418.9453125,36.1328125,-134.27734375,0.0
1734407141.4144251,-144.04296875,187.98828125,372.55859375,62.98828125,0.0
1734407141.4183314,-84.9609375,-66.89453125,213.37890625,110.3515625,0.0
1734407141.4222374,-142.08984375,-438.4765625,86.9140625,-37.109375,0.0
1734407141.426149,-283.203125,-277.34375,22.94921875,-236.81640625,0.0
1734407141.430055,-308.10546875,-145.5078125,14.6484375,-181.15234375,0.0
1734407141.433961,-208.0078125,-197.265625,202.1484375,32.71484375,0.0
1734407141.437867,-146.97265625,-23.92578125,255.37109375,115.234375,0.0
1734407141.441773,-196.2890625,-3.41796875,119.62890625,-13.671875,0.0
1734407141.445679,-329.1015625,-480.95703125,-197.265625,-234.86328125,0.0
1734407141.4495852,-348.6328125,-797.36328125,-323.2421875,-204.58984375,0.0
1734407141.4534912,-240.72265625,-433.10546875,95.703125,12.6953125,0.0
1734407141.4573972,-174.8046875,88.8671875,292.48046875,97.16796875,0.0
1734407141.4613032,-201.66015625,-112.3046875,91.796875,-7.8125,0.0
1734407141.4652092,-312.5,-669.921875,-238.28125,-192.3828125,0.0
1734407141.4691153,-342.7734375,-533.69140625,-241.69921875,-187.01171875,0.0
1734407141.473026,-239.74609375,-35.64453125,169.921875,12.6953125,0.0
1734407141.476932,-159.1796875,-136.23046875,155.2734375,114.74609375,0.0
1734407141.480838,-182.12890625,-506.8359375,-60.546875,18.5546875,0.0
1734407141.484744,-271.97265625,-375.48828125,-29.296875,-177.734375,0.0
1734407141.4886503,-288.0859375,-238.76953125,-41.50390625,-189.94140625,0.0
1734407141.4925563,-202.63671875,-541.9921875,21.484375,20.5078125,0.0
1734407141.4964623,-108.88671875,-571.2890625,130.37109375,137.20703125,0.0
1734407141.5003684,-89.35546875,-104.98046875,195.3125,59.5703125,0.0
1734407141.5042744,-170.8984375,-294.43359375,42.96875,-137.20703125,0.0
1734407141.5081804,-213.8671875,-732.91015625,-288.0859375,-179.19921875,0.0
1734407141.5120864,-123.046875,-1000.0,-381.8359375,46.38671875,0.0
1734407141.5159926,-34.66796875,-581.0546875,120.1171875,170.8984375,0.0
1734407141.519906,-18.5546875,70.3125,283.203125,91.796875,0.0
1734407141.523812,-91.30859375,-225.09765625,104.98046875,-106.93359375,0.0
