timestamps,TP9,AF7,AF8,TP10,Right AUX
1734420829.533833,333.984375,-22.94921875,-360.3515625,-224.609375,0.0
1734420829.5377388,-0.48828125,-34.1796875,106.4453125,-14.16015625,0.0
1734420829.5416443,-471.19140625,-33.69140625,352.5390625,234.375,0.0
1734420829.54555,-256.8359375,-28.3203125,107.91015625,133.7890625,0.0
1734420829.5494556,250.48828125,-33.69140625,-281.73828125,-168.9453125,0.0
1734420829.5533612,331.54296875,-33.69140625,-364.2578125,-259.27734375,0.0
1734420829.557267,50.78125,-26.85546875,112.79296875,-70.80078125,0.0
1734420829.5611725,-430.6640625,-24.90234375,113.28125,173.33984375,0.0
1734420829.5650783,-331.54296875,-30.76171875,-31.25,159.1796875,0.0
1734420829.5689838,189.94140625,-27.83203125,5.859375,-106.4453125,0.0
1734420829.5728893,345.703125,-26.85546875,-267.578125,-257.8125,0.0
1734420829.5768037,0.0,-28.80859375,-153.3203125,-96.6796875,0.0
1734420829.5807095,0.0,-25.87890625,119.140625,162.109375,0.0
1734420829.584615,0.0,-26.85546875,244.140625,180.6640625,0.0
1734420829.5885208,0.0,-24.4140625,-22.4609375,-69.82421875,0.0
1734420829.5924263,0.0,-25.87890625,-348.6328125,-227.05078125,0.0
1734420829.5963318,0.0,-34.1796875,-239.74609375,-123.046875,0.0
1734420829.6002376,0.0,-36.62109375,167.96875,119.62890625,0.0
1734420829.6041431,0.0,-35.64453125,280.76171875,196.77734375,0.0
1734420829.608049,0.0,-41.9921875,-211.42578125,-33.203125,0.0
1734420829.6119545,0.0,-41.015625,-416.9921875,-236.328125,0.0
1734420829.61586,0.0,-26.3671875,-53.22265625,-169.43359375,0.0
1734420829.6197658,0.0,-28.3203125,214.84375,104.00390625,0.0
1734420829.6236794,-487.79296875,-37.109375,238.76953125,198.73046875,0.0
1734420829.6275852,-5.859375,-31.25,71.2890625,-29.296875,0.0
1734420829.6314907,313.4765625,-30.2734375,-183.59375,-236.81640625,0.0
1734420829.6353965,238.28125,-32.2265625,-315.4296875,-208.984375,0.0
1734420829.639302,-216.796875,-34.66796875,-4.39453125,56.640625,0.0
1734420829.6432076,-520.99609375,-33.203125,247.55859375,220.21484375,0.0
1734420829.6471133,-78.61328125,-26.3671875,26.85546875,29.78515625,0.0
1734420829.6510189,297.8515625,-27.34375,-412.109375,-209.47265625,0.0
