timestamps,TP9,AF7,AF8,TP10,Right AUX
1734420444.0967937,0.0,-34.66796875,125.9765625,125.0,0.0
1734420444.1006985,0.0,-35.15625,-15.625,102.5390625,0.0
1734420444.1046035,0.0,-37.109375,-79.58984375,-52.24609375,0.0
1734420444.1085083,0.0,-32.2265625,-210.44921875,-138.18359375,0.0
1734420444.1124134,0.0,-30.76171875,-237.3046875,-41.50390625,0.0
1734420444.1163182,0.0,-41.9921875,-313.96484375,120.1171875,0.0
1734420444.1202233,0.0,-43.45703125,-354.4921875,125.48828125,0.0
1734420444.1241283,0.0,-30.76171875,1.46484375,-34.66796875,0.0
1734420444.1280332,0.0,-34.1796875,-157.2265625,-143.5546875,0.0
1734420444.1319382,0.0,-35.64453125,-311.03515625,-68.359375,0.0
1734420444.135843,0.0,-34.1796875,-33.69140625,96.19140625,0.0
1734420444.1397364,-56.640625,-39.0625,41.9921875,122.0703125,0.0
1734420444.1436415,-397.94921875,-33.203125,-69.82421875,-37.109375,0.0
1734420444.1475463,-77.1484375,-26.3671875,-267.578125,-159.66796875,0.0
1734420444.1514513,224.609375,-33.69140625,-185.546875,-104.00390625,0.0
1734420444.1553562,142.08984375,-52.24609375,15.625,51.26953125,0.0
1734420444.1592612,-16.6015625,-50.78125,-101.5625,119.62890625,0.0
1734420444.163166,-380.859375,-35.15625,-263.18359375,16.6015625,0.0
1734420444.167071,-155.76171875,-36.62109375,-295.41015625,-138.18359375,0.0
1734420444.170976,209.47265625,-37.59765625,-177.734375,-131.34765625,0.0
1734420444.174881,142.578125,-37.109375,-77.63671875,51.7578125,0.0
1734420444.178786,11.23046875,-39.55078125,-41.015625,129.8828125,0.0
1734420444.1826909,-364.2578125,-35.64453125,72.265625,15.625,0.0
1734420444.1866055,188.4765625,-35.64453125,-96.19140625,-124.0234375,0.0
1734420444.1905105,108.3984375,-39.0625,-346.6796875,-102.05078125,0.0
1734420444.1944153,-206.54296875,-41.50390625,-162.59765625,57.12890625,0.0
1734420444.1983204,-356.4453125,-44.43359375,38.0859375,146.484375,0.0
1734420444.2022252,95.703125,-39.55078125,7.32421875,52.24609375,0.0
1734420444.2061303,201.171875,-40.52734375,-307.12890625,-99.12109375,0.0
1734420444.210035,118.1640625,-40.52734375,-485.83984375,-114.2578125,0.0
1734420444.2139401,-158.203125,-32.71484375,-235.3515625,16.6015625,0.0
1734420444.217845,-387.20703125,-30.2734375,-68.359375,119.62890625,0.0
1734420444.22175,34.66796875,-28.80859375,-82.03125,57.6171875,0.0
1734420444.2256548,203.61328125,-28.3203125,-263.671875,-104.00390625,0.0
1734420444.22956,130.859375,-26.85546875,-242.1875,-153.3203125,0.0
1734420444.2334821,-104.00390625,-26.85546875,-91.30859375,-17.578125,0.0
1734420444.237387,-415.0390625,-24.4140625,-11.23046875,93.75,0.0
1734420444.241292,-51.26953125,-21.484375,40.0390625,34.66796875,0.0
1734420444.2451968,192.3828125,-25.390625,-21.484375,-115.234375,0.0
1734420444.2491019,126.953125,-31.25,-260.7421875,-171.38671875,0.0
1734420444.253007,-91.796875,-28.3203125,-276.3671875,-48.828125,0.0
1734420444.2569118,-438.96484375,-25.390625,-172.8515625,90.33203125,0.0
1734420444.2608168,-102.5390625,-23.92578125,3.90625,55.6640625,0.0
1734420444.2647216,204.58984375,-20.5078125,-108.88671875,-86.42578125,0.0
1734420444.2686267,131.8359375,-17.578125,-444.3359375,-155.2734375,0.0
1734420444.2725315,-31.73828125,-15.13671875,-145.5078125,-59.08203125,0.0
1734420444.2764366,-397.94921875,-20.99609375,101.5625,96.19140625,0.0
1734420444.2803576,-146.97265625,-26.3671875,-39.0625,94.7265625,0.0
1734420444.2842627,213.37890625,-26.3671875,-151.3671875,-66.89453125,0.0
1734420444.2881675,140.625,-31.25,-231.4453125,-169.921875,0.0
1734420444.2920725,3.90625,-28.80859375,-167.96875,-93.75,0.0
1734420444.2959776,-368.65234375,-24.90234375,-79.1015625,72.75390625,0.0
1734420444.2998824,-209.47265625,-27.34375,-216.796875,101.5625,0.0
1734420444.3037875,201.171875,-27.34375,-253.90625,-46.38671875,0.0
1734420444.3076923,161.62109375,-26.3671875,-292.48046875,-153.3203125,0.0
1734420444.3115973,46.875,-29.296875,-425.29296875,-79.1015625,0.0
1734420444.3155022,-324.70703125,-30.2734375,-312.98828125,75.68359375,0.0
1734420444.3194072,-261.71875,-23.92578125,62.01171875,98.14453125,0.0
1734420444.323312,172.8515625,-25.390625,40.52734375,-32.71484375,0.0
1734420444.3272324,154.296875,-28.3203125,-250.48828125,-151.85546875,0.0
1734420444.3311372,55.6640625,-26.85546875,-169.43359375,-116.2109375,0.0
1734420444.3350422,-291.50390625,-27.34375,70.3125,32.71484375,0.0
1734420444.338947,-324.70703125,-31.73828125,29.296875,103.02734375,0.0
1734420444.342852,127.9296875,-38.0859375,-42.96875,2.44140625,0.0
1734420444.346757,165.0390625,-43.45703125,-269.53125,-139.16015625,0.0
1734420444.350662,90.8203125,-41.015625,-290.0390625,-129.39453125,0.0
1734420444.3545668,-220.21484375,-34.66796875,-79.1015625,19.04296875,0.0
1734420444.3584719,-358.3984375,-34.66796875,-216.796875,117.1875,0.0
1734420444.3623767,95.703125,-33.203125,-39.55078125,27.83203125,0.0
1734420444.3662817,192.87109375,-28.80859375,-32.71484375,-129.39453125,0.0
1734420444.3701868,118.65234375,-29.296875,-347.16796875,-140.625,0.0
1734420444.3741057,-160.64453125,-26.85546875,-164.55078125,-4.39453125,0.0
1734420444.3780105,-385.25390625,-25.87890625,23.92578125,105.46875,0.0
1734420444.3819156,41.9921875,-28.3203125,45.8984375,32.2265625,0.0
1734420444.3858206,202.63671875,-27.83203125,-115.72265625,-121.58203125,0.0
1734420444.3897254,123.53515625,-27.83203125,-335.9375,-149.90234375,0.0
1734420444.3936305,-121.58203125,-27.83203125,-257.8125,-23.4375,0.0
1734420444.3975353,-399.4140625,-28.3203125,-75.68359375,107.421875,0.0
1734420444.4014404,-8.7890625,-30.76171875,-202.63671875,77.63671875,0.0
1734420444.4053452,212.890625,-35.15625,-427.24609375,-81.54296875,0.0
1734420444.4092503,139.16015625,-29.78515625,-262.6953125,-159.1796875,0.0
1734420444.413155,-75.1953125,-31.73828125,-102.05078125,-45.8984375,0.0
1734420444.4170601,-413.57421875,-35.64453125,-25.87890625,99.12109375,0.0
1734420444.4209778,-72.75390625,-31.73828125,34.66796875,74.70703125,0.0
1734420444.4248827,222.16796875,-35.15625,30.2734375,-80.56640625,0.0
1734420444.4287877,146.484375,-38.57421875,-229.00390625,-152.83203125,0.0
1734420444.4326928,-38.0859375,-31.25,-230.95703125,-60.546875,0.0
1734420444.4365976,-386.71875,-39.55078125,-34.1796875,72.265625,0.0
1734420444.4405026,-117.1875,-63.4765625,-57.6171875,67.87109375,0.0
1734420444.4444075,208.984375,-46.875,-228.02734375,-74.70703125,0.0
1734420444.4483125,135.7421875,-28.3203125,-395.5078125,-164.55078125,0.0
1734420444.4522173,-13.18359375,-30.76171875,-230.95703125,-90.33203125,0.0
1734420444.4561224,-384.27734375,-26.85546875,43.45703125,54.6875,0.0
1734420444.4600272,-203.125,-26.85546875,1.953125,77.1484375,0.0
1734420444.4639323,202.1484375,-29.78515625,-109.86328125,-74.70703125,0.0
1734420444.4678495,148.92578125,-34.66796875,-182.12890625,-188.4765625,0.0
1734420444.4717543,36.1328125,-33.69140625,-159.1796875,-119.62890625,0.0
1734420444.4756594,-338.8671875,-32.2265625,-72.265625,36.62109375,0.0
1734420444.4795642,-263.671875,-30.2734375,-3.90625,78.125,0.0
1734420444.4834692,188.4765625,-28.3203125,35.15625,-48.828125,0.0
1734420444.4873743,174.8046875,-28.80859375,-230.46875,-168.45703125,0.0
1734420444.4912791,73.2421875,-31.25,-445.80078125,-108.88671875,0.0
1734420444.4951842,-287.109375,-36.62109375,-362.79296875,54.6875,0.0
1734420444.499089,-320.3125,-31.73828125,4.39453125,110.83984375,0.0
1734420444.502994,148.92578125,-28.80859375,71.77734375,0.0,0.0
1734420444.5068989,196.2890625,-31.73828125,-197.265625,-139.16015625,0.0
1734420444.510804,105.95703125,-28.80859375,-239.2578125,-117.1875,0.0
1734420444.5147195,-217.7734375,-26.3671875,28.80859375,27.83203125,0.0
1734420444.5186245,-329.58984375,-26.85546875,44.921875,115.234375,0.0
1734420444.5225294,115.72265625,-26.3671875,-8.30078125,32.2265625,0.0
1734420444.5264344,221.6796875,-26.3671875,-117.1875,-124.0234375,0.0
1734420444.5303392,124.51171875,-23.92578125,-282.71484375,-122.0703125,0.0
1734420444.5342443,-190.4296875,-27.34375,-262.6953125,37.59765625,0.0
1734420444.538149,-357.421875,-33.203125,-298.33984375,132.32421875,0.0
1734420444.5420542,67.3828125,-30.2734375,-89.35546875,40.52734375,0.0
1734420444.5459592,228.02734375,-27.83203125,-11.71875,-120.1171875,0.0
1734420444.549864,164.55078125,-34.1796875,-299.31640625,-135.7421875,0.0
1734420444.553769,-100.5859375,-31.25,-227.05078125,-10.7421875,0.0
1734420444.557674,-390.625,-20.01953125,-4.8828125,99.609375,0.0
1734420444.5615885,-0.9765625,-21.484375,65.91796875,49.31640625,0.0
1734420444.5654936,222.65625,-22.4609375,-167.48046875,-110.83984375,0.0
1734420444.5693984,148.4375,-22.94921875,-394.04296875,-165.0390625,0.0
1734420444.5733035,-69.82421875,-26.3671875,-67.3828125,-45.41015625,0.0
1734420444.5772083,-405.76171875,-28.3203125,71.2890625,85.9375,0.0
1734420444.5811133,-60.546875,-29.296875,-223.14453125,68.84765625,0.0
1734420444.5850184,225.5859375,-32.71484375,-434.08203125,-80.56640625,0.0
1734420444.5889232,148.92578125,-32.71484375,-363.76953125,-160.15625,0.0
1734420444.5928283,-28.3203125,-32.2265625,-187.5,-62.01171875,0.0
1734420444.596733,-397.94921875,-34.1796875,-114.2578125,85.44921875,0.0
1734420444.6006382,-130.859375,-31.73828125,-18.5546875,86.42578125,0.0
1734420444.604543,225.5859375,-33.69140625,62.01171875,-64.94140625,0.0
1734420444.608465,0.0,-33.69140625,-226.5625,-154.78515625,0.0
