timestamps,TP9,AF7,AF8,TP10,Right AUX
1734421037.19123,35.64453125,-41.015625,-395.01953125,-146.97265625,0.0
1734421037.1951358,-413.0859375,-41.015625,-1000.0,-555.6640625,0.0
1734421037.1990416,-276.85546875,-34.1796875,-333.0078125,-262.20703125,0.0
1734421037.2029474,71.77734375,-28.3203125,825.1953125,336.42578125,0.0
1734421037.2068532,380.859375,-29.78515625,762.6953125,460.44921875,0.0
1734421037.210759,115.72265625,-30.76171875,-214.84375,-65.4296875,0.0
1734421037.2146647,-376.953125,-26.3671875,-1000.0,-544.921875,0.0
1734421037.2185705,-335.44921875,-28.80859375,-577.1484375,-317.3828125,0.0
1734421037.2224762,-1.953125,-29.296875,596.6796875,275.390625,0.0
1734421037.2263823,374.51171875,-30.76171875,921.875,473.6328125,0.0
1734421037.230288,191.89453125,-44.921875,-110.3515625,2.9296875,0.0
1734421037.2342,-344.23828125,-56.640625,-1000.0,-520.5078125,0.0
1734421037.2381058,-371.58203125,-51.7578125,-629.8828125,-399.90234375,0.0
1734421037.2420115,-56.15234375,-40.0390625,590.33203125,179.19921875,0.0
1734421037.2459173,313.96484375,-38.0859375,986.81640625,479.4921875,0.0
1734421037.249823,180.6640625,-47.36328125,-44.43359375,73.2421875,0.0
1734421037.2537289,-342.7734375,-52.24609375,-1000.0,-471.19140625,0.0
1734421037.2576346,-404.78515625,-37.59765625,-777.34375,-419.43359375,0.0
1734421037.2615404,-128.90625,-14.6484375,404.296875,123.046875,0.0
1734421037.2654462,247.0703125,-14.16015625,917.48046875,460.44921875,0.0
1734421037.2693522,235.3515625,-13.18359375,53.22265625,105.46875,0.0
1734421037.273258,-297.8515625,-5.859375,-1000.0,-481.4453125,0.0
1734421037.2771637,-456.0546875,-7.8125,-900.87890625,-567.87109375,0.0
1734421037.281075,-200.68359375,-7.32421875,239.2578125,-37.109375,0.0
1734421037.2849808,188.96484375,-1.46484375,-978.02734375,418.9453125,0.0
1734421037.2888865,259.765625,-5.859375,178.7109375,114.2578125,0.0
1734421037.2927926,-283.69140625,-18.5546875,-1000.0,-513.18359375,0.0
1734421037.2966983,-507.32421875,-9.765625,-938.4765625,-629.8828125,0.0
1734421037.300604,-253.41796875,7.8125,73.73046875,-135.7421875,0.0
1734421037.3045099,140.13671875,19.53125,999.0234375,334.9609375,0.0
1734421037.3084157,296.875,5.37109375,199.21875,149.90234375,0.0
1734421037.3123214,-167.96875,-2.9296875,-980.46875,-437.01171875,0.0
1734421037.3162272,-459.9609375,7.8125,-1000.0,-681.15234375,0.0
1734421037.320133,-259.765625,6.8359375,-115.72265625,-262.20703125,0.0
1734421037.3240387,112.79296875,4.39453125,936.5234375,326.171875,0.0
1734421037.3279498,340.33203125,8.7890625,467.7734375,246.09375,0.0
1734421037.3318555,-78.125,8.7890625,-597.65625,-334.9609375,0.0
1734421037.3357615,-457.51953125,2.44140625,-1000.0,-655.2734375,0.0
1734421037.3396673,-292.48046875,4.39453125,-248.53515625,-266.11328125,0.0
1734421037.343573,76.171875,6.34765625,906.25,348.14453125,0.0
1734421037.3474789,359.86328125,-7.32421875,594.23828125,352.05078125,0.0
1734421037.3513846,11.23046875,-16.6015625,-426.7578125,-204.58984375,0.0
1734421037.3552904,-436.03515625,-20.01953125,-1000.0,-585.9375,0.0
1734421037.3591962,-293.45703125,-18.06640625,-339.84375,-269.04296875,0.0
1734421037.363102,75.68359375,-4.8828125,859.375,331.0546875,0.0
1734421037.3670077,398.4375,-5.37109375,790.0390625,429.6875,0.0
1734421037.3709135,127.44140625,-15.13671875,-203.125,-106.4453125,0.0
1734421037.3748243,0.0,-18.5546875,-1000.0,-558.10546875,0.0
1734421037.37873,0.0,-11.23046875,-511.71875,-327.1484375,0.0
1734421037.3826358,0.0,-13.18359375,677.734375,266.11328125,0.0
1734421037.3865416,0.0,-19.04296875,924.31640625,471.19140625,0.0
1734421037.3904474,0.0,-20.5078125,-94.23828125,-3.41796875,0.0
1734421037.3943532,0.0,-23.92578125,-1000.0,-531.73828125,0.0
1734421037.398259,0.0,-21.484375,-660.15625,-370.1171875,0.0
1734421037.4021647,0.0,-19.53125,495.60546875,252.9296875,0.0
1734421037.4060707,0.0,-13.671875,982.421875,535.64453125,0.0
1734421037.4099765,0.0,-17.08984375,13.671875,79.58984375,0.0
1734421037.4138823,0.0,-22.94921875,-1000.0,-461.42578125,0.0
1734421037.417788,0.0,-23.92578125,-725.09765625,-396.484375,0.0
1734421037.4216983,-62.98828125,-18.06640625,427.24609375,158.69140625,0.0
1734421037.425604,343.75,-13.18359375,-976.07421875,535.64453125,0.0
1734421037.4295099,315.4296875,-21.484375,40.0390625,159.1796875,0.0
1734421037.433416,-215.33203125,-29.78515625,-1000.0,-385.7421875,0.0
1734421037.4373217,-388.671875,-32.2265625,-787.109375,-435.546875,0.0
1734421037.4412274,-124.51171875,-20.99609375,274.4140625,51.26953125,0.0
1734421037.4451332,279.78515625,-15.625,957.51953125,521.484375,0.0
1734421037.449039,333.0078125,-29.296875,141.11328125,247.0703125,0.0
1734421037.4529448,-168.45703125,-26.85546875,-963.37890625,-371.09375,0.0
1734421037.4568505,-406.73828125,-17.578125,-987.79296875,-502.44140625,0.0
