timestamps,TP9,AF7,AF8,TP10,Right AUX
1734582124.0532885,0.0,2.9296875,148.4375,23.4375,0.0
1734582124.0570982,0.0,-1.953125,104.98046875,-5.37109375,0.0
1734582124.0609078,0.0,-2.9296875,124.51171875,-88.8671875,0.0
1734582124.0647175,0.0,5.37109375,95.21484375,-89.35546875,0.0
1734582124.0685272,0.0,6.34765625,58.10546875,-35.64453125,0.0
1734582124.0723372,0.0,0.9765625,93.26171875,3.90625,0.0
1734582124.0761468,0.0,-6.34765625,18.5546875,-15.13671875,0.0
1734582124.0799565,0.0,-3.90625,56.640625,-88.8671875,0.0
1734582124.0837662,0.0,4.39453125,152.83203125,-110.3515625,0.0
1734582124.087576,0.0,1.46484375,55.17578125,-47.8515625,0.0
1734582124.0913856,0.0,-2.9296875,55.17578125,15.625,0.0
1734582124.0962677,-46.38671875,-0.48828125,115.72265625,2.44140625,0.0
1734582124.1000786,-82.03125,0.9765625,96.19140625,-60.05859375,0.0
1734582124.1038897,-84.9609375,-2.9296875,124.0234375,-90.8203125,0.0
1734582124.1077008,-51.26953125,-3.90625,127.44140625,-50.78125,0.0
1734582124.1115117,-26.3671875,-3.90625,151.85546875,16.11328125,0.0
1734582124.1153228,-45.41015625,-2.9296875,108.3984375,17.08984375,0.0
1734582124.119134,-87.890625,-5.37109375,-44.43359375,-59.5703125,0.0
1734582124.1229448,-101.5625,-15.625,-109.375,-108.88671875,0.0
1734582124.126756,-52.734375,-9.27734375,171.38671875,-74.21875,0.0
1734582124.130567,-12.20703125,-3.90625,162.59765625,3.90625,0.0
1734582124.134378,-34.1796875,-7.32421875,132.32421875,24.4140625,0.0
1734582124.138189,-77.63671875,-8.7890625,150.87890625,-49.31640625,0.0
1734582124.1429935,-83.49609375,0.48828125,102.5390625,-99.609375,0.0
1734582124.1468058,-48.828125,2.9296875,145.01953125,-50.29296875,0.0
1734582124.150618,-23.4375,-4.8828125,248.046875,8.30078125,0.0
1734582124.1544304,-41.015625,-8.7890625,179.19921875,11.71875,0.0
1734582124.1582427,-80.078125,-8.7890625,86.9140625,-39.55078125,0.0
1734582124.1620548,-96.19140625,-7.8125,84.47265625,-108.3984375,0.0
1734582124.165867,-59.08203125,-8.7890625,-15.13671875,-79.1015625,0.0
1734582124.1696794,-15.625,-2.44140625,59.5703125,9.27734375,0.0
1734582124.1734917,-26.85546875,3.41796875,258.30078125,33.203125,0.0
1734582124.1773038,-58.59375,-2.9296875,83.49609375,-28.3203125,0.0
1734582124.181116,-77.63671875,-3.41796875,-4.8828125,-99.609375,0.0
1734582124.1849284,-51.7578125,-2.9296875,137.6953125,-84.47265625,0.0
1734582124.1896703,-9.27734375,-3.41796875,240.72265625,-10.25390625,0.0
1734582124.1934838,-9.27734375,0.48828125,302.24609375,34.1796875,0.0
1734582124.197297,-49.31640625,-2.44140625,166.015625,-14.16015625,0.0
1734582124.2011106,-83.0078125,-4.39453125,80.078125,-91.796875,0.0
1734582124.2049239,-49.8046875,-1.46484375,113.76953125,-83.984375,0.0
1734582124.2087374,-8.30078125,-1.46484375,16.6015625,-1.953125,0.0
1734582124.2125506,-19.53125,0.9765625,-52.24609375,35.15625,0.0
1734582124.2163641,-64.94140625,4.8828125,108.3984375,-7.32421875,0.0
1734582124.2201774,-83.0078125,7.32421875,136.71875,-72.75390625,0.0
1734582124.223991,-59.5703125,5.37109375,80.078125,-90.33203125,0.0
1734582124.2278042,-30.2734375,1.953125,95.21484375,-32.2265625,0.0
1734582124.2316177,-5.37109375,3.41796875,194.82421875,20.5078125,0.0
1734582124.2368145,-34.66796875,-5.37109375,120.1171875,2.9296875,0.0
1734582124.2406297,-77.63671875,-8.30078125,73.2421875,-57.6171875,0.0
1734582124.2444446,-58.59375,5.859375,103.515625,-88.37890625,0.0
1734582124.2482595,-16.11328125,9.27734375,109.375,-41.9921875,0.0
1734582124.2520747,-4.39453125,8.30078125,110.3515625,20.5078125,0.0
1734582124.2558897,-51.7578125,3.41796875,120.60546875,-7.32421875,0.0
1734582124.2597046,-93.75,1.953125,49.8046875,-80.078125,0.0
1734582124.2635198,-76.66015625,10.25390625,87.890625,-97.65625,0.0
1734582124.2673347,-30.2734375,13.18359375,85.44921875,-47.8515625,0.0
1734582124.2711499,-14.16015625,9.27734375,92.7734375,17.08984375,0.0
1734582124.2749648,-35.15625,11.71875,171.875,1.46484375,0.0
1734582124.2787797,-68.359375,14.6484375,132.8125,-78.61328125,0.0
1734582124.2839203,0.0,12.6953125,67.87109375,-108.3984375,0.0
1734582124.287737,0.0,7.8125,123.53515625,-52.24609375,0.0
1734582124.2915535,0.0,-1.953125,203.125,14.16015625,0.0
1734582124.2953699,0.0,0.9765625,179.6875,15.13671875,0.0
1734582124.2991865,0.0,6.8359375,137.6953125,-38.57421875,0.0
1734582124.303003,0.0,1.953125,12.20703125,-104.98046875,0.0
1734582124.3068197,0.0,4.8828125,61.03515625,-74.70703125,0.0
1734582124.3106363,0.0,7.8125,206.54296875,-1.953125,0.0
1734582124.314453,0.0,-2.44140625,-3.41796875,11.23046875,0.0
