timestamps,TP9,AF7,AF8,TP10,Right AUX
1734419749.0634842,-962.890625,-827.1484375,-878.41796875,-757.8125,0.0
1734419749.0673902,-584.9609375,361.81640625,428.7109375,-543.45703125,0.0
1734419749.071296,-293.9453125,-997.55859375,-922.36328125,-501.953125,0.0
1734419749.075202,-533.69140625,-895.99609375,-933.59375,-695.80078125,0.0
1734419749.079108,-939.453125,545.41015625,518.06640625,-834.9609375,0.0
1734419749.083014,-1000.0,-835.9375,-875.9765625,-763.671875,0.0
1734419749.0869198,-661.62109375,589.35546875,596.6796875,-587.40234375,0.0
1734419749.0908258,-308.10546875,-860.3515625,-844.7265625,-520.01953125,0.0
1734419749.0947318,-489.2578125,-974.609375,-969.23828125,-630.37109375,0.0
1734419749.0986376,-901.3671875,504.8828125,507.8125,-825.68359375,0.0
1734419749.1025436,-1000.0,-854.98046875,-872.0703125,-824.70703125,0.0
1734419749.1064532,-704.58984375,734.375,609.86328125,-605.46875,0.0
1734419749.1103592,-337.890625,-709.9609375,-798.33984375,-488.76953125,0.0
1734419749.1142652,-467.28515625,-1000.0,-1000.0,-669.43359375,0.0
1734419749.118171,-876.46484375,404.78515625,327.1484375,-871.58203125,0.0
1734419749.122077,-1000.0,-862.3046875,-868.1640625,-823.73046875,0.0
1734419749.125983,-755.859375,690.91796875,544.921875,-628.90625,0.0
1734419749.1298888,-380.37109375,-637.6953125,-770.5078125,-501.46484375,0.0
1734419749.1337948,-424.8046875,-1000.0,-1000.0,-637.6953125,0.0
1734419749.1377008,-825.68359375,156.73828125,81.0546875,-819.3359375,0.0
1734419749.1416068,-1000.0,-880.37109375,-892.08984375,-814.94140625,0.0
1734419749.1455126,-803.7109375,814.453125,719.7265625,-663.0859375,0.0
1734419749.1494186,-382.32421875,-555.17578125,-670.8984375,-514.6484375,0.0
1734419749.153328,-387.20703125,-1000.0,-1000.0,-591.796875,0.0
1734419749.157234,-822.265625,-151.3671875,-19.04296875,-790.0390625,0.0
1734419749.1611397,-1000.0,-964.84375,-956.54296875,-847.65625,0.0
1734419749.1650457,-868.1640625,865.234375,834.9609375,-694.3359375,0.0
1734419749.1689517,-428.7109375,-516.11328125,-511.71875,-484.86328125,0.0
1734419749.1728575,-342.7734375,-1000.0,-1000.0,-535.64453125,0.0
1734419749.1767635,-731.4453125,-451.66015625,-202.1484375,-789.0625,0.0
1734419749.1806695,-1000.0,894.04296875,983.88671875,-865.72265625,0.0
1734419749.1845753,-895.01953125,977.05078125,879.8828125,-657.71484375,0.0
1734419749.1884813,-463.37890625,-399.90234375,-478.515625,-479.4921875,0.0
1734419749.1923873,-334.9609375,-1000.0,-1000.0,-562.98828125,0.0
1734419749.1962934,-708.984375,-664.0625,-512.20703125,-761.71875,0.0
1734419749.2002025,-1000.0,729.4921875,802.24609375,-843.75,0.0
1734419749.2041085,-960.9375,-908.203125,947.265625,-725.09765625,0.0
1734419749.2080142,-563.96484375,-201.66015625,-469.23828125,-506.34765625,0.0
1734419749.2119203,-316.40625,-1000.0,-1000.0,-536.1328125,0.0
1734419749.2158263,-634.765625,-773.92578125,-753.90625,-776.3671875,0.0
1734419749.2197323,-981.4453125,606.93359375,585.9375,-879.8828125,0.0
1734419749.223638,-907.2265625,-919.921875,926.7578125,-728.515625,0.0
1734419749.227544,-536.62109375,20.99609375,-205.56640625,-516.11328125,0.0
1734419749.23145,-305.6640625,-1000.0,-1000.0,-506.8359375,0.0
1734419749.2353559,-598.14453125,-854.4921875,-867.1875,-730.46875,0.0
1734419749.2392619,-972.65625,541.015625,497.0703125,-863.28125,0.0
1734419749.2431679,-986.81640625,-820.3125,-875.0,-751.953125,0.0
1734419749.2470765,-628.41796875,359.86328125,415.0390625,-569.82421875,0.0
1734419749.2509825,-301.7578125,-987.79296875,-922.36328125,-517.578125,0.0
1734419749.2548885,-540.0390625,-923.33984375,-940.4296875,-684.5703125,0.0
1734419749.2587943,-934.08203125,501.953125,500.9765625,-848.14453125,0.0
1734419749.2627003,-1000.0,-828.125,-872.55859375,-804.19921875,0.0
1734419749.2666063,-704.58984375,583.984375,588.8671875,-587.890625,0.0
1734419749.270512,-320.3125,-845.703125,-821.77734375,-488.28125,0.0
1734419749.274418,-491.69921875,-1000.0,-1000.0,-647.94921875,0.0
1734419749.2783241,-903.80859375,419.43359375,384.765625,-850.09765625,0.0
1734419749.2822301,-1000.0,-845.703125,-863.28125,-830.56640625,0.0
1734419749.286136,-738.28125,726.07421875,602.5390625,-645.01953125,0.0
1734419749.290042,-348.6328125,-690.4296875,-777.83203125,-532.71484375,0.0
1734419749.2939506,-460.9375,-1000.0,-1000.0,-612.79296875,0.0
1734419749.2978566,-882.8125,251.46484375,153.3203125,-807.12890625,0.0
1734419749.3017623,-1000.0,-866.2109375,-879.39453125,-813.96484375,0.0
1734419749.3056684,-768.5546875,791.9921875,649.90234375,-633.7890625,0.0
1734419749.3095744,-369.62890625,-583.49609375,-735.3515625,-524.90234375,0.0
1734419749.3134801,-415.0390625,-1000.0,-1000.0,-630.37109375,0.0
1734419749.3173862,-826.171875,-44.921875,12.20703125,-817.3828125,0.0
1734419749.3212922,-1000.0,-926.26953125,-915.52734375,-828.125,0.0
1734419749.3251982,-845.21484375,829.1015625,725.5859375,-660.64453125,0.0
1734419749.329104,-427.24609375,-554.6875,-662.59765625,-530.76171875,0.0
1734419749.33301,-392.08984375,-1000.0,-1000.0,-614.74609375,0.0
1734419749.336916,-791.50390625,-361.81640625,-137.20703125,-798.828125,0.0
1734419749.3408241,-1000.0,961.9140625,-993.65234375,-859.86328125,0.0
1734419749.3447301,-872.0703125,895.99609375,845.21484375,-708.984375,0.0
1734419749.3486362,-439.94140625,-521.97265625,-510.7421875,-519.04296875,0.0
1734419749.3525422,-361.328125,-1000.0,-1000.0,-592.7734375,0.0
1734419749.356448,-768.06640625,-588.8671875,-369.62890625,-803.7109375,0.0
1734419749.360354,-1000.0,817.3828125,903.80859375,-847.16796875,0.0
1734419749.36426,-920.8984375,-994.62890625,903.80859375,-685.546875,0.0
1734419749.3681657,-522.94921875,-404.296875,-489.2578125,-518.06640625,0.0
1734419749.3720717,-350.5859375,-1000.0,-1000.0,-576.171875,0.0
1734419749.3759778,-701.66015625,-729.4921875,-651.3671875,-763.671875,0.0
1734419749.3798835,-1000.0,669.921875,708.0078125,-833.984375,0.0
1734419749.3837895,-971.6796875,-891.11328125,974.609375,-730.46875,0.0
1734419749.3876975,-571.2890625,-188.96484375,-472.65625,-551.7578125,0.0
1734419749.3916035,-316.89453125,-1000.0,-1000.0,-551.7578125,0.0
1734419749.3955092,-635.25390625,-801.7578125,-806.640625,-763.671875,0.0
1734419749.3994153,-979.98046875,576.66015625,542.48046875,-889.6484375,0.0
1734419749.4033213,-985.3515625,-830.56640625,-922.36328125,-763.18359375,0.0
1734419749.4072273,-597.16796875,80.078125,-86.9140625,-530.76171875,0.0
1734419749.411133,-298.33984375,-1000.0,-1000.0,-483.88671875,0.0
1734419749.415039,-592.7734375,-758.7890625,-764.16015625,-686.03515625,0.0
1734419749.418945,-966.30859375,564.94140625,520.99609375,-835.44921875,0.0
1734419749.4228508,-988.76953125,-835.44921875,-890.625,-768.5546875,0.0
1734419749.4267569,-632.32421875,412.59765625,534.66796875,-579.1015625,0.0
1734419749.4306629,-352.5390625,-968.75,-880.859375,-512.20703125,0.0
1734419749.4345727,-574.21875,-936.03515625,-958.0078125,-716.796875,0.0
1734419749.4384787,-933.59375,495.60546875,506.8359375,-887.6953125,0.0
1734419749.4423847,-1000.0,-833.984375,-874.51171875,-821.2890625,0.0
1734419749.4462905,-727.05078125,631.34765625,596.6796875,-613.28125,0.0
1734419749.4501965,-349.609375,-809.5703125,-817.87109375,-525.87890625,0.0
1734419749.4541025,-488.76953125,-1000.0,-1000.0,-654.296875,0.0
1734419749.4580083,-894.04296875,414.0625,382.8125,-826.171875,0.0
1734419749.4619143,-1000.0,-853.02734375,-862.3046875,-805.17578125,0.0
1734419749.4658203,-755.859375,756.34765625,610.83984375,-629.39453125,0.0
1734419749.469726,-352.5390625,-659.1796875,-773.92578125,-483.3984375,0.0
1734419749.473632,-459.9609375,-1000.0,-1000.0,-606.4453125,0.0
1734419749.477538,-879.8828125,257.8125,153.3203125,-851.5625,0.0
1734419749.4814477,-1000.0,-868.1640625,-881.8359375,-868.65234375,0.0
1734419749.4853537,-833.984375,802.24609375,682.6171875,-673.33984375,0.0
1734419749.4892597,-399.90234375,-564.453125,-703.61328125,-517.578125,0.0
1734419749.4931657,-404.78515625,-1000.0,-1000.0,-626.46484375,0.0
1734419749.4970715,-818.359375,-81.54296875,6.8359375,-802.734375,0.0
1734419749.5009775,-1000.0,-937.5,-932.12890625,-817.3828125,0.0
1734419749.5048835,-889.16015625,837.890625,780.2734375,-676.7578125,0.0
1734419749.5087893,-447.75390625,-545.41015625,-591.796875,-511.71875,0.0
1734419749.5126953,-388.671875,-1000.0,-1000.0,-596.19140625,0.0
1734419749.5166013,-784.66796875,-405.76171875,-166.50390625,-803.22265625,0.0
1734419749.520507,-1000.0,937.98828125,995.60546875,-871.09375,0.0
1734419749.524413,-927.734375,917.48046875,861.328125,-706.0546875,0.0
1734419749.5283227,-481.4453125,-499.51171875,-497.0703125,-513.671875,0.0
1734419749.5322285,-357.91015625,-1000.0,-1000.0,-567.3828125,0.0
1734419749.5361345,-773.92578125,-608.88671875,-423.33984375,-756.8359375,0.0
1734419749.5400405,-1000.0,794.43359375,867.1875,-842.7734375,0.0
1734419749.5439463,-952.63671875,-968.75,917.96875,-723.6328125,0.0
1734419749.5478523,-542.96875,-360.3515625,-485.83984375,-540.52734375,0.0
1734419749.5517583,-325.1953125,-1000.0,-1000.0,-578.61328125,0.0
1734419749.555664,-684.5703125,-740.72265625,-683.59375,-754.8828125,0.0
1734419749.55957,-995.1171875,646.484375,674.8046875,-806.640625,0.0
1734419749.563476,-971.19140625,-871.58203125,994.140625,-717.28515625,0.0
1734419749.5673819,-572.75390625,-107.421875,-434.08203125,-566.89453125,0.0
1734419749.5712879,-310.05859375,-1000.0,-1000.0,-534.66796875,0.0
1734419749.575197,0.0,-815.91796875,-816.40625,-728.02734375,0.0
1734419749.579103,0.0,563.4765625,522.94921875,-860.3515625,0.0
1734419749.583009,0.0,-828.61328125,-913.0859375,-767.578125,0.0
1734419749.5869148,0.0,180.17578125,42.48046875,-545.41015625,0.0
1734419749.5908208,0.0,-1000.0,-1000.0,-498.046875,0.0
1734419749.5947268,0.0,-877.9296875,-882.8125,-702.1484375,0.0
1734419749.5986326,0.0,523.92578125,488.76953125,-833.49609375,0.0
1734419749.6025386,0.0,-821.77734375,-875.0,-729.98046875,0.0
1734419749.6064446,0.0,466.796875,572.265625,-547.8515625,0.0
1734419749.6103504,0.0,-930.17578125,-853.02734375,-524.90234375,0.0
1734419749.6142564,0.0,-958.49609375,-967.7734375,-697.265625,0.0
1734419749.6181624,0.0,481.4453125,504.39453125,-877.9296875,0.0
1734419749.6220713,-1000.0,-838.37890625,-873.046875,-823.2421875,0.0
1734419749.625977,-733.88671875,666.50390625,594.23828125,-623.53515625,0.0
1734419749.629883,-337.890625,-771.97265625,-803.22265625,-527.83203125,0.0
1734419749.633789,-463.37890625,-1000.0,-1000.0,-649.90234375,0.0
1734419749.6376948,-887.20703125,382.8125,303.22265625,-827.63671875,0.0
1734419749.6416008,-1000.0,-854.4921875,-863.28125,-831.54296875,0.0
1734419749.6455069,-767.08984375,767.578125,619.62890625,-630.859375,0.0
1734419749.6494126,-352.05078125,-634.27734375,-766.6015625,-486.81640625,0.0
1734419749.6533186,-416.015625,-1000.0,-1000.0,-645.5078125,0.0
1734419749.6572247,-845.21484375,183.10546875,105.95703125,-867.67578125,0.0
1734419749.6611304,-1000.0,-879.39453125,-889.6484375,-857.421875,0.0
1734419749.6650364,-825.1953125,810.05859375,698.2421875,-671.875,0.0
1734419749.668945,-411.1328125,-562.98828125,-693.84765625,-521.97265625,0.0
1734419749.6728508,-410.15625,-1000.0,-1000.0,-623.046875,0.0
1734419749.6767569,-815.91796875,-116.2109375,-0.48828125,-820.80078125,0.0
1734419749.6806629,-1000.0,-950.1953125,-942.3828125,-851.5625,0.0
