timestamps,TP9,AF7,AF8,TP10,Right AUX
1734406656.143063,-1000.0,970.21484375,2.44140625,-1000.0,0.0
1734406656.1469672,-1000.0,970.21484375,-76.66015625,-1000.0,0.0
1734406656.1508713,-1000.0,969.7265625,-286.62109375,-1000.0,0.0
1734406656.1547756,-1000.0,969.7265625,126.46484375,-1000.0,0.0
1734406656.1586797,-1000.0,969.7265625,322.75390625,-1000.0,0.0
1734406656.162584,-1000.0,970.21484375,340.33203125,-1000.0,0.0
1734406656.1664882,-1000.0,970.21484375,341.796875,-1000.0,0.0
1734406656.1703923,-1000.0,969.7265625,326.66015625,-1000.0,0.0
1734406656.1742966,-1000.0,969.7265625,232.421875,-1000.0,0.0
1734406656.1782007,-1000.0,970.21484375,126.46484375,-1000.0,0.0
1734406656.1821048,-1000.0,970.21484375,142.578125,-1000.0,0.0
1734406656.1860092,-1000.0,969.7265625,-303.7109375,-1000.0,0.0
1734406656.190003,-1000.0,970.21484375,-929.19921875,-1000.0,0.0
1734406656.193907,-1000.0,970.21484375,-995.1171875,-1000.0,0.0
1734406656.1978114,-1000.0,969.7265625,-985.3515625,-1000.0,0.0
1734406656.2017155,-1000.0,970.21484375,-999.0234375,-1000.0,0.0
1734406656.2056198,-1000.0,970.21484375,-999.0234375,-1000.0,0.0
1734406656.209524,-1000.0,969.7265625,-997.55859375,-1000.0,0.0
1734406656.213428,-1000.0,969.7265625,-1000.0,-1000.0,0.0
1734406656.2173324,-1000.0,969.7265625,-972.16796875,-1000.0,0.0
1734406656.2212365,-1000.0,970.21484375,-936.5234375,-1000.0,0.0
1734406656.2251406,-1000.0,970.21484375,-904.296875,-1000.0,0.0
1734406656.229045,-1000.0,970.21484375,-832.03125,-1000.0,0.0
1734406656.232949,-1000.0,970.21484375,-800.29296875,-1000.0,0.0
1734406656.2369232,-1000.0,969.7265625,-889.16015625,-1000.0,0.0
1734406656.2408276,-1000.0,969.7265625,-665.52734375,-1000.0,0.0
1734406656.2447317,-1000.0,970.21484375,-318.359375,-1000.0,0.0
1734406656.2486358,-946.77734375,970.21484375,-368.1640625,-1000.0,0.0
1734406656.25254,-1000.0,970.21484375,-438.4765625,-1000.0,0.0
1734406656.2564442,-825.1953125,971.6796875,-270.01953125,-937.5,0.0
1734406656.2603486,558.59375,956.54296875,333.0078125,-1000.0,0.0
1734406656.2642527,-933.59375,987.79296875,667.96875,-219.7265625,0.0
1734406656.2681568,906.25,858.88671875,587.890625,-958.984375,0.0
1734406656.272061,979.4921875,506.8359375,658.69140625,953.125,0.0
1734406656.2759652,969.23828125,159.66796875,826.66015625,942.3828125,0.0
1734406656.2798696,969.23828125,-568.359375,842.28515625,976.5625,0.0
1734406656.2838433,969.23828125,-1000.0,840.33203125,969.7265625,0.0
1734406656.2877476,969.23828125,-981.93359375,840.8203125,969.7265625,0.0
1734406656.2916517,969.23828125,-994.62890625,836.9140625,969.7265625,0.0
1734406656.295556,969.23828125,-1000.0,811.5234375,969.7265625,0.0
1734406656.2994602,969.23828125,-1000.0,791.015625,969.7265625,0.0
1734406656.3033643,969.23828125,-1000.0,815.91796875,969.7265625,0.0
1734406656.3072686,968.75,-1000.0,791.50390625,969.7265625,0.0
1734406656.3111727,968.75,-1000.0,646.484375,969.7265625,0.0
1734406656.315077,969.23828125,-1000.0,570.3125,970.21484375,0.0
