timestamps,TP9,AF7,AF8,TP10,Right AUX
1734406849.1348124,730.95703125,964.84375,845.21484375,969.7265625,0.0
1734406849.138718,776.85546875,910.15625,849.12109375,970.21484375,0.0
1734406849.1426234,864.2578125,941.89453125,869.140625,969.7265625,0.0
1734406849.146529,856.4453125,980.46875,870.1171875,969.7265625,0.0
1734406849.1504345,743.1640625,989.2578125,851.5625,969.7265625,0.0
1734406849.15434,672.8515625,563.4765625,832.51953125,969.7265625,0.0
1734406849.1582453,721.19140625,634.765625,853.02734375,969.7265625,0.0
1734406849.1621509,786.1328125,-945.3125,872.55859375,969.7265625,0.0
1734406849.1660564,760.7421875,870.1171875,855.46875,969.7265625,0.0
1734406849.169962,640.625,795.8984375,844.23828125,969.7265625,0.0
1734406849.1738675,528.3203125,967.28515625,845.21484375,969.7265625,0.0
1734406849.1777854,526.85546875,978.02734375,847.65625,970.703125,0.0
1734406849.181691,578.61328125,960.9375,852.05078125,964.84375,0.0
1734406849.1855965,519.53125,963.8671875,848.6328125,970.21484375,0.0
1734406849.189502,379.8828125,972.65625,837.40234375,966.30859375,0.0
1734406849.1934075,266.11328125,961.9140625,804.19921875,784.66796875,0.0
1734406849.1973128,237.79296875,752.9296875,790.52734375,670.8984375,0.0
1734406849.2012184,270.5078125,789.55078125,818.84765625,763.671875,0.0
1734406849.205124,245.1171875,-996.09375,831.54296875,769.53125,0.0
1734406849.2090294,114.2578125,883.30078125,742.1875,618.65234375,0.0
1734406849.212935,-40.0390625,91.30859375,513.18359375,376.46484375,0.0
1734406849.2168405,-77.1484375,78.61328125,537.59765625,247.0703125,0.0
1734406849.220746,-30.2734375,604.4921875,678.22265625,320.3125,0.0
1734406849.224683,-53.22265625,390.13671875,617.67578125,354.00390625,0.0
1734406849.2285886,-173.828125,188.96484375,500.9765625,213.8671875,0.0
1734406849.232494,-298.828125,146.484375,371.09375,-33.69140625,0.0
1734406849.2363997,-331.0546875,174.31640625,307.12890625,-181.640625,0.0
1734406849.2403052,-283.69140625,122.55859375,418.45703125,-113.28125,0.0
1734406849.2442107,-284.66796875,-210.9375,404.78515625,-43.45703125,0.0
1734406849.248116,-382.32421875,-333.0078125,213.37890625,-142.08984375,0.0
1734406849.2520216,-499.51171875,-214.35546875,100.09765625,-360.83984375,0.0
1734406849.255927,-511.71875,-550.78125,-251.953125,-489.74609375,0.0
1734406849.2598326,-430.17578125,-629.39453125,-131.34765625,-392.578125,0.0
1734406849.2637382,-388.671875,-0.9765625,323.73046875,-289.0625,0.0
1734406849.2676437,-451.171875,-47.8515625,129.39453125,-340.8203125,0.0
1734406849.2715607,-545.8984375,-711.42578125,-432.12890625,-506.8359375,0.0
1734406849.2754662,-529.296875,-909.1796875,-647.4609375,-616.69921875,0.0
1734406849.2793717,-439.94140625,-361.328125,-98.6328125,-530.76171875,0.0
1734406849.2832773,-368.65234375,-29.78515625,212.40234375,-380.859375,0.0
1734406849.2871828,-392.578125,-309.08203125,-58.59375,-358.88671875,0.0
1734406849.2910883,-469.7265625,-744.140625,-418.45703125,-499.0234375,0.0
1734406849.2949939,-467.7734375,-689.94140625,-466.30859375,-607.421875,0.0
1734406849.2988992,-374.51171875,-327.1484375,-170.41015625,-510.25390625,0.0
1734406849.3028047,-291.9921875,-321.77734375,165.0390625,-339.35546875,0.0
1734406849.3067102,-289.55078125,-228.02734375,155.76171875,-284.66796875,0.0
1734406849.3106158,-354.4921875,-93.26171875,-69.3359375,-404.78515625,0.0
1734406849.3145213,-374.0234375,-524.4140625,-403.3203125,-520.01953125,0.0
1734406849.3184364,-281.25,-669.921875,-274.90234375,-440.91796875,0.0
1734406849.3223417,-185.05859375,-68.84765625,215.33203125,-262.6953125,0.0
1734406849.3262472,-174.8046875,182.12890625,269.04296875,-182.6171875,0.0
1734406849.3301528,-250.9765625,-343.26171875,-161.1328125,-290.0390625,0.0
1734406849.3340583,-293.45703125,-716.30859375,-491.69921875,-418.45703125,0.0
