timestamps,TP9,AF7,AF8,TP10,Right AUX
1734406864.1824515,-118.1640625,-386.71875,-7.32421875,-130.859375,0.0
1734406864.186357,-94.7265625,313.4765625,271.484375,-45.41015625,0.0
1734406864.1902626,-113.76953125,-170.41015625,-167.48046875,-86.42578125,0.0
1734406864.194168,-180.17578125,-774.4140625,-582.51953125,-232.91015625,0.0
1734406864.1980736,-183.59375,-751.953125,-567.87109375,-298.33984375,0.0
1734406864.2019792,-109.86328125,-267.08984375,-61.5234375,-176.7578125,0.0
1734406864.2058847,-89.35546875,-333.0078125,-26.3671875,-64.453125,0.0
1734406864.2097902,-134.765625,-765.625,-452.63671875,-87.890625,0.0
1734406864.2136958,-187.01171875,-609.375,-457.51953125,-247.55859375,0.0
1734406864.2176013,-195.3125,-604.00390625,-574.21875,-337.40234375,0.0
1734406864.221507,-164.55078125,-437.01171875,-322.75390625,-242.67578125,0.0
1734406864.2254171,-133.30078125,-77.63671875,72.75390625,-119.62890625,0.0
1734406864.2293227,-134.27734375,81.0546875,-56.15234375,-109.86328125,0.0
1734406864.2332284,-185.05859375,-257.8125,-463.37890625,-250.9765625,0.0
1734406864.237134,-209.9609375,-573.2421875,-590.8203125,-358.3984375,0.0
1734406864.2410395,-165.0390625,-359.86328125,-336.42578125,-263.18359375,0.0
1734406864.244945,-125.0,-230.95703125,-146.484375,-124.0234375,0.0
1734406864.2488506,-139.6484375,-417.48046875,-289.55078125,-109.375,0.0
1734406864.252756,-185.05859375,-747.55859375,-539.0625,-241.2109375,0.0
1734406864.2566617,-219.23828125,-670.8984375,-589.84375,-371.58203125,0.0
1734406864.2605672,-186.5234375,-163.0859375,-342.7734375,-305.6640625,0.0
1734406864.2644727,-125.48828125,-87.40234375,-95.703125,-135.25390625,0.0
1734406864.2683783,-129.8828125,-653.3203125,-328.125,-93.75,0.0
1734406864.272294,-189.453125,-625.9765625,-500.9765625,-241.69921875,0.0
1734406864.2761996,-214.35546875,-229.98046875,-509.765625,-381.34765625,0.0
1734406864.280105,-186.03515625,-443.84765625,-555.6640625,-324.70703125,0.0
1734406864.2840106,-146.484375,-370.1171875,-238.76953125,-173.828125,0.0
1734406864.2879162,-133.7890625,-20.99609375,-117.67578125,-117.67578125,0.0
1734406864.2918217,-180.17578125,-405.2734375,-525.87890625,-233.88671875,0.0
1734406864.2957273,-211.9140625,-899.90234375,-784.1796875,-361.81640625,0.0
1734406864.2996328,-190.91796875,-878.41796875,-707.51953125,-332.03125,0.0
1734406864.3035383,-143.5546875,-244.62890625,-141.6015625,-195.80078125,0.0
1734406864.3074439,-132.32421875,-186.5234375,-164.0625,-115.234375,0.0
1734406864.3113494,-169.43359375,-763.671875,-604.98046875,-202.1484375,0.0
1734406864.315255,-209.47265625,-769.53125,-681.15234375,-355.46875,0.0
1734406864.3191698,-193.359375,-311.03515625,-507.8125,-359.86328125,0.0
1734406864.3230753,-130.859375,-111.81640625,-222.65625,-209.47265625,0.0
1734406864.3269808,-114.74609375,-297.8515625,-258.7890625,-119.62890625,0.0
1734406864.3308864,-148.4375,-368.65234375,-462.890625,-188.4765625,0.0
1734406864.334792,-197.265625,-375.0,-624.51171875,-347.16796875,0.0
1734406864.3386974,-188.96484375,-682.6171875,-685.05859375,-362.3046875,0.0
1734406864.342603,-130.37109375,-679.6875,-374.51171875,-214.84375,0.0
1734406864.3465085,-105.46875,-260.25390625,-226.07421875,-118.1640625,0.0
1734406864.350414,-146.484375,-127.9296875,-402.83203125,-177.24609375,0.0
1734406864.3543196,-187.5,-487.3046875,-660.64453125,-331.54296875,0.0
1734406864.358225,-177.24609375,-900.87890625,-775.87890625,-362.3046875,0.0
1734406864.3621306,-124.0234375,-518.06640625,-367.67578125,-229.00390625,0.0
1734406864.3660576,-104.98046875,-15.13671875,-192.87109375,-124.51171875,0.0
1734406864.3699632,-131.34765625,-385.25390625,-507.8125,-134.27734375,0.0
1734406864.3738687,-176.26953125,-798.33984375,-722.16796875,-288.57421875,0.0
1734406864.3777742,-178.7109375,-497.55859375,-622.55859375,-373.046875,0.0
1734406864.3816798,-118.65234375,-207.03125,-383.30078125,-229.98046875,0.0
1734406864.3855853,-83.984375,-482.421875,-343.75,-82.51953125,0.0
1734406864.3894908,-80.56640625,-620.60546875,-452.1484375,-83.0078125,0.0
1734406864.3933964,-126.46484375,-422.8515625,-562.01171875,-233.3984375,0.0
1734406864.397302,-176.26953125,-367.1875,-620.60546875,-343.75,0.0
1734406864.4012074,-132.32421875,-701.66015625,-562.5,-229.4921875,0.0
1734406864.405113,-56.640625,-769.04296875,-422.36328125,-71.77734375,0.0
1734406864.4090185,-82.51953125,-173.828125,-312.5,-82.51953125,0.0
1734406864.4129765,-141.6015625,-291.9921875,-552.734375,-222.16796875,0.0
1734406864.416882,-145.5078125,-636.23046875,-715.33203125,-319.3359375,0.0
1734406864.4207876,-98.14453125,-391.6015625,-427.734375,-231.4453125,0.0
1734406864.424693,-53.7109375,1.46484375,-66.89453125,-84.47265625,0.0
1734406864.4285986,-65.4296875,-98.14453125,-265.13671875,-50.29296875,0.0
1734406864.4325042,-117.67578125,-643.06640625,-629.39453125,-179.6875,0.0
1734406864.4364097,-148.4375,-963.8671875,-734.375,-299.31640625,0.0
1734406864.4403152,-115.72265625,-669.43359375,-514.6484375,-232.91015625,0.0
1734406864.4442208,-56.15234375,-320.3125,-254.8828125,-83.0078125,0.0
1734406864.4481263,-37.59765625,-383.30078125,-356.4453125,-20.99609375,0.0
1734406864.4520319,-97.65625,-386.71875,-494.62890625,-145.5078125,0.0
1734406864.4559374,-127.9296875,-339.84375,-594.7265625,-276.3671875,0.0
1734406864.4598763,-96.19140625,-497.55859375,-586.42578125,-236.328125,0.0
1734406864.4637818,-37.109375,-507.8125,-316.40625,-86.9140625,0.0
1734406864.4676874,-30.2734375,-157.2265625,-160.15625,-12.20703125,0.0
1734406864.471593,-94.7265625,-185.05859375,-437.98828125,-121.09375,0.0
1734406864.4754987,-121.58203125,-650.390625,-745.1171875,-259.765625,0.0
1734406864.4794042,-92.7734375,-979.4921875,-761.71875,-237.79296875,0.0
1734406864.4833097,-41.9921875,-482.421875,-195.80078125,-88.37890625,0.0
1734406864.4872153,-26.85546875,-16.11328125,-85.9375,0.0,0.0
1734406864.4911208,-73.2421875,-517.578125,-548.33984375,-96.6796875,0.0
1734406864.4950264,-119.140625,-1000.0,-773.4375,-252.44140625,0.0
1734406864.498932,-95.21484375,-656.25,-591.796875,-250.48828125,0.0
1734406864.5028374,-42.48046875,-84.9609375,-178.7109375,-106.93359375,0.0
1734406864.506762,-20.01953125,-337.890625,-205.56640625,-3.90625,0.0
1734406864.5106676,-49.8046875,-495.1171875,-450.1953125,-62.98828125,0.0
1734406864.514573,-95.21484375,-295.41015625,-543.45703125,-229.98046875,0.0
1734406864.5184786,-83.984375,-344.23828125,-551.7578125,-252.44140625,0.0
1734406864.5223842,-29.296875,-403.3203125,-329.58984375,-89.84375,0.0
1734406864.52629,8.7890625,-467.28515625,-282.71484375,21.484375,0.0
1734406864.5301955,-8.30078125,-414.55078125,-411.1328125,-17.578125,0.0
1734406864.534101,-58.10546875,-458.984375,-546.875,-165.52734375,0.0
1734406864.5380065,-57.12890625,-667.48046875,-625.0,-216.796875,0.0
1734406864.541912,0.0,-263.18359375,-209.47265625,-83.984375,0.0
1734406864.5458176,34.66796875,161.1328125,75.1953125,41.50390625,0.0
1734406864.5497231,9.27734375,-215.8203125,-294.43359375,24.90234375,0.0
1734406864.553634,-61.03515625,-836.9140625,-672.36328125,-126.46484375,0.0
1734406864.5575395,-54.19921875,-612.79296875,-586.42578125,-200.1953125,0.0
1734406864.561445,12.20703125,-8.7890625,-187.01171875,-82.03125,0.0
1734406864.5653505,47.36328125,-181.640625,-91.796875,51.26953125,0.0
1734406864.569256,32.2265625,-501.46484375,-397.94921875,52.734375,0.0
1734406864.5731616,-16.6015625,-558.59375,-528.80859375,-83.984375,0.0
1734406864.5770671,-51.7578125,-539.0625,-545.8984375,-195.3125,0.0
1734406864.5809727,1.953125,-574.21875,-424.8046875,-88.8671875,0.0
1734406864.5848782,62.98828125,-525.390625,-158.69140625,68.84765625,0.0
1734406864.5887837,40.0390625,-182.12890625,-108.3984375,66.40625,0.0
1734406864.5926893,-5.859375,-413.57421875,-430.17578125,-70.80078125,0.0
1734406864.5965948,-15.13671875,-739.74609375,-672.8515625,-160.64453125,0.0
1734406864.6005113,9.765625,-1000.0,-678.7109375,-79.1015625,0.0
1734406864.6044168,38.0859375,-427.734375,-99.609375,41.50390625,0.0
1734406864.6083224,41.50390625,152.83203125,49.8046875,72.265625,0.0
1734406864.612228,-1.953125,-585.9375,-550.78125,-41.50390625,0.0
1734406864.6161335,-46.875,-821.2890625,-736.328125,-172.36328125,0.0
1734406864.620039,3.90625,-290.0390625,-352.5390625,-109.375,0.0
1734406864.6239445,62.5,-96.19140625,-25.390625,47.8515625,0.0
1734406864.62785,39.55078125,-483.88671875,-146.484375,89.35546875,0.0
