timestamps,TP9,AF7,AF8,TP10,Right AUX
1733977608.4712107,0.0,-555.6640625,0.0,785.15625,0.0
1733977608.4751165,0.0,-1000.0,0.0,-937.5,0.0
1733977608.479022,0.0,-583.0078125,0.0,-321.77734375,0.0
1733977608.4829276,0.0,891.11328125,0.0,-1000.0,0.0
1733977608.486833,0.0,911.1328125,0.0,-801.26953125,0.0
1733977608.4907386,0.0,-565.4296875,0.0,576.171875,0.0
1733977608.4946442,0.0,-1000.0,0.0,-840.33203125,0.0
1733977608.4985497,0.0,-724.12109375,0.0,-70.80078125,0.0
1733977608.5024552,0.0,726.07421875,0.0,-1000.0,0.0
1733977608.5063608,0.0,-956.0546875,0.0,-843.75,0.0
1733977608.5102663,0.0,-411.1328125,0.0,514.16015625,0.0
1733977608.5141718,0.0,-1000.0,0.0,-809.08203125,0.0
1733977608.5180843,-565.4296875,-817.87109375,-982.91015625,307.6171875,0.0
1733977608.5219898,863.28125,575.1953125,-908.69140625,-1000.0,0.0
1733977608.5258954,-998.53515625,-859.86328125,542.48046875,-887.6953125,0.0
1733977608.529801,-400.87890625,-224.12109375,-823.73046875,530.76171875,0.0
1733977608.5337064,-1000.0,-1000.0,505.859375,-816.89453125,0.0
1733977608.537612,-642.578125,-832.51953125,-935.05859375,542.48046875,0.0
1733977608.5415175,786.1328125,512.6953125,-942.3828125,-910.64453125,0.0
1733977608.545423,-938.4765625,-811.03515625,520.99609375,-983.88671875,0.0
1733977608.5493286,-319.3359375,164.0625,-818.359375,463.8671875,0.0
1733977608.553234,-1000.0,-1000.0,512.6953125,-823.73046875,0.0
1733977608.5571396,-772.94921875,-866.2109375,-864.2578125,626.46484375,0.0
1733977608.5610452,605.95703125,520.99609375,-1000.0,-798.33984375,0.0
1733977608.5649657,-841.796875,-802.734375,234.86328125,-1000.0,0.0
1733977608.5688713,-33.69140625,479.00390625,-798.828125,295.8984375,0.0
1733977608.5727768,-1000.0,-852.05078125,553.7109375,-853.02734375,0.0
1733977608.5766823,-834.9609375,-1000.0,-791.015625,773.92578125,0.0
1733977608.5805879,510.25390625,-1.953125,-1000.0,-522.4609375,0.0
1733977608.5844934,-834.9609375,-894.04296875,-241.2109375,-1000.0,0.0
1733977608.588399,686.5234375,804.19921875,-981.4453125,-699.70703125,0.0
1733977608.5923045,-740.72265625,-537.59765625,882.8125,678.22265625,0.0
1733977608.59621,-1000.0,-1000.0,-503.90625,-864.74609375,0.0
1733977608.6001155,291.015625,-659.1796875,-1000.0,-69.3359375,0.0
1733977608.604021,-841.30859375,835.44921875,-879.8828125,-1000.0,0.0
1733977608.6079266,743.1640625,917.96875,609.86328125,-784.1796875,0.0
1733977608.6118455,-741.69921875,-587.890625,946.77734375,603.02734375,0.0
1733977608.615751,-1000.0,-1000.0,-683.59375,-826.171875,0.0
1733977608.6196566,469.23828125,-473.14453125,-1000.0,209.47265625,0.0
1733977608.623562,-879.8828125,806.640625,23.4375,-1000.0,0.0
1733977608.6274676,849.609375,-959.47265625,954.58984375,-872.0703125,0.0
1733977608.6313732,-656.73828125,930.6640625,-927.24609375,522.94921875,0.0
1733977608.6352787,-937.01171875,-609.86328125,627.9296875,-815.4296875,0.0
1733977608.6391842,687.01171875,-654.296875,-797.8515625,545.41015625,0.0
1733977608.6430898,-956.0546875,982.421875,281.73828125,-917.96875,0.0
1733977608.6469953,996.09375,918.9453125,-907.2265625,-961.9140625,0.0
1733977608.6509008,-407.71484375,-940.4296875,991.69921875,500.0,0.0
1733977608.6548064,-895.01953125,708.49609375,776.3671875,-832.51953125,0.0
1733977608.6587238,792.48046875,-333.984375,-774.90234375,649.90234375,0.0
1733977608.6626294,986.328125,697.265625,70.80078125,-767.578125,0.0
1733977608.666535,-916.9921875,-888.18359375,-890.13671875,-1000.0,0.0
1733977608.6704404,95.703125,890.13671875,948.2421875,254.39453125,0.0
1733977608.674346,-619.140625,986.81640625,842.28515625,-852.05078125,0.0
1733977608.6782515,775.390625,969.7265625,-577.1484375,788.0859375,0.0
1733977608.682157,-773.92578125,969.7265625,-42.96875,-729.00390625,0.0
1733977608.6860626,67.3828125,970.21484375,-943.84765625,-990.72265625,0.0
1733977608.689968,-933.10546875,983.88671875,-983.88671875,575.1953125,0.0
1733977608.6938736,539.0625,899.90234375,686.03515625,-820.3125,0.0
1733977608.6977792,-801.26953125,-937.98828125,-690.4296875,318.359375,0.0
1733977608.7016847,-37.109375,630.37109375,-49.8046875,-969.23828125,0.0
1733977608.7056012,-1000.0,-919.921875,204.1015625,-1000.0,0.0
1733977608.7095068,-840.33203125,-926.7578125,-1000.0,454.58984375,0.0
1733977608.7134123,697.75390625,573.73046875,-590.8203125,-937.5,0.0
1733977608.7173178,-1000.0,-888.18359375,668.9453125,-540.52734375,0.0
1733977608.7212234,-512.6953125,836.9140625,-940.91796875,-1000.0,0.0
1733977608.725129,-1000.0,-644.04296875,690.4296875,-1000.0,0.0
1733977608.7290344,-715.8203125,-991.69921875,-735.83984375,-379.39453125,0.0
1733977608.73294,695.80078125,574.70703125,-134.27734375,966.30859375,0.0
1733977608.7368455,-851.5625,-861.81640625,-925.29296875,-264.6484375,0.0
1733977608.740751,-390.13671875,738.28125,936.03515625,-1000.0,0.0
1733977608.7446566,-1000.0,-779.78515625,912.109375,-793.9453125,0.0
1733977608.748562,469.23828125,-905.2734375,855.46875,492.1875,0.0
1733977608.7524774,-948.73046875,654.78515625,931.15234375,-819.82421875,0.0
1733977608.756383,-974.609375,-898.92578125,924.31640625,626.46484375,0.0
1733977608.7602885,69.82421875,826.66015625,-980.95703125,-750.48828125,0.0
1733977608.764194,-1000.0,-659.1796875,631.34765625,-1000.0,0.0
1733977608.7680995,189.94140625,-1000.0,-858.88671875,-934.08203125,0.0
1733977608.772005,-880.37109375,640.625,-889.6484375,-1000.0,0.0
1733977608.7759106,905.2734375,-927.24609375,579.58984375,-1000.0,0.0
1733977608.7798162,967.7734375,895.5078125,-901.3671875,-1000.0,0.0
1733977608.7837217,969.7265625,985.83984375,688.4765625,-1000.0,0.0
1733977608.7876272,985.83984375,986.81640625,-632.8125,-1000.0,0.0
1733977608.7915328,908.69140625,910.15625,-1000.0,-1000.0,0.0
1733977608.7954383,-985.3515625,-971.6796875,-880.859375,-1000.0,0.0
1733977608.7993526,891.6015625,833.49609375,-786.1328125,-1000.0,0.0
1733977608.8032582,-668.9453125,-556.640625,-873.046875,-1000.0,0.0
1733977608.8071637,-1000.0,-1000.0,-1000.0,-1000.0,0.0
1733977608.8110693,693.84765625,-310.546875,-794.43359375,-1000.0,0.0
1733977608.8149748,962.890625,649.90234375,117.1875,-1000.0,0.0
1733977608.8188803,-671.875,-556.640625,631.8359375,-1000.0,0.0
1733977608.8227859,-1000.0,-1000.0,255.37109375,-1000.0,0.0
1733977608.8266914,-925.78125,-931.15234375,-101.5625,-1000.0,0.0
1733977608.830597,-1000.0,-1000.0,-741.2109375,-1000.0,0.0
1733977608.8345025,-1000.0,-1000.0,-379.8828125,-1000.0,0.0
1733977608.838408,-1000.0,-1000.0,-539.0625,-1000.0,0.0
1733977608.8423135,-1000.0,-1000.0,-844.23828125,-1000.0,0.0
1733977608.8462355,-1000.0,-1000.0,-882.32421875,-1000.0,0.0
1733977608.850141,-1000.0,-1000.0,-286.62109375,-1000.0,0.0
1733977608.8540466,-1000.0,-1000.0,840.33203125,-1000.0,0.0
1733977608.857952,-1000.0,-1000.0,943.359375,-940.4296875,0.0
1733977608.8618577,-996.09375,-970.703125,847.16796875,-1000.0,0.0
1733977608.8657632,-1000.0,-1000.0,754.8828125,-327.1484375,0.0
1733977608.8696687,-964.84375,-938.96484375,805.6640625,966.30859375,0.0
1733977608.8735745,-944.82421875,-394.04296875,890.13671875,979.00390625,0.0
1733977608.87748,-1000.0,-759.765625,948.2421875,932.6171875,0.0
1733977608.8813856,-996.58203125,-1000.0,773.4375,979.98046875,0.0
1733977608.885291,-1000.0,-964.84375,-542.96875,969.7265625,0.0
1733977608.8891966,-973.6328125,-1000.0,-1000.0,987.3046875,0.0
1733977608.8931081,-955.56640625,-1000.0,-592.28515625,886.71875,0.0
1733977608.8970137,-1000.0,-1000.0,-746.09375,-889.16015625,0.0
1733977608.9009192,-1000.0,-1000.0,-1000.0,673.33984375,0.0
1733977608.9048247,-999.0234375,-1000.0,-992.67578125,-733.88671875,0.0
1733977608.9087303,-1000.0,-1000.0,-997.55859375,304.6875,0.0
1733977608.9126358,-1000.0,-1000.0,-1000.0,-811.03515625,0.0
1733977608.9165413,-1000.0,-1000.0,-1000.0,876.46484375,0.0
1733977608.9204469,-1000.0,-1000.0,-993.65234375,-408.203125,0.0
1733977608.9243524,-1000.0,-957.03125,-964.84375,-1000.0,0.0
1733977608.928258,-1000.0,-1000.0,-1000.0,145.01953125,0.0
1733977608.9321635,-1000.0,-1000.0,-300.29296875,-927.24609375,0.0
1733977608.936069,-1000.0,458.984375,827.1484375,921.38671875,0.0
1733977608.939989,-926.26953125,832.03125,938.96484375,962.40234375,0.0
1733977608.9438946,-1000.0,-904.78515625,869.140625,972.16796875,0.0
1733977608.9478002,-837.40234375,-800.78125,874.51171875,981.93359375,0.0
1733977608.9517057,457.03125,754.39453125,883.7890625,889.16015625,0.0
1733977608.9556112,-478.02734375,983.88671875,916.50390625,-878.41796875,0.0
1733977608.9595168,-1000.0,-414.55078125,803.7109375,542.48046875,0.0
1733977608.9634223,-909.66796875,-1000.0,-64.94140625,-709.47265625,0.0
1733977608.9673278,-1000.0,-940.4296875,-922.36328125,505.859375,0.0
1733977608.9712334,-1000.0,-1000.0,-20.99609375,-880.859375,0.0
1733977608.975139,-1000.0,-1000.0,861.328125,917.96875,0.0
1733977608.9790444,-1000.0,-983.3984375,499.51171875,732.421875,0.0
1733977608.98295,-926.7578125,-970.703125,246.09375,-187.01171875,0.0
1733977608.98687,0.0,-1000.0,185.546875,-111.328125,0.0
1733977608.9907756,0.0,10.25390625,621.58203125,908.203125,0.0
1733977608.9946811,0.0,-945.3125,827.63671875,-984.86328125,0.0
1733977608.9985867,0.0,933.59375,718.75,921.38671875,0.0
1733977609.0024922,0.0,957.03125,672.36328125,980.95703125,0.0
1733977609.0063977,0.0,974.12109375,536.1328125,969.7265625,0.0
1733977609.0103033,0.0,969.7265625,726.07421875,969.7265625,0.0
1733977609.0142088,0.0,969.7265625,892.578125,969.7265625,0.0
1733977609.0181143,0.0,969.7265625,923.828125,970.21484375,0.0
