timestamps,TP9,AF7,AF8,TP10,Right AUX
1733977635.8039017,-872.0703125,18.5546875,120.1171875,423.828125,0.0
1733977635.8078072,523.92578125,78.125,395.01953125,-664.0625,0.0
1733977635.811713,-817.87109375,69.82421875,392.578125,-590.8203125,0.0
1733977635.8156185,505.37109375,12.6953125,322.75390625,496.58203125,0.0
1733977635.819524,-944.82421875,-32.71484375,-86.42578125,-974.12109375,0.0
1733977635.8234298,-920.41015625,0.48828125,-305.17578125,519.04296875,0.0
1733977635.8273354,549.8046875,54.6875,81.0546875,-609.86328125,0.0
1733977635.8312411,-845.703125,68.359375,383.7890625,-727.5390625,0.0
1733977635.8351467,671.875,17.578125,303.7109375,317.3828125,0.0
1733977635.8390522,-795.41015625,-41.9921875,-92.7734375,998.53515625,0.0
1733977635.842958,-1000.0,-7.8125,-229.00390625,631.34765625,0.0
1733977635.8468704,453.125,62.01171875,264.16015625,-509.27734375,0.0
1733977635.8507762,-862.79296875,79.58984375,470.21484375,-810.05859375,0.0
1733977635.8546817,787.59765625,24.4140625,291.9921875,166.9921875,0.0
1733977635.8585873,-621.09375,-34.66796875,24.90234375,963.8671875,0.0
1733977635.862493,-1000.0,-12.20703125,-201.66015625,742.1875,0.0
1733977635.8663986,281.25,49.31640625,41.015625,-388.18359375,0.0
1733977635.870304,-858.3984375,84.9609375,324.21875,-838.8671875,0.0
1733977635.87421,808.59375,46.875,186.03515625,58.59375,0.0
1733977635.8781154,-558.59375,-8.7890625,41.9921875,927.24609375,0.0
1733977635.8820212,-1000.0,0.0,-187.01171875,868.1640625,0.0
1733977635.8859267,29.78515625,54.19921875,-46.38671875,-194.3359375,0.0
1733977635.8898323,-894.53125,105.46875,371.09375,-850.5859375,0.0
1733977635.893744,816.89453125,72.265625,381.8359375,-88.37890625,0.0
1733977635.8976495,-540.52734375,-9.765625,66.40625,881.8359375,0.0
1733977635.9015553,-1000.0,-15.625,-367.1875,937.01171875,0.0
1733977635.9054608,-342.28515625,57.6171875,-105.95703125,-70.3125,0.0
1733977635.9093664,967.7734375,110.3515625,421.875,-878.41796875,0.0
1733977635.9132721,930.6640625,66.89453125,282.2265625,-242.1875,0.0
1733977635.9171777,-443.359375,-7.8125,-240.234375,820.80078125,0.0
1733977635.9210835,-1000.0,1.953125,-397.4609375,991.2109375,0.0
1733977635.924989,-623.53515625,58.10546875,-99.609375,63.96484375,0.0
1733977635.9288945,790.0390625,97.65625,252.44140625,-846.19140625,0.0
1733977635.9328003,-933.59375,76.171875,273.92578125,-330.078125,0.0
1733977635.9367058,-286.62109375,17.578125,105.95703125,758.7890625,0.0
1733977635.9406161,-1000.0,-8.7890625,-262.20703125,-978.02734375,0.0
1733977635.944522,-747.0703125,34.1796875,-294.43359375,215.33203125,0.0
1733977635.9484274,627.9296875,91.30859375,246.58203125,-807.6171875,0.0
1733977635.9523332,-843.26171875,78.125,369.140625,-490.72265625,0.0
1733977635.9562387,39.55078125,11.71875,136.71875,636.23046875,0.0
1733977635.9601443,-1000.0,-41.50390625,-413.0859375,-963.8671875,0.0
1733977635.96405,-851.5625,-3.41796875,-416.9921875,373.53515625,0.0
1733977635.9679556,522.4609375,80.078125,225.5859375,-697.75390625,0.0
1733977635.9718611,-813.4765625,68.84765625,361.81640625,-563.96484375,0.0
1733977635.975767,386.23046875,-4.39453125,99.609375,551.7578125,0.0
1733977635.9796724,-997.0703125,-33.203125,-333.49609375,-962.890625,0.0
1733977635.9835782,-900.87890625,13.18359375,-313.96484375,483.3984375,0.0
1733977635.9874957,538.0859375,73.73046875,143.06640625,-630.859375,0.0
1733977635.9914012,-827.1484375,59.08203125,267.08984375,-645.01953125,0.0
1733977635.9953067,579.1015625,5.859375,121.09375,438.96484375,0.0
1733977635.9992125,-881.34765625,-42.48046875,-266.11328125,-981.93359375,0.0
1733977636.003118,-985.3515625,-30.76171875,-443.84765625,587.890625,0.0
1733977636.0070238,478.515625,24.90234375,-206.54296875,-511.23046875,0.0
1733977636.0109293,-843.75,53.7109375,199.70703125,-712.890625,0.0
1733977636.014835,702.1484375,18.06640625,224.609375,271.97265625,0.0
1733977636.0187407,-728.02734375,-47.36328125,-297.8515625,989.2578125,0.0
1733977636.0226462,-1000.0,-42.96875,-680.17578125,761.71875,0.0
1733977636.026552,310.546875,47.8515625,-156.73828125,-348.14453125,0.0
1733977636.0304575,-856.93359375,86.9140625,379.39453125,-762.20703125,0.0
1733977636.0343742,799.8046875,20.99609375,167.48046875,151.3671875,0.0
1733977636.0382798,-579.58984375,-41.015625,-313.4765625,952.63671875,0.0
1733977636.0421853,-1000.0,-11.71875,-466.796875,833.984375,0.0
1733977636.046091,101.5625,48.33984375,-118.1640625,-210.44921875,0.0
1733977636.0499966,-877.9296875,70.80078125,258.7890625,-753.90625,0.0
1733977636.0539024,807.6171875,27.83203125,137.20703125,70.3125,0.0
1733977636.057808,-544.43359375,-30.76171875,-270.99609375,924.8046875,0.0
1733977636.0617135,-1000.0,-14.6484375,-433.59375,926.7578125,0.0
1733977636.0656192,-287.109375,38.0859375,-314.453125,-37.109375,0.0
1733977636.0695248,-988.76953125,79.1015625,-9.27734375,-754.8828125,0.0
1733977636.0734303,862.79296875,59.08203125,248.53515625,-77.63671875,0.0
1733977636.077336,-538.0859375,-20.99609375,-62.98828125,871.09375,0.0
1733977636.0812597,-1000.0,-41.50390625,-528.80859375,972.16796875,0.0
1733977636.0851655,-583.0078125,29.78515625,-303.22265625,52.734375,0.0
1733977636.089071,849.12109375,87.890625,289.0625,-804.19921875,0.0
1733977636.0929766,990.72265625,52.24609375,285.64453125,-243.1640625,0.0
1733977636.0968823,-436.03515625,-20.99609375,-176.7578125,799.31640625,0.0
1733977636.1007879,-1000.0,-41.015625,-547.36328125,-979.4921875,0.0
1733977636.1046937,-741.69921875,23.92578125,-299.31640625,229.00390625,0.0
1733977636.1085992,678.22265625,88.8671875,226.07421875,-743.1640625,0.0
1733977636.1125047,-901.85546875,39.55078125,-59.5703125,-313.4765625,0.0
1733977636.1164105,-291.50390625,-7.32421875,-306.640625,766.6015625,0.0
1733977636.120316,-1000.0,-11.71875,-377.9296875,-968.26171875,0.0
1733977636.1242216,-826.171875,22.4609375,-410.15625,360.3515625,0.0
1733977636.1281357,526.85546875,82.51953125,23.4375,-659.66796875,0.0
1733977636.1320415,-822.265625,76.66015625,320.80078125,-429.19921875,0.0
1733977636.135947,64.453125,8.7890625,112.79296875,665.52734375,0.0
1733977636.1398528,-1000.0,-35.64453125,-411.1328125,-957.51953125,0.0
1733977636.1437583,-855.95703125,7.8125,-465.33203125,461.42578125,0.0
1733977636.1476638,516.6015625,76.171875,33.203125,-587.40234375,0.0
