timestamps,TP9,AF7,AF8,TP10,Right AUX
1733977668.5234349,-1000.0,-34.1796875,-371.58203125,495.1171875,0.0
1733977668.5273404,-836.9140625,-22.94921875,-393.06640625,49.31640625,0.0
1733977668.5312462,578.125,-1.46484375,-283.69140625,-121.09375,0.0
1733977668.535152,-902.83203125,4.8828125,51.7578125,201.171875,0.0
1733977668.5390575,-350.09765625,-20.99609375,-125.48828125,616.2109375,0.0
1733977668.5429633,-1000.0,-37.59765625,-522.94921875,570.3125,0.0
1733977668.546869,-842.28515625,-25.390625,-627.44140625,136.23046875,0.0
1733977668.5507748,533.203125,6.8359375,-172.36328125,-113.28125,0.0
1733977668.5546803,-844.23828125,10.7421875,140.625,154.78515625,0.0
1733977668.5585861,-130.859375,-13.18359375,-102.5390625,599.609375,0.0
1733977668.562492,-1000.0,-30.2734375,-425.29296875,612.79296875,0.0
1733977668.5664024,-873.046875,-13.18359375,-420.41015625,193.359375,0.0
1733977668.5703082,456.54296875,12.20703125,-93.26171875,-109.375,0.0
1733977668.5742137,-801.26953125,14.16015625,51.7578125,109.375,0.0
1733977668.5781195,285.64453125,0.0,-12.6953125,570.3125,0.0
1733977668.5820253,-991.69921875,-20.99609375,-350.09765625,654.296875,0.0
1733977668.5859308,-991.69921875,-9.765625,-510.25390625,272.4609375,0.0
1733977668.5898366,343.26171875,15.625,-319.3359375,-90.8203125,0.0
1733977668.5937424,-817.87109375,18.06640625,-104.98046875,59.5703125,0.0
1733977668.5976481,647.94921875,1.953125,73.2421875,499.51171875,0.0
1733977668.6015537,-788.0859375,-26.3671875,-280.2734375,632.32421875,0.0
1733977668.6054595,-1000.0,-24.90234375,-547.36328125,288.57421875,0.0
1733977668.6093652,312.5,5.37109375,-187.01171875,-130.859375,0.0
1733977668.6132817,-854.98046875,16.11328125,198.2421875,-57.6171875,0.0
1733977668.6171873,788.57421875,-3.90625,103.02734375,385.25390625,0.0
1733977668.621093,-604.4921875,-24.90234375,-333.49609375,582.51953125,0.0
1733977668.6249988,-1000.0,-20.5078125,-426.7578125,263.671875,0.0
1733977668.6289046,155.2734375,0.9765625,-117.67578125,-187.98828125,0.0
1733977668.63281,-873.046875,14.16015625,94.7265625,-166.50390625,0.0
1733977668.636716,815.4296875,0.9765625,-165.52734375,271.97265625,0.0
1733977668.6406217,-559.5703125,-14.16015625,-238.76953125,528.3203125,0.0
1733977668.6445272,-1000.0,-17.578125,-293.45703125,259.765625,0.0
1733977668.648433,-34.1796875,-9.765625,-297.8515625,-201.66015625,0.0
1733977668.6523387,-958.984375,6.8359375,32.2265625,-265.13671875,0.0
1733977668.6562445,954.58984375,3.90625,224.609375,119.62890625,0.0
1733977668.6601527,-350.5859375,-17.08984375,-11.23046875,451.171875,0.0
1733977668.6640584,-1000.0,-25.87890625,-351.5625,255.859375,0.0
1733977668.667964,-102.5390625,-12.20703125,-192.3828125,-230.95703125,0.0
1733977668.6718698,970.21484375,1.953125,228.515625,-363.28125,0.0
1733977668.6757755,-949.70703125,-5.37109375,256.8359375,3.41796875,0.0
1733977668.6796813,80.078125,-29.296875,-62.98828125,410.64453125,0.0
1733977668.6835868,-1000.0,-32.2265625,-304.6875,293.45703125,0.0
1733977668.6874926,-346.19140625,-17.08984375,-147.4609375,-196.77734375,0.0
1733977668.6913984,891.6015625,-6.8359375,228.515625,-421.38671875,0.0
1733977668.695304,-908.69140625,-17.578125,132.8125,-105.46875,0.0
1733977668.6992097,500.9765625,-33.203125,-64.94140625,334.9609375,0.0
1733977668.7031155,-1000.0,-37.109375,-61.5234375,269.53125,0.0
1733977668.70703,-630.859375,-27.34375,12.20703125,-217.7734375,0.0
1733977668.7109356,778.80859375,-8.7890625,181.15234375,-485.83984375,0.0
1733977668.7148414,-894.04296875,-10.25390625,280.76171875,-233.88671875,0.0
1733977668.7187471,646.97265625,-25.390625,246.58203125,216.796875,0.0
1733977668.7226527,-866.2109375,-43.45703125,29.296875,242.67578125,0.0
1733977668.7265584,-946.2890625,-41.50390625,-226.5625,-186.03515625,0.0
1733977668.7304642,558.59375,-16.11328125,82.03125,-540.52734375,0.0
1733977668.73437,-835.9375,-10.25390625,361.81640625,-389.6484375,0.0
1733977668.7382755,610.83984375,-28.80859375,167.48046875,101.5625,0.0
1733977668.7421813,-804.19921875,-42.96875,-287.59765625,249.0234375,0.0
1733977668.746087,-1000.0,-28.80859375,-104.4921875,-167.96875,0.0
1733977668.7499926,287.109375,-11.23046875,253.41796875,-615.72265625,0.0
1733977668.7539067,-799.8046875,0.9765625,230.46875,-528.3203125,0.0
1733977668.7578123,507.8125,2.44140625,226.5625,-40.0390625,0.0
1733977668.761718,-804.19921875,-9.765625,85.9375,153.3203125,0.0
1733977668.7656238,-1000.0,-3.90625,-4.8828125,-250.48828125,0.0
1733977668.7695293,-282.2265625,12.20703125,59.5703125,-746.09375,0.0
1733977668.773435,-910.64453125,22.4609375,132.8125,-752.44140625,0.0
1733977668.777341,485.3515625,32.2265625,169.921875,-323.73046875,0.0
1733977668.7812467,-876.46484375,24.90234375,37.109375,-81.0546875,0.0
1733977668.7851522,-1000.0,20.01953125,-326.66015625,-442.87109375,0.0
1733977668.789058,-637.20703125,49.31640625,-181.15234375,-928.7109375,0.0
1733977668.7929637,320.80078125,69.3359375,241.2109375,-1000.0,0.0
1733977668.7968693,-311.5234375,61.5234375,196.77734375,-745.1171875,0.0
1733977668.8007824,-972.16796875,43.9453125,-289.0625,-440.4296875,0.0
1733977668.804688,-1000.0,51.7578125,-411.1328125,-697.265625,0.0
1733977668.8085938,-800.29296875,73.2421875,-181.640625,-987.3046875,0.0
1733977668.8124995,-198.73046875,85.44921875,30.2734375,-1000.0,0.0
1733977668.8164053,-630.859375,84.47265625,2.9296875,-927.734375,0.0
1733977668.8203108,-935.05859375,69.3359375,-294.43359375,-643.06640625,0.0
1733977668.8242166,-1000.0,67.3828125,-476.07421875,-775.390625,0.0
1733977668.8281224,-930.6640625,78.125,-420.8984375,-995.1171875,0.0
1733977668.832028,49.8046875,87.890625,-390.13671875,-1000.0,0.0
1733977668.8359337,408.203125,97.16796875,-262.6953125,-962.890625,0.0
1733977668.8398395,-607.421875,77.1484375,-267.578125,-646.484375,0.0
1733977668.8437452,-1000.0,52.24609375,-521.484375,-714.84375,0.0
1733977668.8476574,-881.34765625,63.4765625,-561.5234375,-978.02734375,0.0
1733977668.851563,588.37890625,85.44921875,-208.984375,-1000.0,0.0
1733977668.8554688,-971.19140625,76.171875,-132.32421875,-971.19140625,0.0
1733977668.8593745,-533.203125,53.22265625,-317.3828125,-584.47265625,0.0
1733977668.8632803,-1000.0,36.1328125,-457.03125,-557.6171875,0.0
1733977668.8671858,-675.78125,36.1328125,-536.62109375,-928.22265625,0.0
1733977668.8710916,613.76953125,46.38671875,-362.79296875,-1000.0,0.0
1733977668.8749974,-943.84765625,47.36328125,-332.51953125,-962.40234375,0.0
1733977668.878903,-388.18359375,33.69140625,-376.953125,-546.875,0.0
1733977668.8828087,-1000.0,20.99609375,-394.04296875,-491.2109375,0.0
1733977668.8867145,-921.38671875,20.01953125,-484.375,-898.4375,0.0
1733977668.8906202,332.03125,37.59765625,-417.48046875,-1000.0,0.0
1733977668.8945312,-791.9921875,45.8984375,-181.15234375,-975.5859375,0.0
1733977668.8984368,168.45703125,23.4375,-101.5625,-571.77734375,0.0
1733977668.9023426,-1000.0,0.48828125,-396.97265625,-396.484375,0.0
1733977668.9062483,-1000.0,-1.46484375,-525.390625,-772.94921875,0.0
1733977668.9101539,229.4921875,14.16015625,-280.76171875,-1000.0,0.0
1733977668.9140596,-804.6875,12.6953125,-211.9140625,-963.37890625,0.0
1733977668.9179654,629.39453125,-7.32421875,-341.796875,-488.76953125,0.0
1733977668.9218712,-761.71875,-28.80859375,-642.578125,-211.9140625,0.0
1733977668.9257767,-1000.0,-18.06640625,-580.078125,-593.26171875,0.0
1733977668.9296825,93.26171875,-3.41796875,-345.21484375,-978.02734375,0.0
1733977668.9335883,-881.8359375,-5.859375,-274.4140625,-864.74609375,0.0
1733977668.9374938,789.0625,-20.99609375,-194.82421875,-369.140625,0.0
1733977668.941404,-573.73046875,-40.52734375,-324.70703125,-99.609375,0.0
1733977668.9453099,-1000.0,-43.9453125,-472.65625,-385.25390625,0.0
1733977668.9492154,-303.22265625,-34.66796875,-407.71484375,-832.03125,0.0
1733977668.9531212,-986.81640625,-22.94921875,-194.82421875,-789.55078125,0.0
1733977668.957027,842.7734375,-26.85546875,-47.36328125,-299.31640625,0.0
1733977668.9609327,-569.3359375,-53.22265625,-338.37890625,17.08984375,0.0
1733977668.9648383,-1000.0,-62.01171875,-606.4453125,-205.078125,0.0
1733977668.968744,-643.06640625,-41.50390625,-444.3359375,-676.7578125,0.0
1733977668.9726498,850.09765625,-26.3671875,-48.828125,-736.328125,0.0
1733977668.9765553,910.15625,-33.69140625,75.1953125,-285.64453125,0.0
1733977668.9804611,-595.703125,-51.7578125,-345.21484375,94.23828125,0.0
1733977668.984367,-1000.0,-54.6875,-510.25390625,-71.77734375,0.0
1733977668.9882762,-801.26953125,-40.52734375,-292.48046875,-562.98828125,0.0
1733977668.992182,687.01171875,-23.92578125,-48.828125,-684.5703125,0.0
1733977668.9960878,972.65625,-21.484375,-127.44140625,-270.01953125,0.0
1733977668.9999936,-586.42578125,-35.15625,-279.78515625,130.37109375,0.0
