timestamps,TP9,AF7,AF8,TP10,Right AUX
1734413083.1872807,47.8515625,853.515625,710.9375,117.1875,0.0
1734413083.1911817,37.109375,879.39453125,712.890625,131.34765625,0.0
1734413083.1950827,29.296875,894.04296875,728.02734375,157.2265625,0.0
1734413083.1989837,46.875,909.66796875,770.5078125,158.69140625,0.0
1734413083.2028847,71.77734375,812.01171875,767.08984375,142.08984375,0.0
1734413083.2067857,54.19921875,625.9765625,661.62109375,127.9296875,0.0
1734413083.210687,31.25,758.7890625,733.88671875,135.25390625,0.0
1734413083.214588,30.2734375,934.5703125,799.31640625,175.29296875,0.0
1734413083.218489,56.640625,800.29296875,779.296875,192.3828125,0.0
1734413083.22239,62.5,871.09375,834.9609375,162.109375,0.0
1734413083.226291,49.8046875,-984.375,828.61328125,134.27734375,0.0
1734413083.2302604,29.296875,895.5078125,799.8046875,141.11328125,0.0
1734413083.2341614,27.34375,860.3515625,809.5703125,164.0625,0.0
1734413083.2380624,44.921875,953.125,827.1484375,160.15625,0.0
1734413083.2419634,50.29296875,997.0703125,839.84375,126.953125,0.0
1734413083.2458644,39.55078125,852.05078125,756.8359375,94.7265625,0.0
1734413083.2497654,22.4609375,566.40625,675.78125,92.28515625,0.0
1734413083.2536664,9.765625,580.078125,687.98828125,109.375,0.0
1734413083.2575676,5.37109375,935.05859375,774.4140625,115.234375,0.0
1734413083.2614686,21.97265625,701.171875,686.5234375,92.7734375,0.0
1734413083.2653697,14.6484375,216.30859375,569.82421875,49.8046875,0.0
1734413083.2692707,-9.27734375,648.92578125,621.09375,25.87890625,0.0
1734413083.2731717,-28.80859375,842.7734375,623.53515625,52.734375,0.0
1734413083.2771785,-13.18359375,678.22265625,626.953125,67.3828125,0.0
1734413083.2810795,9.27734375,765.625,656.25,41.9921875,0.0
1734413083.2849808,-13.671875,851.5625,585.9375,2.9296875,0.0
1734413083.2888818,-21.97265625,595.21484375,452.63671875,-0.9765625,0.0
1734413083.2927828,-34.1796875,221.6796875,432.6171875,20.01953125,0.0
