timestamps,TP9,AF7,AF8,TP10,Right AUX
1734413267.1669738,-38.57421875,406.25,-7.8125,-66.40625,0.0
1734413267.170879,-47.8515625,9.765625,-403.80859375,-58.59375,0.0
1734413267.174784,-53.22265625,-35.64453125,-209.47265625,-28.3203125,0.0
1734413267.178689,-31.73828125,396.484375,292.48046875,-3.90625,0.0
1734413267.182594,-16.11328125,316.40625,340.8203125,-12.6953125,0.0
1734413267.186499,-33.203125,-212.40234375,-172.8515625,-52.24609375,0.0
1734413267.190404,-53.7109375,-534.66796875,-505.37109375,-55.6640625,0.0
1734413267.194309,-50.78125,-19.53125,-121.09375,-17.578125,0.0
1734413267.198214,-9.765625,551.7578125,343.75,2.44140625,0.0
1734413267.202119,2.44140625,360.3515625,288.57421875,-5.37109375,0.0
1734413267.2060242,-23.92578125,-24.4140625,-140.13671875,-35.15625,0.0
1734413267.2099373,-51.26953125,56.15234375,-356.4453125,-62.98828125,0.0
1734413267.2138424,-61.5234375,244.62890625,-169.43359375,-27.83203125,0.0
1734413267.2177474,-29.78515625,117.1875,180.6640625,8.7890625,0.0
1734413267.2216525,-12.6953125,123.53515625,377.9296875,-4.8828125,0.0
1734413267.2255576,-32.71484375,188.4765625,-28.3203125,-34.1796875,0.0
1734413267.2294626,-49.31640625,-137.20703125,-445.80078125,-59.08203125,0.0
1734413267.2333677,-45.8984375,-669.43359375,-559.08203125,-37.59765625,0.0
1734413267.2372727,-17.08984375,-779.78515625,-284.1796875,6.34765625,0.0
1734413267.2411778,-8.30078125,375.48828125,388.18359375,-12.6953125,0.0
1734413267.2450829,-20.01953125,508.7890625,198.73046875,-57.12890625,0.0
1734413267.248988,-40.0390625,-347.16796875,-442.87109375,-63.96484375,0.0
1734413267.252893,-57.12890625,-102.05078125,-304.6875,-48.33984375,0.0
1734413267.2568138,-38.57421875,473.14453125,231.93359375,-19.04296875,0.0
1734413267.2607188,-6.8359375,500.48828125,394.53125,-12.6953125,0.0
1734413267.2646239,-15.13671875,171.875,176.26953125,-41.015625,0.0
1734413267.268529,-45.8984375,65.4296875,-223.6328125,-72.75390625,0.0
1734413267.272434,-56.15234375,156.73828125,-311.5234375,-54.19921875,0.0
1734413267.276339,-33.203125,-72.75390625,-98.6328125,-9.27734375,0.0
1734413267.280244,-3.90625,-493.1640625,80.56640625,1.953125,0.0
1734413267.2841492,-12.6953125,73.2421875,215.33203125,-55.6640625,0.0
1734413267.2880542,-34.1796875,324.70703125,-122.0703125,-78.61328125,0.0
1734413267.2919593,-46.875,-65.4296875,-383.7890625,-30.76171875,0.0
1734413267.2958643,-44.43359375,99.12109375,-5.859375,-7.32421875,0.0
1734413267.2997694,-23.4375,571.77734375,399.90234375,-12.20703125,0.0
1734413267.3036892,-18.5546875,546.38671875,288.57421875,-31.73828125,0.0
1734413267.3075943,-35.64453125,-54.19921875,-280.76171875,-64.453125,0.0
1734413267.3114994,-58.10546875,-211.42578125,-423.33984375,-62.98828125,0.0
1734413267.3154042,-60.05859375,230.46875,4.39453125,-35.64453125,0.0
1734413267.3193092,-23.92578125,479.98046875,361.81640625,-22.4609375,0.0
1734413267.3232143,-5.859375,-32.2265625,107.91015625,-28.3203125,0.0
1734413267.3271194,-30.76171875,-432.6171875,-390.13671875,-62.01171875,0.0
1734413267.3310244,-42.96875,-375.0,-454.1015625,-64.453125,0.0
1734413267.3349295,-41.50390625,-47.8515625,-117.1875,-28.3203125,0.0
1734413267.3388345,-15.13671875,-198.73046875,69.3359375,-2.9296875,0.0
1734413267.3427396,0.0,-151.85546875,254.8828125,-20.01953125,0.0
1734413267.3466446,-25.390625,314.94140625,50.29296875,-62.5,0.0
1734413267.350572,-52.24609375,8.30078125,-405.2734375,-64.94140625,0.0
1734413267.3544772,-53.7109375,-345.703125,-253.90625,-28.3203125,0.0
1734413267.3583822,-27.83203125,271.97265625,273.92578125,-15.13671875,0.0
1734413267.3622873,-11.23046875,668.9453125,435.546875,-24.4140625,0.0
1734413267.3661923,-22.94921875,212.40234375,-6.34765625,-54.6875,0.0
1734413267.3700974,-49.31640625,-381.34765625,-466.30859375,-56.640625,0.0
1734413267.3740025,-58.10546875,-370.1171875,-314.94140625,-20.99609375,0.0
1734413267.3779075,-33.69140625,340.8203125,272.4609375,-16.11328125,0.0
1734413267.3818123,-12.6953125,352.05078125,317.87109375,-22.4609375,0.0
1734413267.3857174,-21.97265625,-616.2109375,-352.05078125,-27.83203125,0.0
1734413267.3896224,-55.6640625,-284.1796875,-449.70703125,-52.734375,0.0
1734413267.3935275,-57.6171875,197.265625,-193.359375,-39.0625,0.0
1734413267.397445,-33.203125,150.87890625,150.87890625,4.39453125,0.0
1734413267.40135,-14.6484375,373.53515625,388.18359375,-7.32421875,0.0
1734413267.405255,-18.06640625,397.94921875,161.1328125,-45.8984375,0.0
1734413267.4091601,-40.0390625,131.34765625,-269.53125,-47.36328125,0.0
