timestamps,TP9,AF7,AF8,TP10,Right AUX
1734413056.2330956,-15.13671875,77.63671875,52.734375,-20.99609375,0.0
1734413056.2369905,-27.83203125,435.05859375,388.671875,-27.34375,0.0
1734413056.2408855,-38.57421875,307.6171875,229.00390625,-26.3671875,0.0
1734413056.2447803,-19.53125,-171.875,48.33984375,-4.8828125,0.0
1734413056.2486753,-3.90625,-358.88671875,33.203125,11.71875,0.0
1734413056.2525702,0.9765625,-187.5,97.65625,0.0,0.0
1734413056.256465,16.6015625,80.078125,341.30859375,-15.13671875,0.0
1734413056.26036,18.5546875,-296.38671875,168.45703125,-4.39453125,0.0
1734413056.2642548,-12.20703125,-170.8984375,141.6015625,-21.97265625,0.0
1734413056.2681499,0.9765625,385.25390625,277.34375,-32.71484375,0.0
1734413056.2720447,22.4609375,156.25,161.62109375,2.44140625,0.0
1734413056.2760754,0.48828125,178.7109375,331.0546875,21.484375,0.0
1734413056.2799702,2.9296875,507.8125,415.52734375,-16.6015625,0.0
1734413056.2838652,1.46484375,450.68359375,297.8515625,-38.0859375,0.0
1734413056.28776,6.34765625,57.12890625,116.69921875,-12.20703125,0.0
1734413056.291655,18.06640625,-8.7890625,107.91015625,-1.46484375,0.0
1734413056.2955499,19.04296875,163.57421875,345.21484375,0.0,0.0
1734413056.299445,6.8359375,207.03125,395.5078125,-8.30078125,0.0
1734413056.3033397,14.6484375,-314.94140625,65.4296875,0.0,0.0
1734413056.3072348,22.4609375,-553.22265625,-22.4609375,11.71875,0.0
1734413056.3111296,31.73828125,250.0,279.78515625,-3.41796875,0.0
1734413056.3150246,42.96875,542.96875,389.6484375,-3.41796875,0.0
1734413056.3189194,27.34375,140.625,364.2578125,-10.7421875,0.0
1734413056.3229382,2.9296875,85.44921875,291.015625,-16.6015625,0.0
1734413056.3268332,13.18359375,416.015625,280.76171875,-13.671875,0.0
1734413056.330728,28.80859375,272.4609375,188.4765625,-4.8828125,0.0
1734413056.334623,34.1796875,226.07421875,302.24609375,-3.90625,0.0
1734413056.338518,30.2734375,455.56640625,437.01171875,-23.4375,0.0
1734413056.342413,0.0,228.02734375,290.0390625,14.6484375,0.0
1734413056.346308,4.8828125,-113.28125,156.25,6.34765625,0.0
1734413056.3502028,27.34375,-560.05859375,-104.98046875,-11.23046875,0.0
1734413056.3540978,19.04296875,-189.94140625,151.3671875,-11.71875,0.0
1734413056.3579926,8.7890625,627.44140625,498.53515625,-17.08984375,0.0
1734413056.3618877,-11.23046875,291.50390625,240.234375,-22.4609375,0.0
1734413056.3657825,-9.27734375,-152.34375,123.046875,-23.92578125,0.0
1734413056.3697927,8.7890625,111.81640625,204.1015625,-10.25390625,0.0
1734413056.3736875,20.99609375,409.1796875,292.96875,-22.4609375,0.0
1734413056.3775826,33.203125,250.9765625,329.58984375,-21.484375,0.0
1734413056.3814776,0.9765625,155.76171875,252.9296875,-8.30078125,0.0
1734413056.3853724,-17.08984375,227.05078125,188.4765625,-37.109375,0.0
1734413056.3892674,7.8125,-7.8125,110.3515625,-33.69140625,0.0
1734413056.3931625,-5.37109375,-425.78125,-14.16015625,-20.01953125,0.0
1734413056.3970575,-18.06640625,-578.125,98.6328125,-30.76171875,0.0
1734413056.4009523,-24.4140625,140.13671875,333.0078125,-41.9921875,0.0
1734413056.4048474,-38.0859375,338.37890625,217.28515625,-56.640625,0.0
1734413056.4087424,-8.7890625,4.8828125,71.77734375,-38.57421875,0.0
1734413056.4126372,22.4609375,110.83984375,142.08984375,-32.2265625,0.0
1734413056.4166305,-0.9765625,451.66015625,381.34765625,-59.08203125,0.0
1734413056.4205253,-37.109375,354.4921875,287.59765625,-71.77734375,0.0
1734413056.4244204,-45.8984375,-161.62109375,-4.8828125,-61.5234375,0.0
1734413056.4283154,-51.7578125,-150.87890625,18.06640625,-35.15625,0.0
1734413056.4322104,-46.38671875,165.0390625,132.32421875,-30.2734375,0.0
1734413056.4361053,-40.0390625,69.82421875,257.8125,-31.73828125,0.0
1734413056.4400003,-41.50390625,-532.71484375,27.83203125,-39.0625,0.0
1734413056.4438953,-53.7109375,-369.140625,-7.8125,-76.171875,0.0
1734413056.4477904,-60.546875,166.50390625,155.76171875,-65.4296875,0.0
1734413056.4516852,-29.296875,-62.5,-66.40625,-37.109375,0.0
1734413056.4555802,-35.15625,-47.36328125,100.09765625,-20.5078125,0.0
1734413056.4594753,-51.26953125,238.76953125,276.3671875,-58.59375,0.0
1734413056.4634602,-59.5703125,204.58984375,163.57421875,-68.359375,0.0
1734413056.4673553,-60.546875,-171.38671875,-99.12109375,-33.203125,0.0
1734413056.4712503,-49.8046875,-284.1796875,-294.43359375,-39.0625,0.0
1734413056.475145,-45.8984375,172.36328125,152.83203125,-52.734375,0.0
1734413056.4790401,-46.875,261.23046875,308.59375,-65.91796875,0.0
1734413056.4829352,-66.89453125,-449.70703125,-178.22265625,-57.6171875,0.0
1734413056.4868302,-67.87109375,-843.75,-414.55078125,-50.78125,0.0
1734413056.4907253,-43.9453125,-522.4609375,-367.67578125,-49.31640625,0.0
1734413056.49462,-41.50390625,-269.53125,-93.75,-46.875,0.0
1734413056.4985151,-62.98828125,-410.15625,101.5625,-57.6171875,0.0
1734413056.5024102,-74.70703125,-360.3515625,5.859375,-63.96484375,0.0
1734413056.5063052,-63.96484375,48.828125,69.3359375,-63.96484375,0.0
1734413056.5103724,-50.78125,-62.98828125,-200.68359375,-39.0625,0.0
1734413056.5142674,-43.9453125,-118.65234375,-160.15625,-38.0859375,0.0
1734413056.5181625,-50.78125,114.74609375,225.09765625,-52.24609375,0.0
1734413056.5220575,-60.05859375,207.51953125,186.03515625,-51.26953125,0.0
1734413056.5259526,-62.98828125,-21.484375,3.90625,-47.8515625,0.0
1734413056.5298476,-58.59375,-530.76171875,-301.26953125,-48.33984375,0.0
1734413056.5337424,-46.875,-395.99609375,-211.42578125,-64.94140625,0.0
1734413056.5376375,-56.15234375,207.51953125,270.01953125,-62.01171875,0.0
1734413056.5415325,-57.6171875,-5.37109375,86.9140625,-61.5234375,0.0
1734413056.5454276,-53.22265625,-644.04296875,-315.91796875,-64.453125,0.0
1734413056.5493226,-66.89453125,-423.828125,-326.66015625,-59.5703125,0.0
1734413056.5532176,-73.2421875,94.23828125,-136.23046875,-69.3359375,0.0
1734413056.5572703,-65.91796875,1.953125,124.0234375,-60.05859375,0.0
1734413056.5611653,-65.91796875,-129.39453125,106.4453125,-61.03515625,0.0
1734413056.5650604,-55.6640625,18.06640625,79.1015625,-70.80078125,0.0
1734413056.5689554,-52.734375,-18.06640625,-79.58984375,-63.96484375,0.0
1734413056.5728505,-30.2734375,-266.6015625,-307.6171875,-41.9921875,0.0
1734413056.5767455,-17.08984375,-404.78515625,-62.01171875,-43.9453125,0.0
1734413056.5806406,-33.203125,-294.921875,109.375,-64.453125,0.0
1734413056.5845356,-59.5703125,-302.24609375,-140.13671875,-65.91796875,0.0
1734413056.5884306,-42.48046875,-708.49609375,-468.75,-44.921875,0.0
1734413056.5923257,-11.71875,-750.48828125,-464.84375,-28.80859375,0.0
1734413056.5962207,-29.296875,78.61328125,175.78125,-42.48046875,0.0
1734413056.6001158,-31.73828125,247.55859375,264.16015625,-43.9453125,0.0
1734413056.604153,-40.52734375,-140.625,-104.00390625,-49.31640625,0.0
1734413056.608048,-56.640625,-272.4609375,-255.859375,-41.9921875,0.0
1734413056.611943,-20.99609375,-50.78125,-209.47265625,-23.92578125,0.0
1734413056.6158383,0.9765625,122.0703125,103.515625,-22.4609375,0.0
1734413056.6197333,-26.3671875,-22.94921875,224.12109375,-42.96875,0.0
1734413056.6236284,-45.41015625,-255.37109375,-16.11328125,-55.17578125,0.0
1734413056.6275234,-43.45703125,-338.8671875,-234.375,-47.8515625,0.0
1734413056.6314185,-18.5546875,-189.94140625,-279.78515625,-28.80859375,0.0
