timestamps,TP9,AF7,AF8,TP10,Right AUX
1734413051.6390023,-45.8984375,-264.6484375,-168.9453125,-62.01171875,0.0
1734413051.6428945,-43.9453125,-180.6640625,-275.390625,-22.4609375,0.0
1734413051.6467867,-18.5546875,142.578125,18.5546875,-29.78515625,0.0
1734413051.6506786,-1.46484375,126.46484375,238.28125,-60.05859375,0.0
1734413051.6545708,-22.94921875,-368.65234375,-141.6015625,-66.40625,0.0
1734413051.658463,-62.01171875,-382.32421875,-262.20703125,-63.96484375,0.0
1734413051.662355,-62.98828125,-70.3125,-182.6171875,-31.25,0.0
1734413051.6662471,-29.296875,-278.3203125,-245.60546875,-5.37109375,0.0
1734413051.6701393,-15.13671875,-463.8671875,-2.44140625,-34.66796875,0.0
1734413051.6740313,-37.109375,46.875,203.61328125,-80.56640625,0.0
1734413051.6779234,-52.734375,206.54296875,109.375,-65.4296875,0.0
1734413051.682008,-42.48046875,-273.4375,-144.04296875,-28.3203125,0.0
1734413051.6859002,-11.23046875,-255.859375,-105.46875,-20.99609375,0.0
1734413051.6897922,-8.7890625,240.72265625,274.4140625,-47.36328125,0.0
1734413051.6936843,-23.4375,291.9921875,246.09375,-68.359375,0.0
1734413051.6975765,-28.3203125,-181.15234375,-111.328125,-49.8046875,0.0
1734413051.7014687,-26.85546875,-589.84375,-362.79296875,-20.5078125,0.0
1734413051.705361,-24.90234375,-472.16796875,-301.26953125,-37.59765625,0.0
1734413051.709253,-25.390625,-135.25390625,137.6953125,-49.31640625,0.0
1734413051.713145,-12.20703125,-503.41796875,-47.8515625,-42.96875,0.0
1734413051.7170372,-20.01953125,-702.1484375,-362.79296875,-46.875,0.0
1734413051.7209294,-38.0859375,-44.43359375,-11.23046875,-30.76171875,0.0
1734413051.7248216,-20.01953125,-74.21875,-89.35546875,-16.11328125,0.0
1734413051.7288988,-0.48828125,-99.609375,125.48828125,-43.45703125,0.0
1734413051.732791,-0.9765625,203.125,284.1796875,-58.59375,0.0
1734413051.7366831,-31.25,256.8359375,174.8046875,-60.05859375,0.0
1734413051.7405753,-46.875,-87.40234375,-54.6875,-51.7578125,0.0
1734413051.7444675,-44.921875,-304.6875,-278.80859375,-33.69140625,0.0
1734413051.7483597,-28.80859375,-222.65625,20.01953125,-41.50390625,0.0
1734413051.7522519,-27.83203125,-47.8515625,260.7421875,-62.98828125,0.0
1734413051.756144,-62.98828125,-102.5390625,-49.8046875,-73.73046875,0.0
1734413051.7600362,-59.08203125,-763.18359375,-437.5,-51.7578125,0.0
1734413051.7639284,-65.91796875,-459.9609375,-282.2265625,-60.05859375,0.0
1734413051.7678206,-66.40625,218.75,131.34765625,-72.75390625,0.0
1734413051.7717128,-47.8515625,39.55078125,145.99609375,-84.9609375,0.0
1734413051.7757754,-72.75390625,-131.8359375,-7.8125,-111.328125,0.0
1734413051.7796676,-100.5859375,15.13671875,-12.20703125,-93.75,0.0
1734413051.7835598,-84.9609375,-240.72265625,-335.9375,-55.6640625,0.0
1734413051.7874522,-68.359375,-400.390625,-267.08984375,-55.6640625,0.0
1734413051.7913444,-66.89453125,-89.35546875,141.6015625,-71.2890625,0.0
1734413051.7952366,-75.68359375,-157.2265625,-56.640625,-99.12109375,0.0
1734413051.7991288,-78.61328125,-437.5,-331.54296875,-102.5390625,0.0
1734413051.803021,-59.08203125,-830.56640625,-532.2265625,-53.7109375,0.0
1734413051.8069131,-50.78125,-698.2421875,-332.51953125,-58.59375,0.0
1734413051.8108053,-65.91796875,122.55859375,249.51171875,-105.95703125,0.0
1734413051.8146975,-65.4296875,148.92578125,100.5859375,-119.140625,0.0
1734413051.81859,-96.6796875,-258.7890625,-239.74609375,-106.93359375,0.0
1734413051.822635,-104.98046875,-232.91015625,-333.0078125,-73.2421875,0.0
1734413051.826527,-82.51953125,115.234375,-83.984375,-85.44921875,0.0
1734413051.8304195,-84.9609375,102.5390625,159.66796875,-107.421875,0.0
1734413051.8343117,-89.35546875,-71.2890625,94.23828125,-99.12109375,0.0
1734413051.838204,-99.12109375,-113.76953125,-62.01171875,-99.609375,0.0
1734413051.842096,-103.515625,-386.71875,-332.51953125,-89.35546875,0.0
1734413051.8459885,-92.7734375,-484.86328125,-393.5546875,-75.1953125,0.0
1734413051.8498807,-95.21484375,-680.6640625,-231.93359375,-83.0078125,0.0
1734413051.8537729,-110.3515625,-273.92578125,59.5703125,-126.953125,0.0
1734413051.857665,-108.88671875,138.18359375,44.921875,-146.484375,0.0
1734413051.8615575,-106.93359375,-301.26953125,-301.26953125,-103.02734375,0.0
1734413051.8654497,-116.69921875,-304.6875,-334.47265625,-112.79296875,0.0
1734413051.8695834,-141.6015625,168.45703125,151.3671875,-157.71484375,0.0
1734413051.8734758,-134.765625,250.9765625,222.65625,-157.71484375,0.0
1734413051.877368,-134.765625,-181.640625,-151.85546875,-151.3671875,0.0
1734413051.8812604,-134.27734375,-344.7265625,-301.26953125,-150.87890625,0.0
1734413051.8851526,-123.53515625,-83.49609375,-295.8984375,-130.37109375,0.0
1734413051.889045,-122.55859375,-37.109375,41.015625,-125.0,0.0
1734413051.8929372,-93.26171875,-547.8515625,-72.265625,-126.953125,0.0
1734413051.8968296,-117.1875,-756.8359375,-392.578125,-135.25390625,0.0
1734413051.9007218,-140.625,-173.33984375,-166.9921875,-127.44140625,0.0
1734413051.9046142,-108.88671875,-222.16796875,-306.640625,-89.84375,0.0
1734413051.9085064,-89.35546875,-147.94921875,20.01953125,-120.60546875,0.0
1734413051.9123988,-81.54296875,196.2890625,312.01171875,-147.4609375,0.0
1734413051.9164155,-88.37890625,285.15625,173.33984375,-139.6484375,0.0
1734413051.9203079,-91.30859375,6.34765625,34.66796875,-123.53515625,0.0
1734413051.9242,-101.07421875,-178.7109375,-81.0546875,-100.5859375,0.0
1734413051.9280925,-93.26171875,224.609375,244.62890625,-116.2109375,0.0
1734413051.931985,-78.61328125,461.9140625,392.08984375,-134.765625,0.0
1734413051.935877,-85.44921875,4.8828125,141.6015625,-151.3671875,0.0
1734413051.9397695,-93.26171875,-340.33203125,60.05859375,-135.25390625,0.0
1734413051.9436617,-77.1484375,68.84765625,223.14453125,-106.4453125,0.0
1734413051.947554,-51.26953125,530.2734375,400.87890625,-139.16015625,0.0
1734413051.9514463,-33.69140625,334.9609375,351.07421875,-156.73828125,0.0
1734413051.9553387,-44.921875,-266.6015625,229.4921875,-143.5546875,0.0
1734413051.9592311,-80.56640625,65.4296875,320.80078125,-145.5078125,0.0
1734413051.963233,-62.01171875,219.23828125,276.85546875,-112.3046875,0.0
1734413051.9671254,-31.73828125,89.84375,333.49609375,-99.609375,0.0
1734413051.9710176,-32.71484375,521.97265625,531.73828125,-127.9296875,0.0
1734413051.97491,-27.34375,860.83984375,550.78125,-149.90234375,0.0
1734413051.9788024,-10.7421875,752.44140625,487.79296875,-114.74609375,0.0
1734413051.9826946,22.94921875,379.8828125,474.609375,-75.1953125,0.0
1734413051.986587,46.875,381.34765625,545.41015625,-87.40234375,0.0
1734413051.9904795,30.76171875,740.234375,640.625,-108.88671875,0.0
1734413051.9943717,-14.6484375,956.0546875,607.91015625,-100.5859375,0.0
1734413051.998264,-43.45703125,266.6015625,397.4609375,-69.3359375,0.0
1734413052.0021565,-59.08203125,55.6640625,381.8359375,-86.9140625,0.0
1734413052.0060487,-58.10546875,823.2421875,553.7109375,-105.95703125,0.0
1734413052.0101423,-65.4296875,886.23046875,595.21484375,-136.23046875,0.0
1734413052.0140347,-72.265625,675.29296875,532.2265625,-164.55078125,0.0
1734413052.0179272,-80.56640625,686.03515625,478.02734375,-153.80859375,0.0
1734413052.0218196,-96.6796875,479.00390625,399.90234375,-138.671875,0.0
1734413052.025712,-114.74609375,272.4609375,398.4375,-155.76171875,0.0
1734413052.0296042,-113.76953125,257.8125,503.41796875,-174.31640625,0.0
1734413052.0334966,-125.0,433.10546875,498.046875,-223.14453125,0.0
1734413052.037389,-134.765625,730.95703125,478.515625,-267.578125,0.0
1734413052.0412815,-124.0234375,369.62890625,354.4921875,-203.61328125,0.0
1734413052.045174,-111.328125,-44.43359375,303.22265625,-166.9921875,0.0
1734413052.0490663,-99.609375,554.19921875,547.36328125,-200.68359375,0.0
1734413052.0529585,-104.98046875,923.33984375,552.734375,-220.703125,0.0
1734413052.0570414,-125.48828125,463.8671875,321.77734375,-207.51953125,0.0
1734413052.0609338,-126.46484375,235.83984375,280.76171875,-182.12890625,0.0
1734413052.0648263,-106.93359375,523.92578125,380.859375,-166.015625,0.0
1734413052.0687187,-73.2421875,699.21875,480.46875,-164.55078125,0.0
1734413052.072611,-68.359375,473.6328125,449.70703125,-181.640625,0.0
1734413052.0765035,-117.67578125,47.8515625,261.71875,-184.5703125,0.0
1734413052.080396,-124.51171875,-69.3359375,186.5234375,-165.52734375,0.0
1734413052.0842884,-97.65625,75.1953125,218.75,-158.69140625,0.0
1734413052.0881808,-85.44921875,-279.296875,198.73046875,-160.15625,0.0
1734413052.0920732,-93.26171875,-234.86328125,302.734375,-162.109375,0.0
1734413052.0959656,-106.93359375,530.76171875,388.671875,-190.91796875,0.0
1734413052.099858,-87.890625,389.6484375,206.54296875,-181.640625,0.0
1734413052.1039338,-89.35546875,167.48046875,171.38671875,-155.76171875,0.0
1734413052.1078262,-92.7734375,454.58984375,361.81640625,-146.484375,0.0
1734413052.1117187,-89.35546875,747.0703125,466.30859375,-168.9453125,0.0
1734413052.115611,-87.890625,468.26171875,270.5078125,-202.63671875,0.0
1734413052.1195037,-98.6328125,38.57421875,131.34765625,-194.82421875,0.0
1734413052.1233962,-89.35546875,-85.9375,108.88671875,-143.06640625,0.0
1734413052.1272886,-50.29296875,74.21875,246.58203125,-115.234375,0.0
1734413052.131181,-58.10546875,256.34765625,382.8125,-151.85546875,0.0
1734413052.1350734,-67.3828125,-243.1640625,78.125,-166.50390625,0.0
1734413052.1389658,-71.2890625,-200.68359375,56.15234375,-153.80859375,0.0
1734413052.1428583,-74.21875,97.65625,151.85546875,-135.7421875,0.0
1734413052.146751,-57.6171875,82.51953125,151.3671875,-130.859375,0.0
1734413052.150806,-68.359375,238.76953125,302.734375,-151.3671875,0.0
1734413052.1546984,-98.14453125,463.8671875,322.265625,-153.80859375,0.0
1734413052.158591,-107.421875,294.921875,192.87109375,-144.04296875,0.0
1734413052.1624835,-102.5390625,-50.29296875,-9.765625,-140.625,0.0
1734413052.1663759,-100.09765625,6.34765625,18.06640625,-130.37109375,0.0
1734413052.1702685,-107.421875,107.91015625,277.34375,-138.671875,0.0
