timestamps,TP9,AF7,AF8,TP10,Right AUX
1734413410.847596,-54.6875,-161.62109375,-406.73828125,-56.15234375,0.0
1734413410.8514884,-77.1484375,-205.56640625,-530.76171875,-67.3828125,0.0
1734413410.855381,-49.8046875,279.296875,70.3125,-21.484375,0.0
1734413410.8592737,-16.11328125,583.0078125,495.60546875,18.5546875,0.0
1734413410.863166,-8.7890625,209.9609375,291.015625,-18.06640625,0.0
1734413410.8670588,-28.3203125,-374.0234375,-437.01171875,-66.40625,0.0
1734413410.8709514,-76.171875,-391.11328125,-596.6796875,-59.5703125,0.0
1734413410.8748438,-78.125,-194.3359375,-126.46484375,-30.2734375,0.0
1734413410.8787365,-36.62109375,-389.6484375,243.65234375,0.9765625,0.0
1734413410.8826292,-25.390625,301.7578125,429.19921875,-14.6484375,0.0
1734413410.8865216,-50.29296875,378.90625,-116.2109375,-56.15234375,0.0
1734413410.890585,-64.94140625,-289.0625,-629.39453125,-70.80078125,0.0
1734413410.8944776,-55.6640625,-124.0234375,-164.55078125,-43.45703125,0.0
1734413410.8983703,-39.55078125,578.61328125,471.19140625,-3.90625,0.0
1734413410.902263,-8.30078125,775.390625,479.4921875,7.8125,0.0
1734413410.9061556,-19.04296875,84.9609375,-218.26171875,-35.15625,0.0
1734413410.9100482,-57.6171875,-613.76953125,-723.14453125,-51.26953125,0.0
1734413410.9139407,-63.4765625,-392.08984375,-293.9453125,-17.578125,0.0
1734413410.9178333,-35.64453125,464.35546875,404.78515625,5.859375,0.0
1734413410.921726,-3.90625,176.26953125,349.12109375,14.16015625,0.0
1734413410.9256186,-13.18359375,-335.44921875,-217.7734375,-27.83203125,0.0
1734413410.9295113,-39.55078125,-68.359375,-545.41015625,-74.21875,0.0
1734413410.9334037,-51.26953125,-62.98828125,-348.6328125,-49.31640625,0.0
1734413410.93745,-31.73828125,-9.765625,197.265625,4.39453125,0.0
1734413410.9413426,-5.37109375,490.72265625,487.79296875,1.46484375,0.0
1734413410.9452353,-13.671875,519.04296875,85.44921875,-43.45703125,0.0
1734413410.949128,-53.22265625,-86.9140625,-578.61328125,-75.1953125,0.0
1734413410.9530206,-73.73046875,-433.10546875,-481.4453125,-52.734375,0.0
1734413410.9569132,-47.8515625,-35.64453125,217.7734375,-11.23046875,0.0
1734413410.960806,-19.53125,378.90625,463.8671875,-12.20703125,0.0
1734413410.9646986,-28.80859375,-31.73828125,-41.015625,-47.36328125,0.0
1734413410.9685912,-65.91796875,-638.671875,-617.1875,-85.44921875,0.0
1734413410.9724836,-87.890625,-244.62890625,-402.83203125,-75.1953125,0.0
1734413410.9763763,-68.84765625,434.08203125,247.0703125,-19.53125,0.0
1734413410.980269,-29.78515625,502.9296875,448.73046875,4.8828125,0.0
1734413410.984308,-30.76171875,145.5078125,178.7109375,-36.1328125,0.0
1734413410.9882007,-58.59375,29.296875,-419.921875,-84.9609375,0.0
1734413410.9920933,-75.1953125,-72.265625,-518.5546875,-72.75390625,0.0
1734413410.995986,-56.640625,-39.0625,31.73828125,-10.7421875,0.0
1734413410.9998786,-20.99609375,429.19921875,452.1484375,10.7421875,0.0
1734413411.0037713,-19.53125,292.96875,190.91796875,-18.5546875,0.0
1734413411.007664,-50.78125,-286.1328125,-502.44140625,-51.7578125,0.0
1734413411.0115566,-70.3125,-745.1171875,-760.25390625,-62.5,0.0
1734413411.0154495,-65.91796875,-436.5234375,-123.53515625,-35.15625,0.0
1734413411.0193422,-27.83203125,670.8984375,523.4375,-11.23046875,0.0
1734413411.0232348,-12.6953125,666.50390625,307.12890625,-3.90625,0.0
1734413411.0271275,-41.50390625,-86.42578125,-394.04296875,-42.96875,0.0
1734413411.0311496,-66.40625,-157.71484375,-552.24609375,-69.82421875,0.0
1734413411.0350423,-49.31640625,277.34375,2.9296875,-18.5546875,0.0
1734413411.038935,-11.71875,600.5859375,467.28515625,34.66796875,0.0
1734413411.0428276,-1.46484375,450.68359375,378.90625,3.41796875,0.0
1734413411.0467205,-32.2265625,38.0859375,-280.76171875,-55.6640625,0.0
1734413411.0506132,-62.01171875,-377.9296875,-654.296875,-52.734375,0.0
1734413411.0545058,-49.8046875,-377.9296875,-249.0234375,-1.953125,0.0
1734413411.0583985,-18.06640625,-466.796875,184.5703125,27.34375,0.0
1734413411.0622911,-11.71875,131.34765625,399.4140625,-5.859375,0.0
1734413411.0661838,-35.15625,413.57421875,-69.3359375,-53.22265625,0.0
1734413411.0700767,-57.6171875,-199.21875,-616.2109375,-69.82421875,0.0
1734413411.0739694,-65.91796875,-98.14453125,-190.4296875,-31.73828125,0.0
1734413411.078088,-42.48046875,617.67578125,461.42578125,12.6953125,0.0
1734413411.0819807,-14.6484375,791.50390625,462.890625,0.0,0.0
1734413411.0858734,-22.4609375,145.5078125,-162.59765625,-32.2265625,0.0
1734413411.0897663,-57.6171875,-258.7890625,-619.62890625,-53.22265625,0.0
1734413411.093659,-60.05859375,-24.90234375,-269.53125,-31.73828125,0.0
1734413411.0975518,-24.4140625,266.6015625,325.1953125,12.20703125,0.0
1734413411.1014445,-7.32421875,2.9296875,314.94140625,18.5546875,0.0
1734413411.1053371,-20.5078125,-346.6796875,-240.234375,-31.73828125,0.0
1734413411.10923,-62.01171875,-61.03515625,-554.19921875,-78.61328125,0.0
1734413411.1131227,-75.68359375,-10.25390625,-336.9140625,-59.08203125,0.0
1734413411.1170156,-39.55078125,75.68359375,206.54296875,1.953125,0.0
1734413411.1209083,-9.765625,593.26171875,484.375,1.953125,0.0
1734413411.1249013,-21.484375,588.37890625,133.30078125,-29.78515625,0.0
1734413411.1287942,-57.6171875,-44.921875,-547.36328125,-61.5234375,0.0
1734413411.1326869,-74.70703125,-374.51171875,-445.3125,-48.828125,0.0
1734413411.1365798,-46.38671875,346.19140625,315.4296875,5.859375,0.0
1734413411.1404724,-19.53125,800.29296875,512.6953125,-0.9765625,0.0
1734413411.1443653,-18.06640625,152.83203125,5.859375,-37.59765625,0.0
1734413411.148258,-35.64453125,-532.71484375,-634.765625,-61.5234375,0.0
1734413411.1521509,-41.50390625,-576.66015625,-531.25,-54.19921875,0.0
1734413411.1560435,-22.4609375,275.87890625,264.6484375,-12.20703125,0.0
1734413411.1599364,3.41796875,571.77734375,465.33203125,19.53125,0.0
1734413411.163829,9.27734375,-371.09375,-102.05078125,0.0,0.0
1734413411.1677217,-22.4609375,-337.40234375,-528.3203125,-55.6640625,0.0
1734413411.1718154,-55.6640625,-17.578125,-479.00390625,-48.828125,0.0
1734413411.1757083,-42.48046875,45.8984375,35.64453125,8.7890625,0.0
1734413411.179601,-14.16015625,553.22265625,483.3984375,30.2734375,0.0
1734413411.1834939,-20.5078125,720.703125,324.21875,0.48828125,0.0
1734413411.1873868,-45.8984375,258.7890625,-364.74609375,-55.17578125,0.0
1734413411.1912794,-64.453125,-506.8359375,-683.10546875,-59.5703125,0.0
1734413411.1951723,-62.98828125,-347.65625,-110.83984375,-11.23046875,0.0
1734413411.1990652,-30.76171875,697.265625,520.99609375,6.34765625,0.0
1734413411.2029579,1.46484375,784.66796875,387.6953125,-14.6484375,0.0
1734413411.2068508,-29.78515625,-206.54296875,-514.16015625,-39.55078125,0.0
1734413411.2107434,-71.2890625,-406.73828125,-683.10546875,-51.7578125,0.0
1734413411.2146363,-59.5703125,268.06640625,-11.23046875,-24.90234375,0.0
1734413411.218717,-36.62109375,639.16015625,423.828125,-5.859375,0.0
1734413411.22261,-36.62109375,480.46875,358.88671875,-17.08984375,0.0
1734413411.226503,-49.8046875,239.2578125,-131.8359375,-58.10546875,0.0
1734413411.2303956,-68.84765625,20.5078125,-561.03515625,-81.0546875,0.0
1734413411.2342885,-75.68359375,-13.671875,-231.4453125,-50.29296875,0.0
1734413411.2381814,-46.875,154.78515625,349.12109375,-13.18359375,0.0
1734413411.2420743,-28.3203125,257.32421875,397.94921875,-23.4375,0.0
1734413411.2459671,-38.57421875,13.18359375,-142.08984375,-55.6640625,0.0
1734413411.2498598,-58.10546875,-451.66015625,-686.03515625,-66.89453125,0.0
1734413411.2537527,-74.21875,-772.94921875,-492.67578125,-41.015625,0.0
1734413411.2576456,-51.7578125,247.55859375,332.51953125,-5.37109375,0.0
1734413411.2615385,-17.08984375,924.8046875,518.5546875,-1.46484375,0.0
1734413411.2657082,-33.69140625,291.015625,-96.6796875,-51.26953125,0.0
1734413411.269601,-70.3125,-131.8359375,-583.0078125,-82.03125,0.0
1734413411.273494,-83.49609375,105.95703125,-288.0859375,-54.6875,0.0
1734413411.277387,-64.453125,592.28515625,343.75,-23.4375,0.0
1734413411.2812798,-31.25,547.8515625,455.078125,-20.01953125,0.0
1734413411.2851727,-25.390625,-12.20703125,-49.31640625,-42.48046875,0.0
1734413411.2890656,-67.3828125,-241.2109375,-554.19921875,-86.42578125,0.0
1734413411.2929585,-73.73046875,-65.4296875,-400.87890625,-70.80078125,0.0
1734413411.2968514,-34.1796875,-112.3046875,95.21484375,-1.953125,0.0
1734413411.3007443,-20.01953125,339.35546875,459.47265625,5.859375,0.0
1734413411.3046372,-23.92578125,693.84765625,244.140625,-28.80859375,0.0
1734413411.30853,-53.22265625,83.0078125,-487.79296875,-64.94140625,0.0
1734413411.3125782,-75.1953125,-642.578125,-624.51171875,-52.734375,0.0
1734413411.316471,-59.08203125,122.0703125,210.44921875,-20.5078125,0.0
1734413411.320364,-25.390625,966.796875,576.171875,-1.953125,0.0
1734413411.324257,-20.01953125,606.4453125,204.58984375,-25.390625,0.0
1734413411.3281498,-41.015625,-162.109375,-480.95703125,-60.05859375,0.0
1734413411.332043,-58.59375,-478.02734375,-600.5859375,-40.0390625,0.0
1734413411.3359358,-63.4765625,-50.78125,22.94921875,0.0,0.0
1734413411.3398287,-28.3203125,384.27734375,460.44921875,20.99609375,0.0
1734413411.3437216,-15.13671875,476.07421875,315.4296875,-19.04296875,0.0
1734413411.3476145,-46.875,293.9453125,-339.35546875,-57.6171875,0.0
1734413411.3515074,-67.87109375,9.765625,-583.984375,-57.12890625,0.0
1734413411.3554006,-63.4765625,-42.96875,-106.4453125,-24.90234375,0.0
1734413411.3594353,-39.0625,381.8359375,439.453125,6.34765625,0.0
1734413411.3633285,-20.99609375,713.37890625,403.80859375,-13.18359375,0.0
1734413411.3672214,-37.59765625,363.28125,-272.94921875,-41.50390625,0.0
1734413411.3711143,-67.3828125,-413.57421875,-702.63671875,-54.6875,0.0
1734413411.3750074,-69.82421875,-377.44140625,-190.91796875,-35.15625,0.0
1734413411.3789003,-43.45703125,361.81640625,444.3359375,-14.16015625,0.0
1734413411.3827932,-20.01953125,416.50390625,346.19140625,-8.7890625,0.0
1734413411.3866863,-24.4140625,-322.75390625,-493.1640625,-37.59765625,0.0
1734413411.3905792,-60.05859375,-680.17578125,-728.02734375,-66.40625,0.0
1734413411.3944721,-57.12890625,188.96484375,-60.546875,-32.71484375,0.0
1734413411.398365,-26.85546875,775.390625,425.29296875,20.99609375,0.0
1734413411.4022582,-22.94921875,574.70703125,369.140625,7.8125,0.0
1734413411.4062834,-29.296875,361.81640625,-70.80078125,-50.29296875,0.0
1734413411.4101763,-60.05859375,81.0546875,-562.98828125,-71.2890625,0.0
1734413411.4140692,-79.1015625,-166.50390625,-333.984375,-25.87890625,0.0
1734413411.4179623,-49.8046875,324.70703125,356.93359375,7.32421875,0.0
1734413411.4218552,-19.04296875,722.65625,473.6328125,-11.23046875,0.0
1734413411.4257483,-23.92578125,169.921875,-129.8828125,-43.9453125,0.0
1734413411.4296412,-49.31640625,-491.2109375,-705.56640625,-66.89453125,0.0
1734413411.4335341,-62.5,-847.16796875,-600.09765625,-65.4296875,0.0
1734413411.4374273,-57.12890625,174.31640625,270.5078125,-32.2265625,0.0
1734413411.4413202,-21.97265625,949.70703125,550.29296875,-14.16015625,0.0
1734413411.4452133,-15.13671875,398.4375,-16.6015625,-46.38671875,0.0
1734413411.4491062,-49.31640625,-123.046875,-582.51953125,-70.3125,0.0
1734413411.4531138,-61.5234375,24.4140625,-359.375,-60.05859375,0.0
1734413411.457007,-31.25,575.1953125,332.51953125,-8.7890625,0.0
1734413411.4608998,3.41796875,664.0625,465.8203125,23.4375,0.0
1734413411.464793,-22.94921875,442.3828125,152.83203125,-35.15625,0.0
1734413411.4686859,-59.5703125,154.296875,-430.6640625,-82.51953125,0.0
1734413411.472579,-57.12890625,-172.8515625,-533.69140625,-56.640625,0.0
1734413411.476472,-38.57421875,-285.64453125,13.671875,-5.859375,0.0
1734413411.480365,-15.625,17.578125,447.75390625,2.9296875,0.0
1734413411.484258,-26.85546875,585.44921875,298.33984375,-25.390625,0.0
1734413411.488151,-52.734375,223.6328125,-434.5703125,-52.734375,0.0
1734413411.492044,-63.4765625,-320.3125,-553.7109375,-54.19921875,0.0
1734413411.495937,-47.36328125,244.140625,185.05859375,-3.41796875,0.0
1734413411.4999309,-13.671875,902.83203125,547.36328125,35.15625,0.0
1734413411.5038238,-13.671875,669.921875,296.38671875,-1.46484375,0.0
1734413411.507717,-42.48046875,-74.21875,-412.59765625,-55.6640625,0.0
1734413411.51161,-75.1953125,-123.046875,-527.34375,-55.6640625,0.0
1734413411.515503,-56.15234375,277.83203125,63.4765625,-13.671875,0.0
1734413411.519396,-11.23046875,341.796875,432.6171875,16.6015625,0.0
1734413411.523289,-9.765625,83.49609375,283.203125,-5.37109375,0.0
1734413411.527182,-36.62109375,-74.21875,-352.05078125,-52.24609375,0.0
1734413411.531075,-56.15234375,-122.0703125,-619.62890625,-63.4765625,0.0
1734413411.5349681,-40.52734375,-163.57421875,-163.0859375,-14.6484375,0.0
1734413411.5388613,-13.671875,5.859375,353.515625,13.18359375,0.0
1734413411.5427542,-3.90625,568.359375,446.77734375,-13.671875,0.0
1734413411.546843,-21.97265625,398.4375,-125.0,-62.5,0.0
1734413411.5507362,-52.734375,-274.90234375,-629.8828125,-76.171875,0.0
1734413411.5546293,-61.5234375,-42.48046875,-143.5546875,-31.73828125,0.0
1734413411.5585222,-29.78515625,700.68359375,475.5859375,4.8828125,0.0
1734413411.5624154,-10.25390625,871.58203125,471.6796875,-7.8125,0.0
1734413411.5663085,-30.2734375,-43.9453125,-229.00390625,-43.45703125,0.0
1734413411.5702016,-59.5703125,-660.15625,-691.89453125,-60.546875,0.0
1734413411.5740945,-68.359375,34.66796875,-175.29296875,-59.08203125,0.0
1734413411.5779877,-27.34375,645.99609375,408.69140625,-6.8359375,0.0
1734413411.5818808,0.0,222.65625,338.8671875,13.671875,0.0
1734413411.585774,-28.3203125,-93.26171875,-63.4765625,-38.57421875,0.0
1734413411.5896668,-56.640625,-171.875,-544.921875,-70.3125,0.0
1734413411.5937402,0.0,-331.54296875,-397.4609375,-49.8046875,0.0
1734413411.5976334,0.0,142.578125,261.71875,-13.671875,0.0
1734413411.6015265,0.0,708.984375,508.30078125,-19.53125,0.0
1734413411.6054194,0.0,597.16796875,115.72265625,-56.640625,0.0
1734413411.6093125,0.0,-84.9609375,-567.3828125,-70.80078125,0.0
1734413411.6132057,0.0,-448.73046875,-483.3984375,-54.19921875,0.0
1734413411.6170988,0.0,-42.96875,226.07421875,-18.06640625,0.0
1734413411.620992,0.0,555.17578125,504.39453125,-15.625,0.0
1734413411.624885,0.0,375.0,112.79296875,-38.0859375,0.0
1734413411.6287782,0.0,-716.30859375,-684.5703125,-63.96484375,0.0
1734413411.6326714,0.0,-344.23828125,-444.3359375,-63.96484375,0.0
1734413411.6365645,0.0,586.9140625,337.40234375,-25.87890625,0.0
1734413411.6406264,-15.625,634.765625,473.14453125,-18.5546875,0.0
1734413411.6445196,-28.3203125,444.3359375,241.2109375,-43.9453125,0.0
1734413411.6484127,-49.8046875,151.85546875,-398.92578125,-77.1484375,0.0
1734413411.6523058,-63.4765625,-259.765625,-554.6875,-68.84765625,0.0
1734413411.6561992,-58.59375,-37.59765625,105.95703125,-22.4609375,0.0
1734413411.6600924,-13.671875,311.03515625,458.984375,-4.8828125,0.0
1734413411.6639855,-15.625,337.40234375,270.01953125,-38.0859375,0.0
1734413411.6678786,-48.33984375,182.12890625,-358.88671875,-72.75390625,0.0
1734413411.6717718,-61.5234375,-531.73828125,-744.140625,-73.73046875,0.0
1734413411.675665,-56.15234375,-379.8828125,-109.375,-33.203125,0.0
1734413411.679558,-33.69140625,737.3046875,550.78125,1.953125,0.0
1734413411.6834512,-22.4609375,741.2109375,372.55859375,-9.765625,0.0
1734413411.6874924,-40.52734375,-36.1328125,-356.93359375,-53.22265625,0.0
1734413411.6913855,-60.546875,-144.04296875,-541.50390625,-79.1015625,0.0
1734413411.6952786,-62.01171875,317.3828125,47.8515625,-36.1328125,0.0
1734413411.6991718,-25.390625,637.20703125,496.58203125,1.46484375,0.0
1734413411.703065,-6.8359375,466.30859375,417.96875,-26.85546875,0.0
1734413411.706958,-30.76171875,-102.5390625,-250.48828125,-69.3359375,0.0
1734413411.7108514,-32.71484375,-378.90625,-588.37890625,-78.125,0.0
1734413411.7147446,-35.64453125,-314.94140625,-233.88671875,-26.85546875,0.0
1734413411.7186377,-17.578125,-398.92578125,207.03125,19.04296875,0.0
1734413411.7225308,-5.859375,366.69921875,473.6328125,0.9765625,0.0
1734413411.726424,-31.25,525.390625,5.859375,-39.55078125,0.0
1734413411.730317,-58.59375,-173.33984375,-576.66015625,-79.1015625,0.0
1734413411.7343576,0.0,-63.4765625,-187.5,-56.15234375,0.0
1734413411.7382507,0.0,617.67578125,466.796875,-0.48828125,0.0
1734413411.7421439,0.0,804.6875,489.2578125,-28.80859375,0.0
1734413411.7460372,0.0,201.171875,-87.40234375,-83.49609375,0.0
1734413411.7499304,0.0,-232.421875,-583.0078125,-104.98046875,0.0
1734413411.7538235,0.0,-245.1171875,-324.70703125,-74.21875,0.0
1734413411.757717,0.0,177.24609375,304.19921875,-26.85546875,0.0
1734413411.76161,0.0,125.9765625,388.18359375,-18.06640625,0.0
1734413411.7655032,0.0,-222.16796875,-16.6015625,-55.17578125,0.0
1734413411.7693965,0.0,-158.69140625,-534.66796875,-86.42578125,0.0
1734413411.7732897,0.0,-302.24609375,-431.15234375,-48.828125,0.0
1734413411.7771828,0.0,74.70703125,247.55859375,-14.16015625,0.0
1734413411.7812045,-5.859375,687.01171875,526.85546875,-11.23046875,0.0
1734413411.7850976,-20.01953125,657.2265625,239.74609375,-24.90234375,0.0
1734413411.788991,-43.45703125,-6.8359375,-477.5390625,-67.3828125,0.0
1734413411.792884,-69.82421875,-301.7578125,-434.5703125,-55.6640625,0.0
1734413411.7967772,-55.6640625,284.66796875,301.26953125,-6.8359375,0.0
1734413411.8006706,-17.578125,550.29296875,502.9296875,4.39453125,0.0
1734413411.8045638,-16.11328125,81.54296875,140.13671875,-4.8828125,0.0
1734413411.8084571,-34.66796875,-793.9453125,-674.31640625,-37.109375,0.0
1734413411.8123503,-67.3828125,-460.44921875,-511.23046875,-60.546875,0.0
1734413411.8162434,-67.3828125,423.828125,276.3671875,-18.5546875,0.0
1734413411.8201368,-34.66796875,594.7265625,473.6328125,1.953125,0.0
1734413411.82403,-27.83203125,503.41796875,297.8515625,-33.203125,0.0
1734413411.828038,-42.48046875,104.4921875,-369.140625,-55.6640625,0.0
1734413411.831931,-74.70703125,-382.8125,-604.98046875,-69.82421875,0.0
1734413411.8358245,-79.58984375,-143.06640625,-35.15625,-41.015625,0.0
1734413411.8397176,-51.26953125,569.3359375,500.0,1.953125,0.0
1734413411.843611,-29.78515625,687.98828125,388.18359375,-17.578125,0.0
1734413411.8475041,-42.96875,-68.84765625,-396.97265625,-63.96484375,0.0
1734413411.8513975,-73.73046875,-762.20703125,-779.296875,-54.19921875,0.0
1734413411.8552907,-67.3828125,-494.62890625,-186.03515625,-20.99609375,0.0
1734413411.859184,-30.76171875,593.26171875,513.18359375,0.48828125,0.0
1734413411.8630772,-19.04296875,733.88671875,420.41015625,-8.30078125,0.0
1734413411.8669705,-48.828125,-45.41015625,-358.88671875,-59.5703125,0.0
1734413411.8708637,-78.125,-187.01171875,-612.79296875,-86.9140625,0.0
1734413411.8748555,-71.77734375,265.625,-44.921875,-48.828125,0.0
1734413411.878749,-25.390625,559.08203125,433.10546875,9.765625,0.0
