timestamps,TP9,AF7,AF8,TP10,Right AUX
1734412292.4130337,-866.2109375,-943.359375,982.421875,-1000.0,0.0
1734412292.4168932,881.8359375,-982.421875,904.296875,-1000.0,0.0
1734412292.4207528,-393.5546875,-62.98828125,791.50390625,-655.76171875,0.0
1734412292.4246125,-1000.0,-1000.0,551.26953125,922.36328125,0.0
1734412292.428472,8.7890625,-154.78515625,745.60546875,224.12109375,0.0
1734412292.4323316,-899.4140625,-992.1875,873.53515625,-1000.0,0.0
1734412292.4350636,885.7421875,-939.453125,884.27734375,-967.28515625,0.0
1734412292.4388292,-371.09375,100.5859375,126.953125,-975.09765625,0.0
1734412292.4425948,-1000.0,-1000.0,-939.453125,-1000.0,0.0
1734412292.4463606,-191.89453125,-297.8515625,-498.53515625,-1000.0,0.0
1734412292.4501262,-955.078125,959.9609375,398.4375,-1000.0,0.0
1734412292.4538918,929.6875,-913.0859375,402.34375,-1000.0,0.0
1734412292.4576573,-325.68359375,156.25,-498.046875,-1000.0,0.0
1734412292.461423,-1000.0,-1000.0,-1000.0,-1000.0,0.0
1734412292.4651885,-453.61328125,-533.69140625,-905.76171875,-1000.0,0.0
1734412292.468954,907.2265625,805.17578125,-500.48828125,-1000.0,0.0
1734412292.4727197,-963.8671875,-862.79296875,-245.60546875,-1000.0,0.0
1734412292.4764853,-212.890625,204.1015625,-672.8515625,-1000.0,0.0
1734412292.4774015,-1000.0,-1000.0,-1000.0,-1000.0,0.0
1734412292.4810483,-631.34765625,-735.83984375,-935.05859375,-1000.0,0.0
1734412292.4846952,695.80078125,596.19140625,-508.7890625,-1000.0,0.0
1734412292.488342,-835.44921875,-831.0546875,158.203125,-1000.0,0.0
1734412292.4919891,183.10546875,367.1875,-216.796875,-1000.0,0.0
1734412292.495636,-1000.0,-1000.0,-1000.0,-1000.0,0.0
1734412292.4992828,-683.59375,-914.0625,-891.6015625,-1000.0,0.0
1734412292.5029297,701.171875,414.0625,0.9765625,-1000.0,0.0
1734412292.5065765,-835.9375,-860.3515625,676.7578125,-958.984375,0.0
1734412292.5102234,265.625,666.50390625,445.80078125,-1000.0,0.0
1734412292.5138702,-1000.0,-698.2421875,-542.48046875,-942.87109375,0.0
1734412292.517517,-646.97265625,-1000.0,-687.01171875,255.859375,0.0
1734412292.5172997,748.046875,279.296875,494.62890625,-245.1171875,0.0
1734412292.5208392,-889.6484375,-901.3671875,930.6640625,-1000.0,0.0
1734412292.5243788,665.0390625,861.328125,785.64453125,-1000.0,0.0
1734412292.5279183,-813.4765625,-354.00390625,320.3125,-792.96875,0.0
1734412292.531458,-925.29296875,-1000.0,184.08203125,763.671875,0.0
1734412292.5349975,557.6171875,7.32421875,787.59765625,168.45703125,0.0
1734412292.538537,-902.83203125,-919.921875,918.45703125,-1000.0,0.0
1734412292.5420766,824.21875,911.62109375,899.90234375,-922.36328125,0.0
1734412292.545616,-470.703125,-266.11328125,506.8359375,-1000.0,0.0
1734412292.5491555,-1000.0,-1000.0,224.12109375,-169.43359375,0.0
1734412292.552695,93.26171875,-216.796875,696.77734375,-50.29296875,0.0
1734412292.5562346,-819.3359375,-913.0859375,879.39453125,-1000.0,0.0
1734412292.5561378,632.8125,791.015625,862.79296875,-986.81640625,0.0
1734412292.5596015,-700.68359375,-508.7890625,239.2578125,-982.91015625,0.0
1734412292.5630653,-1000.0,-1000.0,-687.98828125,-1000.0,0.0
1734412292.5665293,-231.4453125,-622.0703125,-52.24609375,-1000.0,0.0
1734412292.569993,-847.16796875,840.33203125,730.95703125,-1000.0,0.0
1734412292.5734568,466.796875,806.640625,689.94140625,-1000.0,0.0
1734412292.5769205,-887.20703125,-675.78125,-84.9609375,-1000.0,0.0
1734412292.5803843,-1000.0,-1000.0,-1000.0,-1000.0,0.0
1734412292.583848,-564.453125,-1000.0,-463.37890625,-1000.0,0.0
1734412292.5873117,961.9140625,229.00390625,475.5859375,-1000.0,0.0
1734412292.5907757,734.375,-968.26171875,692.87109375,-931.640625,0.0
1734412292.5942395,-727.05078125,-459.9609375,-31.25,-1000.0,0.0
1734412292.5949442,-1000.0,-1000.0,-990.72265625,-333.984375,0.0
1734412292.5983622,-695.3125,-1000.0,-472.16796875,-928.7109375,0.0
1734412292.60178,712.40234375,-27.34375,527.34375,50.78125,0.0
1734412292.6051977,-954.58984375,-827.63671875,789.0625,-1000.0,0.0
1734412292.6086154,-330.078125,-98.6328125,430.6640625,-196.2890625,0.0
1734412292.6120334,-1000.0,-1000.0,-491.2109375,-951.171875,0.0
1734412292.615451,-671.875,-1000.0,-135.7421875,952.1484375,0.0
1734412292.6188688,642.578125,-72.265625,868.65234375,941.40625,0.0
1734412292.6222868,-826.171875,-793.45703125,898.92578125,977.05078125,0.0
1734412292.6257045,161.62109375,118.1640625,746.58203125,969.7265625,0.0
1734412292.6291223,-1000.0,-1000.0,363.76953125,970.21484375,0.0
1734412292.6325402,-756.34765625,-1000.0,482.421875,969.7265625,0.0
1734412292.6362724,618.65234375,-115.234375,902.34375,969.7265625,0.0
1734412292.6396947,-818.84765625,-797.8515625,910.15625,969.7265625,0.0
1734412292.643117,166.9921875,187.5,887.6953125,969.7265625,0.0
1734412292.646539,-1000.0,-1000.0,576.66015625,969.7265625,0.0
1734412292.6499612,-944.3359375,-1000.0,542.96875,969.7265625,0.0
1734412292.6533835,392.08984375,-197.265625,884.27734375,969.7265625,0.0
1734412292.6568055,-892.578125,-932.6171875,922.36328125,969.7265625,0.0
1734412292.6602278,167.48046875,162.109375,905.2734375,969.7265625,0.0
1734412292.6636498,-1000.0,-946.77734375,722.16796875,969.7265625,0.0
1734412292.667072,-949.21875,-1000.0,702.63671875,969.7265625,0.0
1734412292.6704943,445.80078125,-161.62109375,913.0859375,969.7265625,0.0
1734412292.6739163,-968.75,-962.40234375,937.98828125,969.7265625,0.0
1734412292.6779842,-953.125,957.51953125,925.29296875,969.7265625,0.0
1734412292.6814141,-62.5,-220.703125,905.76171875,983.88671875,0.0
1734412292.6848438,-1000.0,-1000.0,897.4609375,897.4609375,0.0
1734412292.6882737,358.3984375,-47.8515625,933.59375,-911.1328125,0.0
1734412292.6917036,-959.9609375,-996.58203125,952.63671875,525.87890625,0.0
1734412292.6951334,-934.08203125,-921.875,948.2421875,-902.83203125,0.0
1734412292.6985633,214.35546875,267.08984375,927.24609375,-1000.0,0.0
1734412292.7019932,-1000.0,-1000.0,916.015625,-946.2890625,0.0
1734412292.7054229,187.98828125,-142.08984375,932.12890625,-1000.0,0.0
1734412292.7088528,-943.359375,-983.3984375,946.77734375,-1000.0,0.0
1734412292.7122827,-962.40234375,-952.1484375,947.75390625,-1000.0,0.0
1734412292.7157125,546.38671875,578.125,910.15625,-1000.0,0.0
1734412292.7201998,-1000.0,-997.55859375,837.890625,-1000.0,0.0
1734412292.7236407,-103.515625,-256.34765625,869.62890625,-1000.0,0.0
1734412292.7270815,-938.96484375,-959.47265625,908.69140625,-1000.0,0.0
1734412292.7305224,-993.1640625,992.67578125,912.59765625,-1000.0,0.0
1734412292.7339633,742.67578125,830.56640625,741.2109375,-1000.0,0.0
1734412292.737404,-883.30078125,-718.26171875,-169.921875,-1000.0,0.0
1734412292.740845,-294.43359375,-380.859375,-323.73046875,-1000.0,0.0
1734412292.7442858,-921.875,-937.98828125,555.6640625,-1000.0,0.0
1734412292.7477267,918.45703125,911.1328125,806.15234375,-1000.0,0.0
1734412292.7511675,-919.921875,-899.90234375,19.04296875,-1000.0,0.0
1734412292.7546084,-336.42578125,-177.24609375,-991.69921875,-1000.0,0.0
1734412292.7580492,-355.46875,-520.01953125,-980.95703125,-1000.0,0.0
1734412292.7627647,-909.1796875,-999.51171875,-505.37109375,-1000.0,0.0
1734412292.7662172,897.94921875,926.26953125,235.83984375,-1000.0,0.0
1734412292.76967,-865.72265625,-870.60546875,-223.14453125,-1000.0,0.0
1734412292.7731225,-130.859375,35.15625,-1000.0,-1000.0,0.0
1734412292.7765753,-523.92578125,-696.2890625,-988.28125,-1000.0,0.0
1734412292.7800279,-991.69921875,855.95703125,-706.54296875,-1000.0,0.0
1734412292.7834806,922.36328125,976.07421875,-410.15625,-1000.0,0.0
1734412292.7869332,-864.2578125,-905.76171875,-592.28515625,-1000.0,0.0
1734412292.790386,52.24609375,162.109375,-953.125,-1000.0,0.0
1734412292.7938387,-676.26953125,-962.40234375,-1000.0,-1000.0,0.0
1734412292.7972913,881.34765625,503.41796875,-416.50390625,-1000.0,0.0
1734412292.800744,971.6796875,-965.8203125,282.71484375,-1000.0,0.0
1734412292.805823,-901.3671875,-938.4765625,338.8671875,-1000.0,0.0
1734412292.8092892,152.34375,307.12890625,-418.45703125,-1000.0,0.0
1734412292.8127553,-933.10546875,-1000.0,-1000.0,-1000.0,0.0
1734412292.8162217,561.5234375,171.875,71.77734375,-1000.0,0.0
1734412292.8196878,-962.890625,-936.5234375,677.24609375,-1000.0,0.0
1734412292.823154,-946.2890625,-956.0546875,583.0078125,-1000.0,0.0
1734412292.8266203,229.98046875,366.69921875,135.25390625,-1000.0,0.0
1734412292.8300865,-1000.0,-1000.0,-836.9140625,-1000.0,0.0
1734412292.8335528,118.65234375,-144.04296875,-11.23046875,-1000.0,0.0
1734412292.837019,-941.40625,-978.02734375,596.6796875,-1000.0,0.0
1734412292.840485,-946.77734375,-937.01171875,510.25390625,-1000.0,0.0
1734412292.8439515,336.9140625,475.5859375,169.921875,-1000.0,0.0
1734412292.8492203,-1000.0,-1000.0,-1000.0,-1000.0,0.0
1734412292.8527,-102.05078125,-231.93359375,-303.7109375,-1000.0,0.0
1734412292.85618,-971.19140625,-963.8671875,354.4921875,-1000.0,0.0
1734412292.85966,-956.0546875,991.69921875,12.6953125,-1000.0,0.0
