timestamps,TP9,AF7,AF8,TP10,Right AUX
1734412302.833779,-1000.0,169.921875,-701.171875,-1000.0,0.0
1734412302.8376632,-1000.0,-559.08203125,-1000.0,-1000.0,0.0
1734412302.841547,-1000.0,-147.4609375,-970.703125,-1000.0,0.0
1734412302.845431,-1000.0,790.0390625,-644.53125,-1000.0,0.0
1734412302.849315,-1000.0,948.73046875,-352.5390625,-1000.0,0.0
1734412302.8531988,-1000.0,262.20703125,-631.8359375,-1000.0,0.0
1734412302.8570828,-1000.0,-581.54296875,-1000.0,-1000.0,0.0
1734412302.8609667,-1000.0,-371.58203125,-970.21484375,-1000.0,0.0
1734412302.8648508,-1000.0,682.6171875,-528.80859375,-1000.0,0.0
1734412302.8687346,-1000.0,-965.33203125,1.953125,-1000.0,0.0
1734412302.8726184,-1000.0,401.3671875,-342.28515625,-1000.0,0.0
1734412302.8766983,-1000.0,-420.41015625,-950.1953125,-1000.0,0.0
1734412302.880582,-1000.0,-176.7578125,-930.17578125,-1000.0,0.0
1734412302.8844662,-1000.0,716.30859375,-425.29296875,-1000.0,0.0
1734412302.8883502,-1000.0,-998.046875,144.53125,-1000.0,0.0
1734412302.892234,-1000.0,563.96484375,-9.27734375,-1000.0,0.0
1734412302.8961182,-986.328125,-361.328125,-734.375,-1000.0,0.0
1734412302.9000022,-991.69921875,-431.15234375,-920.8984375,-1000.0,0.0
1734412302.903886,-1000.0,549.31640625,-610.83984375,-1000.0,0.0
1734412302.9077702,-302.24609375,-961.9140625,-44.43359375,-1000.0,0.0
1734412302.9116542,-459.9609375,751.46484375,279.296875,-1000.0,0.0
1734412302.9155383,-1000.0,-143.5546875,-470.703125,-1000.0,0.0
1734412302.9194221,-969.7265625,-507.8125,-977.5390625,-1000.0,0.0
1734412302.9234936,-1000.0,430.17578125,-436.03515625,-1000.0,0.0
1734412302.9273777,230.46875,-935.05859375,254.39453125,-999.0234375,0.0
1734412302.9312618,-28.80859375,703.61328125,240.72265625,-999.0234375,0.0
1734412302.9351459,-1000.0,-151.3671875,-440.91796875,-1000.0,0.0
1734412302.93903,-903.80859375,-539.0625,-953.61328125,-955.078125,0.0
1734412302.942914,-1000.0,237.3046875,-652.34375,-1000.0,0.0
1734412302.946798,-92.28515625,-976.07421875,81.0546875,-620.60546875,0.0
1734412302.9506822,88.37890625,662.109375,97.65625,-293.9453125,0.0
1734412302.9545662,-1000.0,-76.171875,-533.203125,-1000.0,0.0
1734412302.9584503,-924.31640625,-442.3828125,-885.7421875,-971.6796875,0.0
1734412302.9623344,-1000.0,160.64453125,-720.703125,-1000.0,0.0
1734412302.9662185,-83.984375,948.73046875,-48.828125,-695.3125,0.0
1734412302.9702718,259.765625,875.48828125,404.296875,-170.41015625,0.0
1734412302.974156,-1000.0,137.6953125,-156.73828125,-950.1953125,0.0
1734412302.97804,-943.84765625,-664.0625,-938.4765625,-996.09375,0.0
1734412302.9819243,-1000.0,-90.8203125,-808.59375,-1000.0,0.0
1734412302.9858084,-100.09765625,932.6171875,-60.05859375,-787.59765625,0.0
1734412302.9896924,320.80078125,928.22265625,335.44921875,292.96875,0.0
1734412302.9935765,-1000.0,36.1328125,-278.3203125,-554.19921875,0.0
1734412302.9974608,-945.3125,-733.88671875,-1000.0,-1000.0,0.0
