timestamps,TP9,AF7,AF8,TP10,Right AUX
1734412309.5328774,-291.015625,-847.65625,-443.359375,-1000.0,0.0
1734412309.5367692,-942.3828125,604.4921875,483.88671875,-1000.0,0.0
1734412309.5406609,908.203125,-978.515625,876.953125,-1000.0,0.0
1734412309.5445526,-854.4921875,-953.61328125,788.57421875,-1000.0,0.0
1734412309.5484443,59.08203125,41.9921875,50.29296875,-1000.0,0.0
1734412309.552336,-468.75,-1000.0,-542.48046875,-1000.0,0.0
1734412309.5562277,987.3046875,271.484375,405.2734375,-1000.0,0.0
1734412309.5601194,933.59375,-981.93359375,847.16796875,-1000.0,0.0
1734412309.564011,-879.39453125,-937.98828125,737.3046875,-1000.0,0.0
1734412309.5679028,125.9765625,259.27734375,218.26171875,-1000.0,0.0
1734412309.5717945,-852.05078125,-1000.0,-499.0234375,-1000.0,0.0
1734412309.5758553,663.57421875,-65.91796875,146.97265625,-1000.0,0.0
1734412309.5797472,-978.02734375,-977.5390625,812.5,-1000.0,0.0
1734412309.583639,-946.2890625,-936.5234375,849.12109375,-1000.0,0.0
1734412309.5875306,236.81640625,239.74609375,202.63671875,-1000.0,0.0
1734412309.5914223,-1000.0,-1000.0,-729.00390625,-1000.0,0.0
1734412309.595314,72.75390625,-311.03515625,-67.3828125,-1000.0,0.0
1734412309.599206,-940.4296875,961.42578125,775.390625,-1000.0,0.0
1734412309.6030977,-949.21875,-905.2734375,846.19140625,-1000.0,0.0
1734412309.6069894,242.1875,208.49609375,105.46875,-1000.0,0.0
1734412309.610881,-1000.0,-1000.0,-833.984375,-1000.0,0.0
1734412309.6147728,-175.78125,-368.1640625,-69.82421875,-1000.0,0.0
1734412309.6186647,-994.62890625,912.109375,768.06640625,-1000.0,0.0
1734412309.622721,-917.96875,-906.25,767.08984375,-1000.0,0.0
1734412309.6266127,315.91796875,414.0625,337.890625,-1000.0,0.0
1734412309.6305044,-1000.0,-994.140625,-553.22265625,-1000.0,0.0
1734412309.6343963,-209.47265625,-808.59375,-350.09765625,-1000.0,0.0
1734412309.638288,-996.58203125,500.48828125,585.9375,-1000.0,0.0
1734412309.6421797,-931.15234375,-836.9140625,778.3203125,-1000.0,0.0
1734412309.6460717,398.92578125,364.2578125,308.10546875,-1000.0,0.0
1734412309.6499634,-1000.0,-978.515625,-710.44921875,-1000.0,0.0
1734412309.653855,-496.58203125,-974.12109375,-737.79296875,-1000.0,0.0
1734412309.657747,888.671875,245.1171875,440.4296875,-1000.0,0.0
1734412309.6616387,-889.16015625,-821.2890625,827.1484375,-1000.0,0.0
1734412309.6655304,430.17578125,386.23046875,304.19921875,-1000.0,0.0
1734412309.6695628,-1000.0,-908.203125,-573.73046875,-1000.0,0.0
1734412309.6734548,-833.49609375,-1000.0,-685.546875,-1000.0,0.0
1734412309.6773465,566.40625,-32.71484375,276.3671875,-1000.0,0.0
1734412309.6812384,-823.2421875,-863.76953125,706.0546875,-1000.0,0.0
1734412309.6851301,468.26171875,606.93359375,406.25,-1000.0,0.0
1734412309.689022,-881.8359375,-700.1953125,-450.68359375,-1000.0,0.0
1734412309.6929138,-1000.0,-1000.0,-895.5078125,-1000.0,0.0
1734412309.6968055,85.9375,-708.49609375,-99.609375,-1000.0,0.0
1734412309.7006974,-810.546875,638.18359375,592.7734375,-1000.0,0.0
1734412309.7045891,574.70703125,752.9296875,467.7734375,-1000.0,0.0
1734412309.708481,-763.671875,-637.6953125,-385.7421875,-1000.0,0.0
1734412309.7123728,-1000.0,-1000.0,-921.875,-1000.0,0.0
1734412309.7163916,-191.89453125,-410.15625,-56.15234375,-1000.0,0.0
