timestamps,TP9,AF7,AF8,TP10,Right AUX
1734422748.8150423,-17.578125,-28.80859375,166.015625,-24.4140625,0.0
1734422748.818919,-17.578125,-32.2265625,194.82421875,-27.34375,0.0
1734422748.8227959,-37.59765625,-34.1796875,197.75390625,-26.3671875,0.0
1734422748.8266726,-83.0078125,-39.55078125,118.65234375,-28.3203125,0.0
1734422748.8305492,-52.734375,-43.9453125,107.91015625,-45.41015625,0.0
1734422748.8344262,-23.92578125,-43.9453125,156.25,-41.9921875,0.0
1734422748.8383029,-34.1796875,-39.0625,146.97265625,-40.0390625,0.0
1734422748.8421795,-42.96875,-33.69140625,140.625,-50.78125,0.0
1734422748.8460565,-67.3828125,-41.50390625,-91.796875,-47.36328125,0.0
1734422748.8499331,-54.19921875,-40.52734375,-7.8125,-47.36328125,0.0
1734422748.8538098,-27.83203125,-36.1328125,263.18359375,-40.0390625,0.0
1734422748.8576868,-23.92578125,-41.9921875,174.31640625,-35.64453125,0.0
1734422748.8619592,-27.34375,-37.59765625,165.0390625,-33.203125,0.0
1734422748.8658361,-68.359375,-35.15625,179.19921875,-41.50390625,0.0
1734422748.869713,-66.40625,-40.0390625,156.25,-45.8984375,0.0
1734422748.87359,-26.85546875,-41.50390625,105.95703125,-29.78515625,0.0
1734422748.877467,-16.6015625,-40.0390625,124.51171875,-25.87890625,0.0
1734422748.8813438,-21.97265625,-39.55078125,131.34765625,-25.87890625,0.0
1734422748.8852208,-66.40625,-38.0859375,152.34375,-31.73828125,0.0
1734422748.8890977,-73.2421875,-43.9453125,-59.08203125,-42.96875,0.0
1734422748.8929746,-37.109375,-47.36328125,-235.3515625,-40.52734375,0.0
1734422748.8968515,-24.90234375,-31.25,167.96875,-36.1328125,0.0
1734422748.9007285,-21.484375,-28.3203125,241.2109375,-29.78515625,0.0
1734422748.9046054,-57.12890625,-35.15625,87.890625,-30.76171875,0.0
1734422748.9088566,-64.94140625,-36.62109375,88.8671875,-33.69140625,0.0
1734422748.9127338,-20.01953125,-37.109375,171.875,-32.2265625,0.0
1734422748.9166107,0.48828125,-38.0859375,173.828125,-23.92578125,0.0
1734422748.9204879,-4.8828125,-38.57421875,183.59375,-17.578125,0.0
1734422748.924365,-48.33984375,-39.55078125,157.2265625,-22.94921875,0.0
1734422748.928242,-71.2890625,-44.43359375,32.71484375,-32.71484375,0.0
1734422748.9321191,-31.73828125,-41.015625,67.3828125,-27.83203125,0.0
1734422748.935996,-9.27734375,-40.0390625,-78.61328125,-20.99609375,0.0
1734422748.9398732,-20.5078125,-36.1328125,-1.953125,-34.66796875,0.0
1734422748.9437504,-57.12890625,-32.2265625,231.93359375,-47.36328125,0.0
1734422748.9476273,-71.2890625,-40.0390625,62.98828125,-53.22265625,0.0
1734422748.9515045,-37.59765625,-43.45703125,-27.34375,-40.52734375,0.0
1734422748.9557307,-27.34375,-41.015625,140.625,-37.59765625,0.0
1734422748.9596078,-25.87890625,-45.41015625,238.28125,-43.9453125,0.0
1734422748.963485,-47.36328125,-51.26953125,67.87109375,-38.0859375,0.0
1734422748.9673624,-76.171875,-49.8046875,-26.85546875,-40.0390625,0.0
1734422748.9712396,-41.9921875,-47.8515625,93.26171875,-34.66796875,0.0
1734422748.9751167,-8.7890625,-49.8046875,157.71484375,-32.71484375,0.0
1734422748.978994,-7.8125,-48.828125,-15.13671875,-24.4140625,0.0
1734422748.982871,-34.1796875,-44.921875,-148.92578125,-32.71484375,0.0
1734422748.9867485,-74.21875,-42.48046875,86.42578125,-48.33984375,0.0
1734422748.9906256,-42.96875,-42.48046875,162.59765625,-29.78515625,0.0
1734422748.9945028,-15.13671875,-41.015625,144.04296875,-26.85546875,0.0
1734422748.99838,-17.578125,-40.52734375,158.203125,-20.01953125,0.0
1734422749.0025764,-35.15625,-41.015625,192.87109375,-18.5546875,0.0
1734422749.0064538,-72.265625,-46.875,128.41796875,-34.66796875,0.0
1734422749.010331,-62.01171875,-55.6640625,-10.25390625,-39.55078125,0.0
1734422749.0142083,-30.2734375,-47.8515625,85.44921875,-27.34375,0.0
1734422749.0180857,-23.4375,-38.57421875,208.0078125,-7.32421875,0.0
1734422749.021963,-27.83203125,-40.52734375,149.4140625,-24.90234375,0.0
1734422749.0258403,-57.12890625,-50.29296875,-189.94140625,-29.296875,0.0
1734422749.0297177,-64.94140625,-52.24609375,-238.76953125,-24.90234375,0.0
1734422749.033595,-29.78515625,-42.96875,167.48046875,-41.50390625,0.0
1734422749.0374722,-18.06640625,-50.78125,189.453125,-34.1796875,0.0
1734422749.0413496,-34.66796875,-60.546875,145.5078125,-25.390625,0.0
1734422749.045227,-83.0078125,-53.7109375,147.94921875,-34.66796875,0.0
1734422749.0494092,-81.54296875,-46.875,124.51171875,-33.69140625,0.0
1734422749.0532866,-33.203125,-47.8515625,94.23828125,-30.76171875,0.0
1734422749.057164,-21.97265625,-44.921875,134.27734375,-29.296875,0.0
1734422749.0610414,-32.2265625,-41.015625,202.63671875,-33.69140625,0.0
1734422749.0649188,-61.5234375,-46.38671875,166.9921875,-37.59765625,0.0
1734422749.0687964,-67.3828125,-55.6640625,-77.63671875,-34.66796875,0.0
1734422749.0726738,-40.0390625,-59.5703125,-156.25,-39.55078125,0.0
1734422749.0765512,-25.87890625,-46.38671875,156.25,-45.8984375,0.0
1734422749.0804286,-22.4609375,-41.9921875,213.37890625,-45.8984375,0.0
1734422749.0843062,-58.59375,-53.7109375,44.43359375,-41.015625,0.0
1734422749.0881836,-82.51953125,-57.6171875,37.109375,-39.55078125,0.0
1734422749.092061,-42.96875,-48.828125,181.15234375,-44.43359375,0.0
1734422749.096421,0.0,-52.24609375,186.03515625,-33.203125,0.0
1734422749.1002986,0.0,-53.22265625,182.6171875,-21.97265625,0.0
1734422749.1041763,0.0,-45.8984375,145.5078125,-34.1796875,0.0
1734422749.108054,0.0,-48.33984375,112.79296875,-43.45703125,0.0
1734422749.1119316,0.0,-54.19921875,102.5390625,-36.1328125,0.0
1734422749.1158092,0.0,-57.12890625,44.43359375,-30.76171875,0.0
1734422749.1196868,0.0,-56.15234375,56.640625,-30.76171875,0.0
1734422749.1235645,0.0,-61.5234375,115.234375,-37.59765625,0.0
1734422749.1274421,0.0,-65.91796875,71.77734375,-49.31640625,0.0
1734422749.1313198,0.0,-66.40625,-93.75,-44.43359375,0.0
1734422749.1351974,0.0,-54.6875,72.75390625,-38.57421875,0.0
1734422749.139075,0.0,-45.41015625,226.5625,-38.57421875,0.0
1734422749.1434054,-43.9453125,-53.22265625,89.35546875,-48.828125,0.0
1734422749.1472833,-77.1484375,-58.10546875,26.85546875,-62.5,0.0
1734422749.151161,-50.29296875,-51.7578125,120.60546875,-49.31640625,0.0
1734422749.1550388,-18.5546875,-50.78125,187.98828125,-39.0625,0.0
1734422749.1589167,-22.94921875,-50.29296875,101.5625,-32.71484375,0.0
1734422749.1627946,-36.1328125,-50.78125,0.9765625,-16.6015625,0.0
1734422749.1666722,-70.3125,-62.5,22.94921875,-29.296875,0.0
1734422749.17055,-62.01171875,-58.10546875,155.2734375,-31.25,0.0
1734422749.174428,-28.3203125,-49.31640625,-39.55078125,-21.484375,0.0
1734422749.1783059,-23.4375,-55.6640625,-138.18359375,-28.3203125,0.0
1734422749.1821835,-41.50390625,-40.52734375,190.91796875,-31.25,0.0
1734422749.1860614,-72.75390625,-30.76171875,122.0703125,-38.57421875,0.0
1734422749.1903577,-67.87109375,-31.73828125,-37.109375,-55.6640625,0.0
1734422749.1942358,-33.69140625,-29.296875,65.4296875,-56.15234375,0.0
1734422749.1981137,-24.90234375,-25.87890625,203.61328125,-44.43359375,0.0
1734422749.2019918,-29.296875,-21.484375,158.69140625,-36.62109375,0.0
1734422749.2058697,-59.08203125,-25.87890625,-18.5546875,-37.109375,0.0
1734422749.2097476,-55.6640625,-27.34375,-109.375,-34.1796875,0.0
1734422749.2136257,-16.11328125,-24.4140625,42.96875,-31.25,0.0
1734422749.2175035,-17.08984375,-28.80859375,127.9296875,-41.9921875,0.0
1734422749.2213817,-19.04296875,-33.69140625,-80.078125,-42.96875,0.0
1734422749.2252595,-52.24609375,-22.4609375,-40.0390625,-41.015625,0.0
1734422749.2291374,-76.66015625,-19.04296875,157.2265625,-52.24609375,0.0
1734422749.2330155,-33.203125,-27.83203125,97.16796875,-44.43359375,0.0
1734422749.2372823,-13.671875,-20.99609375,126.953125,-39.0625,0.0
1734422749.2411604,-35.15625,-18.06640625,177.734375,-37.109375,0.0
1734422749.2450385,-62.01171875,-24.4140625,158.203125,-25.87890625,0.0
1734422749.2489166,-68.84765625,-32.2265625,-3.41796875,-29.78515625,0.0
1734422749.2527947,-33.69140625,-36.62109375,-49.8046875,-39.0625,0.0
1734422749.2566729,-11.71875,-31.73828125,79.58984375,-32.2265625,0.0
1734422749.260551,-17.08984375,-22.4609375,209.47265625,-24.90234375,0.0
1734422749.264429,-41.50390625,-36.62109375,-32.71484375,-22.94921875,0.0
1734422749.2683072,-64.94140625,-46.38671875,-299.8046875,-30.2734375,0.0
1734422749.2721853,-36.1328125,-24.90234375,96.19140625,-41.50390625,0.0
1734422749.2760634,-14.6484375,-22.94921875,198.73046875,-41.50390625,0.0
1734422749.2799416,-21.484375,-28.3203125,166.015625,-36.62109375,0.0
1734422749.2841816,-46.875,-30.76171875,147.4609375,-53.22265625,0.0
1734422749.28806,-79.1015625,-32.71484375,118.1640625,-69.3359375,0.0
1734422749.2919383,-38.57421875,-30.2734375,108.88671875,-53.7109375,0.0
1734422749.2958164,-8.30078125,-33.203125,136.23046875,-32.71484375,0.0
1734422749.2996948,-21.484375,-35.64453125,167.48046875,-24.4140625,0.0
1734422749.303573,-39.55078125,-43.45703125,61.03515625,-35.15625,0.0
1734422749.3074512,-71.77734375,-46.875,-36.1328125,-47.8515625,0.0
1734422749.3113296,-48.828125,-51.7578125,-241.69921875,-43.45703125,0.0
1734422749.3152077,-27.83203125,-48.33984375,-91.796875,-40.52734375,0.0
1734422749.319086,-36.62109375,-37.109375,227.5390625,-44.921875,0.0
1734422749.3229644,-43.45703125,-42.96875,117.67578125,-45.8984375,0.0
1734422749.3268425,-79.1015625,-48.33984375,40.52734375,-44.43359375,0.0
1734422749.331049,-58.59375,-39.0625,121.58203125,-50.78125,0.0
1734422749.3349273,-15.13671875,-38.57421875,185.05859375,-52.24609375,0.0
1734422749.3388057,-14.16015625,-47.36328125,131.34765625,-34.66796875,0.0
1734422749.342684,-23.4375,-44.43359375,95.21484375,-28.3203125,0.0
1734422749.3465624,-64.453125,-34.66796875,122.55859375,-40.0390625,0.0
1734422749.350441,-63.4765625,-35.15625,78.61328125,-41.015625,0.0
1734422749.3543193,-26.3671875,-48.828125,-63.96484375,-40.0390625,0.0
1734422749.3581977,-27.34375,-52.734375,-61.03515625,-37.109375,0.0
1734422749.362076,-39.55078125,-40.52734375,193.359375,-39.0625,0.0
1734422749.3659544,-76.66015625,-42.48046875,121.58203125,-49.31640625,0.0
1734422749.3698328,-67.87109375,-47.8515625,-59.08203125,-44.921875,0.0
1734422749.3737113,-22.94921875,-46.38671875,65.4296875,-36.62109375,0.0
1734422749.3778954,-12.6953125,-40.52734375,199.70703125,-36.1328125,0.0
1734422749.3817737,-26.85546875,-39.0625,168.45703125,-32.71484375,0.0
1734422749.3856523,-72.265625,-47.8515625,2.9296875,-42.48046875,0.0
1734422749.3895307,-72.75390625,-44.921875,17.578125,-57.6171875,0.0
1734422749.3934093,-25.390625,-34.66796875,131.8359375,-47.36328125,0.0
1734422749.3972878,-16.11328125,-34.66796875,100.09765625,-32.2265625,0.0
1734422749.4011662,-17.578125,-45.8984375,-144.53125,-23.92578125,0.0
1734422749.4050448,-48.33984375,-47.8515625,-162.59765625,-35.15625,0.0
1734422749.4089234,-67.87109375,-36.62109375,134.27734375,-49.8046875,0.0
1734422749.4128017,-28.3203125,-39.55078125,119.140625,-39.0625,0.0
1734422749.4166803,-17.578125,-42.96875,130.859375,-33.203125,0.0
1734422749.420559,-19.04296875,-39.55078125,201.66015625,-31.25,0.0
1734422749.4249237,-46.38671875,-46.38671875,184.5703125,-24.90234375,0.0
1734422749.4288023,-79.1015625,-56.15234375,-16.6015625,-41.50390625,0.0
1734422749.432681,-40.52734375,-51.26953125,-33.203125,-53.7109375,0.0
1734422749.4365597,-16.6015625,-46.875,182.12890625,-46.38671875,0.0
1734422749.4404383,-29.296875,-45.8984375,225.09765625,-41.9921875,0.0
1734422749.444317,-49.8046875,-49.8046875,-62.98828125,-40.0390625,0.0
1734422749.4481957,-76.171875,-59.5703125,-162.109375,-45.41015625,0.0
1734422749.4520745,-58.10546875,-57.12890625,155.2734375,-53.7109375,0.0
1734422749.4559531,-24.90234375,-50.29296875,189.453125,-38.0859375,0.0
1734422749.4598317,-22.94921875,-44.921875,84.9609375,-23.92578125,0.0
1734422749.4637105,-47.36328125,-42.96875,60.546875,-37.59765625,0.0
1734422749.4675891,-79.58984375,-42.96875,124.0234375,-52.734375,0.0
1734422749.4719098,0.0,-43.45703125,112.79296875,-51.7578125,0.0
1734422749.4757886,0.0,-43.45703125,152.83203125,-39.55078125,0.0
1734422749.4796677,0.0,-47.36328125,184.08203125,-37.59765625,0.0
1734422749.4835465,0.0,-46.875,145.99609375,-32.71484375,0.0
1734422749.4874253,0.0,-53.7109375,60.546875,-27.83203125,0.0
1734422749.4913042,0.0,-67.3828125,-82.51953125,-35.64453125,0.0
1734422749.495183,0.0,-60.05859375,-7.32421875,-27.83203125,0.0
1734422749.4990618,0.0,-48.828125,101.07421875,-23.4375,0.0
1734422749.5029407,0.0,-47.36328125,75.68359375,-27.34375,0.0
1734422749.5068195,0.0,-48.828125,-137.6953125,-20.01953125,0.0
1734422749.5106983,0.0,-46.875,-65.4296875,-25.87890625,0.0
1734422749.5145772,0.0,-41.015625,198.2421875,-32.71484375,0.0
1734422749.5188818,-14.6484375,-41.9921875,135.7421875,-25.390625,0.0
1734422749.5227609,-29.296875,-45.41015625,111.328125,-24.90234375,0.0
1734422749.52664,-68.84765625,-45.8984375,135.7421875,-39.55078125,0.0
1734422749.530519,-67.87109375,-45.41015625,141.11328125,-49.31640625,0.0
1734422749.5343978,-33.69140625,-45.8984375,87.890625,-46.875,0.0
1734422749.538277,-26.85546875,-45.8984375,28.80859375,-46.38671875,0.0
1734422749.542156,-30.76171875,-45.8984375,97.16796875,-43.9453125,0.0
1734422749.546035,-73.73046875,-49.31640625,117.67578125,-48.33984375,0.0
1734422749.549914,-87.40234375,-52.734375,-162.59765625,-45.8984375,0.0
1734422749.553793,-42.96875,-51.7578125,-167.96875,-31.25,0.0
1734422749.557672,-30.2734375,-44.921875,202.63671875,-35.15625,0.0
1734422749.561551,-27.34375,-48.828125,184.08203125,-36.1328125,0.0
1734422749.5658185,-52.24609375,-53.7109375,-13.671875,-31.73828125,0.0
1734422749.5696976,-72.265625,-52.734375,-8.30078125,-41.9921875,0.0
1734422749.573577,-30.76171875,-52.24609375,146.97265625,-42.96875,0.0
1734422749.577456,-4.8828125,-51.7578125,125.48828125,-35.15625,0.0
1734422749.581335,-14.16015625,-53.7109375,81.54296875,-33.69140625,0.0
1734422749.5852144,-43.9453125,-58.10546875,22.94921875,-35.64453125,0.0
1734422749.5890934,-74.70703125,-59.08203125,-48.828125,-42.96875,0.0
1734422749.5929725,-47.8515625,-59.08203125,22.94921875,-44.43359375,0.0
1734422749.5968518,-14.6484375,-60.546875,-104.4921875,-42.48046875,0.0
1734422749.600731,-28.80859375,-51.7578125,-6.34765625,-46.38671875,0.0
1734422749.6046102,-62.01171875,-46.38671875,190.91796875,-49.31640625,0.0
1734422749.6084893,-86.9140625,-52.24609375,-75.68359375,-48.33984375,0.0
1734422749.6127589,0.0,-48.828125,0.0,0.0,0.0
1734422749.6166382,0.0,-45.41015625,0.0,0.0,0.0
1734422749.6205175,0.0,-46.38671875,0.0,0.0,0.0
1734422749.6243968,0.0,-52.24609375,0.0,0.0,0.0
1734422749.628276,0.0,-58.59375,0.0,0.0,0.0
1734422749.6321552,0.0,-60.05859375,0.0,0.0,0.0
1734422749.6360345,0.0,-51.7578125,0.0,0.0,0.0
1734422749.6399138,0.0,-53.22265625,0.0,0.0,0.0
1734422749.643793,0.0,-58.10546875,0.0,0.0,0.0
1734422749.6476724,0.0,-46.38671875,0.0,0.0,0.0
1734422749.6515517,0.0,-43.9453125,0.0,0.0,0.0
1734422749.655431,0.0,-53.7109375,0.0,0.0,0.0
1734422749.6596494,-3.90625,-57.12890625,115.234375,-18.5546875,0.0
1734422749.6635287,-30.76171875,-50.29296875,168.9453125,-33.203125,0.0
1734422749.6674082,-62.98828125,-53.7109375,-15.13671875,-40.0390625,0.0
1734422749.6712875,-73.73046875,-56.15234375,-153.3203125,-44.921875,0.0
1734422749.675167,-42.48046875,-49.31640625,29.296875,-47.36328125,0.0
1734422749.6790464,-24.4140625,-48.828125,103.515625,-41.9921875,0.0
1734422749.682926,-34.66796875,-53.7109375,68.84765625,-39.55078125,0.0
1734422749.6868052,-75.1953125,-56.15234375,-193.359375,-41.50390625,0.0
1734422749.6906848,-68.84765625,-48.828125,-147.94921875,-45.8984375,0.0
1734422749.694564,-23.92578125,-41.9921875,170.41015625,-45.8984375,0.0
1734422749.6984437,-8.30078125,-49.8046875,110.83984375,-33.69140625,0.0
1734422749.702323,3.90625,-58.10546875,94.7265625,-12.6953125,0.0
1734422749.706513,-31.25,-54.6875,104.98046875,-27.34375,0.0
1734422749.7103925,-66.89453125,-44.43359375,100.09765625,-73.2421875,0.0
1734422749.714272,-36.62109375,-42.96875,46.38671875,-66.89453125,0.0
1734422749.7181516,-20.99609375,-45.41015625,66.40625,-36.1328125,0.0
1734422749.722031,-27.34375,-38.57421875,151.85546875,-35.15625,0.0
1734422749.7259107,-64.453125,-40.52734375,45.8984375,-62.5,0.0
1734422749.72979,-97.16796875,-47.36328125,-247.0703125,-83.984375,0.0
1734422749.7336695,-47.8515625,-48.33984375,-166.50390625,-68.84765625,0.0
1734422749.737549,-22.94921875,-44.43359375,169.43359375,-53.7109375,0.0
1734422749.7414286,-43.9453125,-44.921875,208.49609375,-51.26953125,0.0
1734422749.7453082,-70.80078125,-54.6875,-114.2578125,-48.33984375,0.0
1734422749.7491877,-93.26171875,-53.7109375,-250.9765625,-49.8046875,0.0
