timestamps,TP9,AF7,AF8,TP10,Right AUX
1734582129.2595696,-50.78125,6.8359375,151.85546875,-42.48046875,0.0
1734582129.2634413,-62.5,5.859375,141.11328125,-92.7734375,0.0
1734582129.267313,-31.25,3.41796875,72.75390625,-78.61328125,0.0
1734582129.2711847,-0.48828125,0.0,60.05859375,-4.39453125,0.0
1734582129.2750564,-2.9296875,0.0,101.07421875,21.484375,0.0
1734582129.278928,-34.1796875,-1.46484375,131.8359375,-40.0390625,0.0
1734582129.2828,-57.12890625,-7.8125,20.5078125,-100.5859375,0.0
1734582129.2866716,-44.921875,-8.30078125,-34.1796875,-72.75390625,0.0
1734582129.2905433,-6.34765625,-1.46484375,158.69140625,-19.04296875,0.0
1734582129.294415,9.765625,-1.46484375,158.203125,10.7421875,0.0
1734582129.2982867,-31.25,-4.39453125,102.05078125,-20.01953125,0.0
1734582129.3025596,-66.89453125,0.0,93.26171875,-84.9609375,0.0
1734582129.3064315,-48.828125,5.859375,128.90625,-91.796875,0.0
1734582129.3103034,-15.625,6.34765625,118.1640625,-19.53125,0.0
1734582129.3141754,2.44140625,2.44140625,147.94921875,27.34375,0.0
1734582129.3180473,-25.87890625,-0.9765625,117.67578125,-20.01953125,0.0
1734582129.3219192,-66.89453125,-5.859375,46.38671875,-83.984375,0.0
1734582129.325791,-62.5,0.0,71.77734375,-104.00390625,0.0
1734582129.3296628,-25.87890625,4.39453125,319.82421875,-41.9921875,0.0
1734582129.3335347,1.953125,5.859375,244.140625,19.04296875,0.0
1734582129.3374066,-23.92578125,12.20703125,122.0703125,-8.30078125,0.0
1734582129.3412786,-70.3125,2.9296875,73.73046875,-96.6796875,0.0
1734582129.3451505,-71.2890625,-5.37109375,-3.90625,-120.1171875,0.0
1734582129.3493998,-28.3203125,-0.9765625,130.859375,-40.52734375,0.0
1734582129.353272,5.859375,3.90625,170.41015625,23.92578125,0.0
1734582129.3571439,-20.5078125,0.48828125,54.19921875,-18.06640625,0.0
1734582129.361016,-68.359375,-3.90625,14.16015625,-88.37890625,0.0
1734582129.3648882,-64.453125,0.9765625,110.83984375,-105.95703125,0.0
1734582129.36876,-29.78515625,1.46484375,75.1953125,-60.546875,0.0
1734582129.3726323,-6.34765625,3.90625,180.6640625,5.859375,0.0
1734582129.3765044,-20.99609375,5.859375,177.24609375,12.20703125,0.0
1734582129.3803763,-51.26953125,1.46484375,121.09375,-63.96484375,0.0
1734582129.3842485,-60.546875,-0.48828125,108.88671875,-90.8203125,0.0
1734582129.3881204,-25.87890625,0.0,66.40625,-55.17578125,0.0
1734582129.3919926,6.34765625,-2.9296875,111.328125,2.44140625,0.0
1734582129.3962305,5.37109375,-3.90625,155.76171875,6.8359375,0.0
1734582129.4001026,-45.8984375,-0.9765625,97.65625,-51.7578125,0.0
1734582129.403975,-81.0546875,-4.39453125,86.42578125,-89.84375,0.0
1734582129.4078472,-41.50390625,-6.34765625,141.6015625,-76.171875,0.0
1734582129.4117193,-1.953125,-2.44140625,137.20703125,-19.53125,0.0
1734582129.4155917,-4.39453125,0.0,130.859375,3.90625,0.0
1734582129.4194639,-41.9921875,-3.41796875,46.38671875,-28.80859375,0.0
1734582129.4233363,-56.640625,0.0,3.41796875,-87.40234375,0.0
1734582129.4272084,-28.3203125,9.27734375,129.39453125,-71.77734375,0.0
1734582129.4310806,8.30078125,10.25390625,104.4921875,1.953125,0.0
1734582129.434953,11.71875,11.23046875,101.07421875,24.90234375,0.0
1734582129.4388251,-32.71484375,11.23046875,148.92578125,-32.71484375,0.0
1734582129.4430242,-58.10546875,6.34765625,161.1328125,-94.23828125,0.0
1734582129.4468966,-33.69140625,2.9296875,83.49609375,-77.63671875,0.0
1734582129.450769,4.39453125,4.8828125,64.453125,-5.859375,0.0
1734582129.4546413,13.671875,5.859375,183.59375,29.296875,0.0
1734582129.4585137,-24.4140625,11.71875,190.4296875,-15.13671875,0.0
1734582129.4623861,-44.43359375,16.11328125,-12.20703125,-57.12890625,0.0
1734582129.4662585,-27.34375,9.27734375,-54.19921875,-43.45703125,0.0
1734582129.470131,5.859375,12.6953125,209.9609375,-11.71875,0.0
1734582129.4740033,26.3671875,17.578125,178.7109375,26.85546875,0.0
1734582129.4778757,-6.34765625,7.32421875,113.76953125,0.48828125,0.0
1734582129.481748,-41.015625,1.46484375,115.234375,-67.3828125,0.0
1734582129.4856205,-37.59765625,3.41796875,163.57421875,-79.1015625,0.0
1734582129.490005,0.48828125,3.41796875,155.2734375,-31.73828125,0.0
1734582129.4938776,26.85546875,8.30078125,175.29296875,19.53125,0.0
1734582129.4977503,-11.71875,10.25390625,187.5,-12.6953125,0.0
1734582129.501623,-55.6640625,0.48828125,150.390625,-80.078125,0.0
1734582129.5054955,-44.43359375,-0.9765625,141.6015625,-87.890625,0.0
1734582129.5093682,-8.7890625,-0.48828125,214.84375,-33.69140625,0.0
1734582129.5132408,12.20703125,0.48828125,170.41015625,5.37109375,0.0
1734582129.5171134,-5.859375,2.9296875,128.41796875,-16.11328125,0.0
1734582129.520986,-45.8984375,-2.44140625,122.0703125,-72.75390625,0.0
1734582129.5248587,-43.9453125,-8.30078125,83.0078125,-86.42578125,0.0
1734582129.5287313,-9.765625,-6.34765625,139.16015625,-37.109375,0.0
1734582129.532604,10.7421875,0.48828125,197.75390625,22.4609375,0.0
1734582129.5369668,-8.7890625,0.9765625,88.8671875,11.23046875,0.0
1734582129.5408397,-52.24609375,3.90625,46.875,-71.2890625,0.0
1734582129.5447125,-59.08203125,1.46484375,140.625,-103.515625,0.0
1734582129.5485854,-20.99609375,-4.39453125,160.64453125,-48.33984375,0.0
1734582129.5524583,9.27734375,-8.7890625,129.39453125,16.11328125,0.0
1734582129.5563312,-7.32421875,-9.27734375,101.07421875,12.6953125,0.0
1734582129.5602038,-42.96875,0.0,124.0234375,-39.0625,0.0
1734582129.5640767,-48.828125,-3.90625,185.546875,-84.9609375,0.0
1734582129.5679495,-31.25,-20.5078125,41.9921875,-62.01171875,0.0
1734582129.5718224,-14.6484375,-19.53125,-26.3671875,1.46484375,0.0
1734582129.5756953,-16.11328125,-7.32421875,239.2578125,-5.859375,0.0
1734582129.5795681,-58.59375,-7.32421875,194.82421875,-51.26953125,0.0
1734582129.5841165,-93.26171875,-11.71875,94.23828125,-93.26171875,0.0
1734582129.5879896,-70.3125,-9.765625,134.27734375,-69.82421875,0.0
1734582129.5918627,-29.78515625,-3.41796875,158.203125,-0.48828125,0.0
1734582129.595736,-35.15625,-2.44140625,131.34765625,23.92578125,0.0
1734582129.5996091,-79.1015625,-4.39453125,146.97265625,-33.203125,0.0
1734582129.6034822,-94.7265625,0.0,137.6953125,-74.70703125,0.0
1734582129.6073554,-60.05859375,-1.953125,95.703125,-60.05859375,0.0
1734582129.6112285,-25.87890625,-5.37109375,123.53515625,0.48828125,0.0
1734582129.6151018,-34.66796875,-8.7890625,181.15234375,40.0390625,0.0
1734582129.618975,-63.96484375,-11.23046875,141.11328125,-33.203125,0.0
1734582129.622848,-76.66015625,-9.27734375,113.76953125,-100.09765625,0.0
1734582129.6267211,-54.6875,-15.13671875,56.640625,-71.2890625,0.0
1734582129.6310298,-20.99609375,-12.6953125,83.0078125,3.90625,0.0
1734582129.6349032,-11.71875,-8.30078125,175.29296875,37.109375,0.0
1734582129.6387765,-39.0625,-6.34765625,181.640625,-4.39453125,0.0
1734582129.64265,-66.89453125,-2.44140625,72.75390625,-59.08203125,0.0
1734582129.6465232,-58.59375,-2.44140625,32.2265625,-61.03515625,0.0
1734582129.6503966,-20.5078125,-5.859375,150.87890625,-7.8125,0.0
1734582129.65427,-1.953125,-9.765625,155.76171875,39.55078125,0.0
1734582129.6581433,-27.34375,-5.37109375,198.2421875,17.08984375,0.0
1734582129.6620166,-58.59375,-2.9296875,118.1640625,-59.08203125,0.0
1734582129.66589,-62.5,-7.8125,117.1875,-82.03125,0.0
