timestamps,TP9,AF7,AF8,TP10,Right AUX
1734581005.362254,20.99609375,-64.453125,60.546875,-13.18359375,0.0
1734581005.366159,29.296875,-58.10546875,20.99609375,-14.16015625,0.0
1734581005.3700643,30.76171875,-52.734375,19.04296875,-5.37109375,0.0
1734581005.3739696,20.99609375,-57.12890625,43.45703125,-8.30078125,0.0
1734581005.3778749,1.953125,-67.87109375,35.64453125,-18.5546875,0.0
1734581005.38178,10.7421875,-66.89453125,-41.015625,-13.671875,0.0
1734581005.3856852,20.99609375,-64.94140625,-44.43359375,-5.37109375,0.0
1734581005.3895905,23.4375,-68.84765625,35.64453125,-11.71875,0.0
1734581005.3934958,19.53125,-69.82421875,21.97265625,-12.20703125,0.0
1734581005.3974009,4.39453125,-66.89453125,-13.18359375,-5.37109375,0.0
1734581005.4013062,1.46484375,-71.2890625,19.53125,-2.9296875,0.0
1734581005.4052114,3.41796875,-73.73046875,61.5234375,-15.13671875,0.0
1734581005.4091344,5.859375,-70.3125,29.296875,-20.99609375,0.0
1734581005.4130397,10.25390625,-67.3828125,-21.484375,-6.34765625,0.0
1734581005.416945,9.27734375,-70.3125,10.25390625,5.859375,0.0
1734581005.4208503,3.41796875,-78.125,32.2265625,-17.08984375,0.0
1734581005.4247553,-1.46484375,-79.58984375,3.90625,-24.4140625,0.0
1734581005.4286606,10.25390625,-75.68359375,-54.6875,-2.44140625,0.0
1734581005.432566,8.7890625,-68.84765625,-14.6484375,3.41796875,0.0
1734581005.4364712,-2.9296875,-63.4765625,61.03515625,4.39453125,0.0
1734581005.4403763,-3.41796875,-62.98828125,14.16015625,6.8359375,0.0
1734581005.4442816,2.44140625,-63.96484375,-80.078125,3.41796875,0.0
1734581005.4481869,8.30078125,-63.96484375,-5.37109375,-0.9765625,0.0
1734581005.4520922,16.6015625,-60.546875,20.01953125,-1.953125,0.0
1734581005.456014,10.25390625,-55.17578125,0.0,-10.7421875,0.0
1734581005.459919,6.34765625,-48.828125,38.0859375,-3.41796875,0.0
1734581005.4638243,12.6953125,-51.26953125,59.08203125,-1.953125,0.0
1734581005.4677296,21.484375,-55.17578125,46.875,-8.7890625,0.0
1734581005.4716349,27.34375,-53.7109375,7.32421875,-3.90625,0.0
1734581005.47554,16.6015625,-52.734375,-18.06640625,-4.8828125,0.0
1734581005.4794452,12.6953125,-52.734375,13.671875,-4.8828125,0.0
1734581005.4833505,17.578125,-52.734375,53.22265625,-4.39453125,0.0
1734581005.4872558,26.3671875,-53.7109375,-25.87890625,0.9765625,0.0
1734581005.491161,27.83203125,-60.05859375,-54.6875,0.48828125,0.0
1734581005.4950662,15.13671875,-62.98828125,52.734375,-7.32421875,0.0
1734581005.4989715,15.13671875,-59.5703125,47.8515625,-2.44140625,0.0
1734581005.5028923,15.625,-57.12890625,-23.4375,-2.9296875,0.0
1734581005.5067976,8.7890625,-61.03515625,16.11328125,-12.20703125,0.0
1734581005.5107028,11.23046875,-65.4296875,35.64453125,-5.859375,0.0
1734581005.514608,10.7421875,-66.40625,-5.37109375,0.9765625,0.0
1734581005.5185132,3.90625,-65.91796875,-0.48828125,-8.30078125,0.0
1734581005.5224185,-2.44140625,-69.82421875,0.0,-5.37109375,0.0
1734581005.5263238,-8.7890625,-69.82421875,36.1328125,1.953125,0.0
1734581005.5302289,6.8359375,-62.01171875,47.8515625,8.30078125,0.0
1734581005.5341341,20.01953125,-57.6171875,-63.4765625,30.76171875,0.0
1734581005.5380394,10.7421875,-60.546875,26.3671875,22.4609375,0.0
1734581005.5419447,14.16015625,-61.5234375,74.70703125,15.625,0.0
1734581005.5458498,17.578125,-57.12890625,5.859375,26.3671875,0.0
1734581005.54977,0.0,-51.26953125,35.64453125,28.3203125,0.0
1734581005.5536754,0.0,-57.6171875,64.94140625,26.85546875,0.0
1734581005.5575807,0.0,-59.08203125,49.31640625,20.5078125,0.0
1734581005.561486,0.0,-55.6640625,14.6484375,11.23046875,0.0
1734581005.565391,0.0,-52.734375,8.7890625,4.39453125,0.0
1734581005.5692964,0.0,-50.78125,3.90625,7.8125,0.0
1734581005.5732017,0.0,-58.59375,14.6484375,12.20703125,0.0
1734581005.577107,0.0,-64.94140625,-20.99609375,8.30078125,0.0
1734581005.581012,0.0,-62.98828125,-37.109375,0.9765625,0.0
1734581005.5849173,0.0,-66.89453125,63.4765625,-2.9296875,0.0
1734581005.5888226,0.0,-70.80078125,63.4765625,-6.34765625,0.0
1734581005.592728,0.0,-65.91796875,-1.46484375,-5.859375,0.0
1734581005.5966218,26.3671875,-62.98828125,15.625,-2.9296875,0.0
1734581005.600527,24.90234375,-59.5703125,55.6640625,-4.8828125,0.0
1734581005.6044323,7.32421875,-57.6171875,31.25,-6.34765625,0.0
1734581005.6083374,7.8125,-58.10546875,-0.9765625,0.9765625,0.0
1734581005.6122427,20.5078125,-60.05859375,36.1328125,1.953125,0.0
1734581005.616148,26.3671875,-63.4765625,35.15625,5.37109375,0.0
